Measure,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
1,0,0.4,0,0,0.133333333,0,0.266666667,0,0.066666667,0.066666667,0,0.066666667
2,0,0.117647059,0,0.117647059,0.117647059,0,0.058823529,0.058823529,0.176470588,0.058823529,0,0.294117647
3,0,0.357142857,0,0,0.142857143,0.071428571,0.214285714,0,0.071428571,0.142857143,0,0
4,0,0,0,0.090909091,0.090909091,0,0.181818182,0,0,0,0,0.636363636
5,0,0.411764706,0,0,0.117647059,0,0.176470588,0,0.176470588,0.117647059,0,0
6,0,0,0,0.125,0.25,0,0.25,0,0.125,0,0,0.25
7,0,0.428571429,0,0,0.142857143,0,0.285714286,0,0.071428571,0.071428571,0,0
8,0,0,0,0.071428571,0.142857143,0,0.285714286,0,0.071428571,0,0,0.428571429
9,0,0.366666667,0,0,0.166666667,0,0.133333333,0,0.2,0.133333333,0,0
10,0,0,0,0.15625,0.15625,0,0.21875,0,0.125,0,0,0.34375
11,0,0.4,0,0,0.2,0,0.166666667,0,0.133333333,0.1,0,0
12,0,0,0,0.096774194,0.161290323,0,0.35483871,0,0.032258065,0,0,0.35483871
13,0,0.125,0,0,0.5,0,0,0,0.125,0,0,0.25
14,0,0.384615385,0,0,0.153846154,0,0.230769231,0,0.153846154,0.076923077,0,0
15,0,0,0,0.153846154,0.230769231,0,0.153846154,0,0.076923077,0,0,0.384615385
16,0,0.384615385,0,0,0.153846154,0,0.153846154,0,0.153846154,0.153846154,0,0
17,0,0,0,0.076923077,0.076923077,0,0.307692308,0,0,0.076923077,0,0.461538462
18,0,0.333333333,0,0,0.2,0,0.266666667,0,0.133333333,0.066666667,0,0
19,0,0,0,0.2,0.266666667,0,0.133333333,0,0.066666667,0,0,0.333333333
20,0,0.333333333,0,0,0.133333333,0,0.266666667,0,0.2,0.066666667,0,0
21,0,0,0,0.083333333,0.083333333,0,0.25,0,0,0,0,0.583333333
22,0,0.333333333,0,0,0.166666667,0,0.166666667,0,0.166666667,0.166666667,0,0
23,0,0,0,0.166666667,0.166666667,0,0.166666667,0,0.166666667,0,0,0.333333333
24,0,0.333333333,0,0,0.166666667,0,0.166666667,0,0.166666667,0.166666667,0,0
25,0,0.142857143,0,0.071428571,0.357142857,0,0.142857143,0,0,0,0,0.285714286
26,0,0.25,0,0,0.25,0,0.25,0,0.125,0.125,0,0
27,0,0,0,0.25,0.25,0,0.125,0,0.125,0,0,0.25
28,0,0.25,0,0,0.125,0,0.25,0,0.25,0.125,0,0
29,0,0.133333333,0,0.066666667,0.333333333,0,0.133333333,0,0,0,0,0.333333333
30,0,0.384615385,0,0,0.153846154,0,0.230769231,0,0.153846154,0.076923077,0,0
31,0,0,0,0.153846154,0.230769231,0,0.153846154,0,0.076923077,0,0,0.384615385
32,0,0.384615385,0,0,0.153846154,0,0.153846154,0,0.153846154,0.153846154,0,0
33,0,0.095238095,0,0.047619048,0.238095238,0,0.19047619,0,0,0.047619048,0,0.380952381
34,0,0.333333333,0,0,0.2,0,0.266666667,0,0.133333333,0.066666667,0,0
35,0,0,0,0.2,0.266666667,0,0.133333333,0,0.066666667,0,0,0.333333333
