Measure,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
1,0,1,0,0,1,0,1,0,1,1,0,1
2,0,1,0,1,1,0,1,1,1,1,0,1
3,0,1,0,0,1,1,1,0,1,1,0,0
4,0,0,0,1,1,0,1,0,0,0,0,1
5,0,1,0,0,1,0,1,0,1,1,0,0
6,0,0,0,1,1,0,1,0,1,0,0,1
7,0,1,0,0,1,0,1,0,1,1,0,0
8,0,0,0,1,1,0,1,0,1,0,0,1
9,0,1,0,0,1,0,1,0,1,1,0,0
10,0,0,0,1,1,0,1,0,1,0,0,1
11,0,1,0,0,1,0,1,0,1,1,0,0
12,0,0,0,1,1,0,1,0,1,0,0,1
13,0,1,0,0,1,0,0,0,1,0,0,1
14,0,1,0,0,1,0,1,0,1,1,0,0
15,0,0,0,1,1,0,1,0,1,0,0,1
16,0,1,0,0,1,0,1,0,1,1,0,0
17,0,0,0,1,1,0,1,0,0,1,0,1
18,0,1,0,0,1,0,1,0,1,1,0,0
19,0,0,0,1,1,0,1,0,1,0,0,1
20,0,1,0,0,1,0,1,0,1,1,0,0
21,0,0,0,1,1,0,1,0,0,0,0,1
22,0,1,0,0,1,0,1,0,1,1,0,0
23,0,0,0,1,1,0,1,0,1,0,0,1
24,0,1,0,0,1,0,1,0,1,1,0,0
25,0,1,0,1,1,0,1,0,0,0,0,1
26,0,1,0,0,1,0,1,0,1,1,0,0
27,0,0,0,1,1,0,1,0,1,0,0,1
28,0,1,0,0,1,0,1,0,1,1,0,0
29,0,1,0,1,1,0,1,0,0,0,0,1
30,0,1,0,0,1,0,1,0,1,1,0,0
31,0,0,0,1,1,0,1,0,1,0,0,1
32,0,1,0,0,1,0,1,0,1,1,0,0
33,0,1,0,1,1,0,1,0,0,1,0,1
34,0,1,0,0,1,0,1,0,1,1,0,0
35,0,0,0,1,1,0,1,0,1,0,0,1
36,0,1,0,0,1,0,1,0,1,1,0,0
37,0,0,0,1,1,0,1,0,0,0,0,1
38,0,1,0,0,1,0,0,0,1,0,0,0
39,0,1,0,0,1,0,1,0,1,1,0,0
40,0,0,0,1,1,0,1,0,1,0,0,1
41,0,1,0,0,1,0,1,0,1,1,0,0
42,0,0,0,1,1,0,1,0,1,1,0,1
43,0,1,0,0,1,0,1,0,1,1,0,0
44,0,0,0,1,1,0,1,0,1,0,0,1
45,0,1,0,0,1,0,1,0,1,1,0,0
46,0,0,0,1,1,0,1,0,1,0,0,1
47,0,1,0,0,1,0,1,0,1,0,0,0
48,0,1,0,0,1,0,1,0,1,0,0,1
49,0,1,0,1,1,0,1,0,1,1,0,1
50,0,0,0,1,1,0,1,0,1,1,0,1
51,0,1,0,0,1,0,1,0,1,0,0,1
52,0,1,0,0,1,0,1,0,1,0,0,1
53,0,1,0,1,1,0,1,0,1,1,0,1
54,0,0,0,1,1,0,1,0,1,1,0,1
55,0,1,0,0,1,0,0,0,1,1,0,1
56,0,1,0,0,1,0,1,0,1,1,0,1
57,0,1,0,1,1,0,1,0,1,1,0,1
58,0,1,0,0,1,0,1,0,1,1,0,1
59,0,1,0,1,1,0,1,0,0,0,0,1
60,0,1,0,0,1,0,1,0,1,1,0,0
61,0,0,0,1,1,0,1,0,1,0,0,1
62,0,1,0,0,1,0,1,0,1,1,0,0
63,0,0,0,1,1,0,1,0,1,1,0,1
64,0,1,0,0,1,0,1,0,1,1,0,0
65,0,0,0,1,1,0,1,0,1,0,0,1
66,0,1,0,0,1,0,1,0,1,1,0,0
67,0,0,0,1,1,0,1,0,1,0,0,1
68,0,1,0,1,1,0,1,0,1,1,0,1
69,0,1,0,1,1,0,0,0,1,0,0,1
70,0,1,0,1,1,0,1,0,0,1,0,1
71,0,1,0,1,1,0,0,0,1,0,0,1
72,0,1,0,1,1,0,1,0,0,1,0,1
73,0,1,0,1,1,0,0,0,1,0,0,1
74,0,1,0,1,1,0,1,0,0,1,0,1
75,1,1,0,1,1,0,0,0,1,0,0,1
76,0,1,0,0,1,0,1,0,1,0,0,0
77,0,1,0,0,1,0,1,0,1,0,0,1
78,0,1,0,1,1,0,1,0,1,1,0,1
79,0,0,0,1,1,0,1,0,1,1,0,1
80,0,1,0,0,1,0,1,0,1,0,0,1
81,0,1,0,0,1,0,1,0,1,0,0,1
82,0,1,0,1,1,0,1,0,1,1,0,1
83,0,0,0,1,1,0,1,0,1,1,0,1
84,0,1,0,0,1,0,0,0,1,1,0,1
85,0,1,0,0,1,0,1,0,1,1,0,1
86,0,1,0,1,1,0,1,0,1,1,0,1
87,0,1,0,0,1,0,1,0,1,1,0,1
88,0,1,0,1,1,0,1,0,0,0,0,1
89,0,1,0,1,1,0,1,0,1,1,0,1
90,0,1,0,1,1,0,0,0,1,0,0,1
91,0,1,0,1,1,0,1,0,0,1,0,1
92,0,1,0,1,1,0,0,0,1,0,0,1
93,0,1,0,1,1,0,1,0,0,1,0,1
94,0,1,0,1,1,0,0,0,1,0,0,1
95,0,1,0,1,1,0,1,0,0,1,0,1
96,1,1,0,1,1,0,0,0,1,0,0,1
97,0,1,0,0,1,0,1,0,1,1,0,0
98,0,0,0,1,1,0,1,0,1,0,0,1
99,0,1,0,0,1,0,1,0,1,1,0,0
100,0,0,0,1,1,0,1,0,1,1,0,1
101,0,1,0,0,1,0,1,0,1,1,0,0
102,0,0,0,1,1,0,1,0,1,0,0,1
103,0,1,0,0,1,0,1,0,1,1,0,0
104,0,0,0,1,1,0,1,0,1,0,0,1
105,0,1,0,0,1,0,1,0,1,1,0,0
106,0,0,0,1,1,0,1,0,1,0,0,1
107,0,1,0,0,1,0,1,0,1,1,0,0
