Measure,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
1,0,0.25,0,0,0,0,0.5,0,0,0,0.25,0
2,0,0.333333333,0,0,0,0.333333333,0,0,0.333333333,0,0,0
3,0,0,0,0.333333333,0,0,0,0,0.333333333,0,0,0.333333333
4,0,1,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0.5,0,0,0,0.5,0
6,0,0.25,0,0,0,0.25,0.25,0,0.25,0,0,0
7,0,0,0,0.333333333,0,0,0,0,0.333333333,0,0,0.333333333
8,0,0,0,0.333333333,0,0,0.333333333,0,0,0,0.333333333,0
9,0,0.142857143,0,0,0,0,0.428571429,0,0.285714286,0,0.142857143,0
10,0,0.142857143,0,0,0,0.142857143,0.142857143,0,0.428571429,0,0.142857143,0
11,0,0,0,0.142857143,0,0,0.142857143,0,0.571428571,0,0,0.142857143
12,0,0.125,0,0.125,0,0,0.25,0,0.5,0,0,0
13,0,0.142857143,0,0,0,0,0.428571429,0,0.285714286,0,0.142857143,0
14,0,0.142857143,0,0,0,0.142857143,0.142857143,0,0.428571429,0,0.142857143,0
15,0,0,0,0.142857143,0,0,0.142857143,0,0.571428571,0,0,0.142857143
16,0,0.076923077,0,0.230769231,0,0,0.307692308,0,0.230769231,0,0.153846154,0
17,0,0.117647059,0,0,0,0,0.411764706,0,0.058823529,0,0.411764706,0
18,0,0.222222222,0,0,0,0,0.555555556,0,0,0,0.222222222,0
19,0,0.5,0,0.05,0,0.1,0.25,0,0,0,0.1,0
20,0,0.4375,0,0.0625,0,0,0.375,0,0,0,0.125,0
21,0,0.125,0,0.25,0,0,0.1875,0,0,0,0,0.4375
22,0,0,0,0,0,0,0.5,0,0,0,0,0.5
23,0,0.523809524,0,0,0,0.095238095,0,0,0.142857143,0,0.238095238,0
24,0,0.7,0,0.1,0,0,0,0,0,0.1,0.1,0
25,0,0.305555556,0,0.055555556,0,0.027777778,0.333333333,0,0,0,0.277777778,0
26,0,0.258064516,0,0.064516129,0,0,0.35483871,0,0,0,0.322580645,0
27,0,0.342105263,0,0.052631579,0,0.210526316,0,0,0,0,0.394736842,0
28,0,0.227272727,0,0,0,0.227272727,0,0,0,0,0.545454545,0
29,0,0.230769231,0,0.256410256,0,0,0.179487179,0,0,0,0.025641026,0.307692308
30,0,0.111111111,0,0.259259259,0,0,0.185185185,0,0,0,0,0.444444444
31,0,0.609756098,0,0.048780488,0,0.170731707,0,0,0.170731707,0,0,0
32,0,0.461538462,0,0.076923077,0,0.192307692,0,0,0.192307692,0,0.076923077,0
33,0,0.388888889,0,0,0,0,0.361111111,0,0,0,0.25,0
34,0,0.358974359,0,0,0,0.179487179,0.051282051,0,0.384615385,0,0,0.025641026
35,0,0,0,0.266666667,0,0,0.033333333,0,0.433333333,0,0.033333333,0.233333333
36,0,0,0,0.192307692,0,0.076923077,0.346153846,0,0,0,0.038461538,0.346153846
37,0,0.371428571,0,0,0,0,0.371428571,0,0.057142857,0,0.2,0
38,0,0.342105263,0,0,0,0.184210526,0.052631579,0,0.368421053,0,0.026315789,0.026315789
39,0,0,0,0.189189189,0,0,0.054054054,0,0.567567568,0,0,0.189189189
40,0,0,0,0.375,0,0,0.28125,0,0.0625,0,0.125,0.15625
41,0,0.378378378,0,0,0,0,0.378378378,0,0,0,0.243243243,0
42,0,0.340909091,0,0.022727273,0,0.227272727,0.045454545,0,0.340909091,0,0,0.022727273
43,0,0,0,0.266666667,0,0,0.033333333,0,0.433333333,0,0.033333333,0.233333333
44,0,0,0,0.3,0,0,0.366666667,0,0,0,0.033333333,0.3
45,0,0.333333333,0,0,0,0.025641026,0.333333333,0,0.051282051,0,0.256410256,0
46,0,0.30952381,0,0.023809524,0,0.238095238,0.047619048,0,0.333333333,0,0.023809524,0.023809524
47,0,0,0,0.195121951,0,0.097560976,0.048780488,0,0.487804878,0,0,0.170731707
48,0,0.051282051,0,0.307692308,0,0.025641026,0.282051282,0,0.076923077,0,0.128205128,0.128205128
49,0,0.166666667,0,0,0,0,0.4,0,0.066666667,0,0.366666667,0
50,0,0.291666667,0,0,0,0,0.416666667,0,0,0,0.291666667,0
51,0,0.433333333,0,0.066666667,0,0.166666667,0.166666667,0,0,0,0.166666667,0
52,0,0.366666667,0,0,0,0.166666667,0.233333333,0,0,0,0.233333333,0
53,0,0.083333333,0,0.291666667,0,0,0.208333333,0,0,0,0,0.416666667
54,0,0,0,0.217391304,0,0,0.304347826,0,0.043478261,0,0,0.434782609
55,0,0.466666667,0,0,0,0.166666667,0,0,0.2,0,0.166666667,0
56,0,0.590909091,0,0.045454545,0,0.181818182,0,0,0.181818182,0,0,0
57,0,0.294117647,0,0.058823529,0,0.029411765,0.352941176,0,0,0,0.264705882,0
58,0,0.285714286,0,0.071428571,0,0,0.357142857,0,0,0,0.285714286,0
59,0,0.294117647,0,0.029411765,0,0.235294118,0,0,0,0,0.441176471,0
60,0,0.227272727,0,0,0,0.227272727,0,0,0,0,0.545454545,0
61,0,0.210526316,0,0.236842105,0,0,0.184210526,0,0,0,0.052631579,0.315789474
62,0,0.111111111,0,0.259259259,0,0,0.185185185,0,0,0,0,0.444444444
63,0,0.6,0,0.05,0,0.175,0,0,0.175,0,0,0
64,0,0.461538462,0,0.076923077,0,0.192307692,0,0,0.192307692,0,0.076923077,0
65,0,0.378378378,0,0,0,0,0.378378378,0,0,0,0.243243243,0
66,0,0.318181818,0,0.045454545,0,0.227272727,0.045454545,0,0.340909091,0,0,0.022727273
67,0,0,0,0.266666667,0,0,0.033333333,0,0.433333333,0,0.033333333,0.233333333
68,0,0.068965517,0,0.206896552,0,0,0.310344828,0,0,0,0.103448276,0.310344828
69,0,0.333333333,0,0,0,0.025641026,0.333333333,0,0.051282051,0,0.256410256,0
70,0,0.325,0,0.025,0,0.225,0.05,0,0.325,0,0.025,0.025
71,0,0,0,0.181818182,0,0.113636364,0.045454545,0,0.5,0,0,0.159090909
72,0,0.028571429,0,0.371428571,0,0,0.285714286,0,0.057142857,0,0.114285714,0.142857143
73,0,0.35,0,0,0,0,0.35,0,0,0,0.3,0
74,0,0.340909091,0,0.022727273,0,0.227272727,0.045454545,0,0.340909091,0,0,0.022727273
75,0,0,0,0.266666667,0,0,0.033333333,0,0.433333333,0,0.033333333,0.233333333
76,0,0.103448276,0,0.172413793,0,0,0.379310345,0,0,0,0.034482759,0.310344828
77,0,0.333333333,0,0,0,0.025641026,0.333333333,0,0.051282051,0,0.256410256,0
78,0,0.30952381,0,0.023809524,0,0.238095238,0.047619048,0,0.333333333,0,0.023809524,0.023809524
79,0,0,0,0.195121951,0,0.097560976,0.048780488,0,0.487804878,0,0,0.170731707
80,0,0,0,0.352941176,0,0,0.294117647,0,0.088235294,0,0.117647059,0.147058824
81,0,0.3,0,0.6,0,0,0.05,0,0,0,0.05,0
82,0,0.25,0,0.55,0,0,0,0,0,0,0.2,0
83,0,0.3125,0,0.375,0,0.0625,0,0,0.1875,0,0.0625,0
84,0,0.428571429,0,0.571428571,0,0,0,0,0,0,0,0
85,0,0.315789474,0,0.578947368,0,0,0.052631579,0,0,0,0.052631579,0
86,0,0.136363636,0,0.5,0,0,0,0,0.136363636,0,0.227272727,0
87,0,0.416666667,0,0.416666667,0,0.083333333,0,0,0.083333333,0,0,0
88,0,0.263157895,0,0.421052632,0,0,0,0,0.105263158,0,0.210526316,0
89,0,0,0,0.4,0,0,0.35,0,0,0,0,0.25
90,0,0.055555556,0,0.444444444,0,0,0.277777778,0,0,0,0,0.222222222
91,0,0.44,0,0.24,0,0.04,0,0,0.08,0,0.2,0
92,0,0.277777778,0,0.388888889,0,0,0,0,0.111111111,0,0.222222222,0
93,0,0,0,0.4,0,0,0.35,0,0,0,0,0.25
94,0,0.136363636,0,0.363636364,0,0,0.227272727,0,0.181818182,0,0.090909091,0
95,0,0.739130435,0,0,0,0.043478261,0,0,0.086956522,0,0.130434783,0
96,0,0.916666667,0,0,0,0,0,0,0,0,0,0.083333333
97,0,0.529411765,0,0,0,0,0.235294118,0,0,0,0.235294118,0
98,0,0.130434783,0,0.086956522,0,0.217391304,0.086956522,0,0.434782609,0,0.043478261,0
99,0,0,0,0.153846154,0,0,0.153846154,0,0.538461538,0,0,0.153846154
100,0,0.133333333,0,0.133333333,0,0,0.466666667,0,0.133333333,0,0,0.133333333
101,0,0.421052632,0,0,0,0.052631579,0.157894737,0,0.105263158,0,0.263157895,0
102,0,0.157894737,0,0.052631579,0,0.157894737,0.105263158,0,0.421052632,0,0.052631579,0.052631579
103,0,0.105263158,0,0.105263158,0,0,0.105263158,0,0.578947368,0,0,0.105263158
104,0,0.2,0,0.2,0,0,0.25,0,0.1,0,0.25,0
105,0,0.4,0,0,0,0.028571429,0.228571429,0,0,0,0.342857143,0
106,0,0.210526316,0,0.052631579,0,0.263157895,0.052631579,0,0.394736842,0,0,0.026315789
107,0,0,0,0.258064516,0,0,0.096774194,0,0.387096774,0,0.032258065,0.225806452
108,0,0.096774194,0,0.225806452,0,0,0.387096774,0,0.064516129,0,0,0.225806452
109,0,0.382352941,0,0.029411765,0,0,0.235294118,0,0.058823529,0,0.294117647,0
110,0,0.228571429,0,0.057142857,0,0.228571429,0.057142857,0,0.371428571,0,0.028571429,0.028571429
111,0,0.026315789,0,0.210526316,0,0.105263158,0.052631579,0,0.421052632,0,0,0.184210526
112,0,0.03125,0,0.28125,0,0.03125,0.28125,0,0.09375,0,0.125,0.15625
113,0,0.371428571,0,0,0,0,0.371428571,0,0,0,0.257142857,0
114,0,0.358974359,0,0,0,0.179487179,0.051282051,0,0.384615385,0,0,0.025641026
115,0,0,0,0.222222222,0,0,0.083333333,0,0.472222222,0,0.027777778,0.194444444
116,0,0,0,0.172413793,0,0,0.379310345,0,0.103448276,0,0.034482759,0.310344828
117,0,0.361111111,0,0,0,0.027777778,0.361111111,0,0.055555556,0,0.194444444,0
118,0,0.341463415,0,0,0,0.243902439,0.048780488,0,0.317073171,0,0.024390244,0.024390244
119,0,0,0,0.179487179,0,0.025641026,0.051282051,0,0.564102564,0,0,0.179487179
120,0,0,0,0.352941176,0,0,0.264705882,0,0.088235294,0,0.147058824,0.147058824
