Measure,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
1,0.057239057,0,0.598364598,0,0,0.344396344,0,0,0,0,0,0
2,0.058969277,0,0.146679881,0,0,0.147175421,0,0.17740337,0,0,0.469772052,0
3,0.583684951,0,0.278012189,0,0,0.13830286,0,0,0,0,0,0
4,0.242718447,0,0,0,0,0,0,0,0,0.757281553,0,0
5,0.131882771,0,0.684280639,0,0,0.18383659,0,0,0,0,0,0
6,0.055842328,0,0.138901924,0,0,0.194274988,0,0.166119193,0,0,0.444861567,0
7,0.583684951,0,0.278012189,0,0,0.13830286,0,0,0,0,0,0
8,0.075042159,0,0,0,0,0,0,0.099494098,0,0.825463744,0,0
9,0,0,0.687171399,0,0.125131441,0.187697161,0,0,0,0,0,0
10,0,0,0,0,0.033127456,0.367770915,0,0.066816395,0,0,0.532285233,0
11,0.665918024,0,0.167321729,0,0.099943852,0,0,0,0,0,0.066816395,0
12,0,0,0,0,0,0,0,0,0,1,0,0
13,0,0,0.687171399,0,0.156677182,0.15615142,0,0,0,0,0,0
14,0,0,0,0,0.071600481,0.286401925,0,0.071600481,0,0,0.570397112,0
15,0.623554154,0,0.282334385,0,0.093585699,0.000525762,0,0,0,0,0,0
16,0,0.532313764,0,0,0,0,0,0,0,0.467686236,0,0
17,0.107701564,0,0.428399519,0,0.035499398,0.143200963,0,0,0,0,0.285198556,0
18,0.375065755,0,0,0,0.219358233,0.156233561,0,0,0,0.249342451,0,0
19,0.062598632,0,0.125197265,0,0.062598632,0.062598632,0,0.249342451,0,0,0.437664387,0
20,0,0,0,0,0.5175394,0.000508388,0,0,0,0.481952211,0,0
21,0.107701564,0,0.428399519,0,0.035499398,0.143200963,0,0,0,0,0.285198556,0
22,0.375065755,0,0,0,0.187795897,0.187795897,0,0,0,0.249342451,0,0
23,0,0,0.250526316,0,0.125263158,0.062631579,0,0.312105263,0,0,0.249473684,0
24,0.03110174,0,0.062203479,0,0.344754876,0.062203479,0,0,0,0.499736426,0,0
25,0,0,0.343173432,0,0.093305219,0.219293622,0,0,0,0,0.344227728,0
26,0.312071692,0,0.03110174,0,0.188191882,0,0,0,0,0.437532947,0.03110174,0
27,0.03110174,0,0.124934106,0,0.124934106,0.157090142,0,0.249868213,0,0,0.312071692,0
28,0.031118143,0.188818565,0.031118143,0,0.062236287,0.031118143,0,0,0,0.59335443,0.062236287,0
29,0.088701685,0,0.382061447,0,0.058473736,0.147670961,0,0,0,0.058969277,0.264122894,0
30,0.437664387,0,0,0,0.093634929,0.1567596,0,0.062598632,0,0.249342451,0,0
31,0,0,0.2003367,0,0.167227834,0.100448934,0,0.265993266,0,0,0.265993266,0
32,0.031052632,0,0.031052632,0,0.407894737,0.031052632,0,0,0,0.498947368,0,0
33,0,0,0.343173432,0,0.093305219,0.219293622,0,0,0,0,0.344227728,0
34,0.312071692,0,0.03110174,0,0.188191882,0,0,0,0,0.437532947,0.03110174,0
35,0.03110174,0,0.124934106,0,0.124934106,0.157090142,0,0.249868213,0,0,0.312071692,0
36,0.031118143,0.188818565,0.031118143,0,0.062236287,0.031118143,0,0,0,0.59335443,0.062236287,0
37,0.088701685,0,0.382061447,0,0.058473736,0.147670961,0,0,0,0.058969277,0.264122894,0
38,0.437664387,0,0,0,0.093634929,0.1567596,0,0.062598632,0,0.249342451,0,0
39,0,0,0.2003367,0,0.167227834,0.100448934,0,0.265993266,0,0,0.265993266,0
40,0,0,0,0,0.377427822,0,0,0,0,0.622572178,0,0
41,0.226977248,0,0.483748646,0,0,0,0,0,0,0.000541712,0.288732394,0
42,0.257173795,0,0.226854358,0,0,0,0,0,0,0.515971846,0,0
43,0.138550725,0,0.138550725,0,0,0,0,0.447536232,0,0.00057971,0.274782609,0
44,0,0,0,0,0,0,0,0,0,1,0,0
45,0,0,0.515709642,0,0,0,0,0,0,0.000541712,0.483748646,0
46,0.280084078,0,0.220178665,0,0,0,0,0,0,0.499737257,0,0
47,0.138550725,0,0.138550725,0,0,0,0,0.447536232,0,0.00057971,0.274782609,0
48,0.094111462,0,0.125657203,0,0,0.06256572,0,0,0,0.717665615,0,0
49,0,0,0.742431523,0,0.028351754,0.171552138,0,0.057184046,0,0.000480538,0,0
50,0,0,0,0,0.107701564,0.286401925,0,0.035499398,0,0,0.570397112,0
51,0.631874299,0,0.167227834,0,0.099887767,0.000561167,0,0,0,0,0.100448934,0
52,0,0,0,0,0,0,0,0,0,1,0,0
53,0,0,0.641997593,0,0.071600481,0.178700361,0,0.107701564,0,0,0,0
54,0,0,0.001201923,0,0.071514423,0.25,0,0.107572115,0,0,0.569711538,0
55,0.635066259,0,0.090723751,0,0.151885831,0.000509684,0,0,0,0,0.121814475,0
56,0,0,0,0,0,0,0,0,0,1,0,0
57,0.107701564,0,0.428399519,0,0.035499398,0.143200963,0,0,0,0,0.285198556,0
58,0.375065755,0,0,0,0.219358233,0.156233561,0,0,0,0.249342451,0,0
59,0.062598632,0,0.125197265,0,0.062598632,0.062598632,0,0.249342451,0,0,0.437664387,0
60,0,0,0,0,0.5175394,0.000508388,0,0,0,0.481952211,0,0
61,0.107701564,0,0.428399519,0,0.035499398,0.143200963,0,0,0,0,0.285198556,0
62,0.375065755,0,0,0,0.187795897,0.187795897,0,0,0,0.249342451,0,0
63,0,0,0.250526316,0,0.125263158,0.062631579,0,0.312105263,0,0,0.249473684,0
64,0.03110174,0,0.062203479,0,0.344754876,0.062203479,0,0,0,0.499736426,0,0
65,0,0,0.343173432,0,0.093305219,0.219293622,0,0,0,0,0.344227728,0
66,0.312071692,0,0.03110174,0,0.188191882,0,0,0,0,0.437532947,0.03110174,0
67,0.03110174,0,0.124934106,0,0.124934106,0.157090142,0,0.249868213,0,0,0.312071692,0
68,0.031118143,0.188818565,0.031118143,0,0.062236287,0.031118143,0,0,0,0.59335443,0.062236287,0
69,0.088701685,0,0.382061447,0,0.058473736,0.147670961,0,0,0,0.058969277,0.264122894,0
70,0.437664387,0,0,0,0.093634929,0.1567596,0,0.062598632,0,0.249342451,0,0
71,0,0,0.2003367,0,0.167227834,0.100448934,0,0.265993266,0,0,0.265993266,0
72,0.031052632,0,0.031052632,0,0.407894737,0.031052632,0,0,0,0.498947368,0,0
73,0,0,0.343173432,0,0.093305219,0.219293622,0,0,0,0,0.344227728,0
74,0.312071692,0,0.03110174,0,0.188191882,0,0,0,0,0.437532947,0.03110174,0
75,0.03110174,0,0.124934106,0,0.124934106,0.157090142,0,0.249868213,0,0,0.312071692,0
76,0.031118143,0.188818565,0.031118143,0,0.062236287,0.031118143,0,0,0,0.59335443,0.062236287,0
77,0.088701685,0,0.382061447,0,0.058473736,0.147670961,0,0,0,0.058969277,0.264122894,0
78,0.437664387,0,0,0,0.093634929,0.1567596,0,0.062598632,0,0.249342451,0,0
79,0,0,0.2003367,0,0.167227834,0.100448934,0,0.265993266,0,0,0.265993266,0
80,0.031052632,0,0.031052632,0,0.407894737,0.031052632,0,0,0,0.498947368,0,0
81,0.131882771,0,0.684280639,0,0,0.18383659,0,0,0,0,0,0
82,0.055842328,0,0.138901924,0,0,0.194274988,0,0.166119193,0,0,0.444861567,0
83,0.583684951,0,0.278012189,0,0,0.13830286,0,0,0,0,0,0
84,0.083450539,0,0,0,0,0,0,0.110642288,0,0.805907173,0,0
85,0.131882771,0,0.684280639,0,0,0.18383659,0,0,0,0,0,0
86,0.055842328,0,0.138901924,0,0,0.194274988,0,0.166119193,0,0,0.444861567,0
87,0.583684951,0,0.278012189,0,0,0.13830286,0,0,0,0,0,0
88,0.077056277,0,0.025541126,0,0.102164502,0.025541126,0,0.051082251,0,0.718614719,0,0
89,0,0,0.343173432,0,0.093305219,0.219293622,0,0,0,0,0.344227728,0
90,0.312071692,0,0.03110174,0,0.188191882,0,0,0,0,0.437532947,0.03110174,0
91,0.03110174,0,0.124934106,0,0.124934106,0.157090142,0,0.249868213,0,0,0.312071692,0
92,0.031118143,0.188818565,0.031118143,0,0.062236287,0.031118143,0,0,0,0.59335443,0.062236287,0
