Measure,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
1,0,0.061298412,0.037893564,0,0.27027027,0,0.066592366,0,0.269155754,0.06519922,0,0.229590415
2,0,0,0,0,0.372258772,0,0,0,0.262609649,0.067982456,0,0.297149123
3,0,0,0,0,0.31263048,0,0.377348643,0,0.060020877,0.25,0,0
4,0,0,0,0,0.408987486,0,0.10182025,0,0.284982935,0,0,0.204209329
5,0,0.113412229,0.253451677,0,0.054733728,0,0.252465483,0,0,0.172583826,0,0.153353057
6,0,0.097027972,0.097027972,0,0.097027972,0,0.097027972,0,0,0.611888112,0,0
7,0,0.147437733,0.09848268,0,0.254509018,0,0.098768967,0,0,0.400801603,0,0
8,0,0.095154185,0.097797357,0,0.095154185,0,0.097797357,0,0,0.614096916,0,0
9,0,0.132115677,0.118112633,0,0.174733638,0,0.105936073,0,0,0.386910198,0,0.082191781
10,0,0.030735186,0,0,0.258175559,0,0,0,0.13572658,0.10769609,0,0.467666585
11,0,0,0,0,0.547067343,0,0,0,0.29217958,0,0,0.160753077
12,0,0,0.229744426,0,0.299891245,0,0.112017401,0,0.108210984,0.189777053,0,0.060358891
13,0,0.041823308,0.141212406,0,0.243890977,0,0.151315789,0,0.026080827,0.265507519,0,0.130169173
14,0,0.215919488,0.177035682,0,0.132662397,0,0.101555352,0,0,0.315645014,0,0.057182068
15,0,0.189707928,0.080945758,0,0.247844228,0,0.03310153,0,0,0.386648122,0,0.061752434
16,0,0.070565798,0.070565798,0,0.13827082,0,0.070565798,0,0,0.650031786,0,0
17,0.02603521,0.237044384,0.06967518,0.027522936,0.157451029,0,0.102901066,0,0.057029507,0.268782544,0,0.053558145
18,0,0.562406657,0,0.023682526,0.248133134,0,0,0,0.165777683,0,0,0
19,0,0.259268118,0,0,0.407079646,0,0,0,0.307103564,0,0,0.026548673
20,0,0,0.25943466,0,0.344531597,0,0.130975285,0,0.129495338,0.102708303,0,0.032854817
21,0,0.021240917,0.067635551,0,0.273113471,0,0.12666294,0,0.012409167,0.383454444,0,0.11548351
22,0,0.03500473,0.122043519,0,0.0914538,0,0.070009461,0,0,0.64333018,0,0.03815831
23,0,0.168467583,0.070972495,0,0.217829077,0,0.029223969,0,0,0.458988212,0,0.054518664
24,0,0.047306176,0.153526062,0,0.093955322,0,0.048620237,0,0,0.656592203,0,0
25,0.025823906,0.18716183,0.126660108,0,0.169945893,0,0.085587801,0,0,0.312592228,0,0.092228234
26,0,0.199354205,0,0,0.147409799,0,0,0,0.106977397,0.061490945,0,0.484767654
27,0,0.130446623,0,0,0.52832244,0,0,0,0.220315904,0,0,0.120915033
28,0,0,0.297219396,0,0.412512716,0,0.068497796,0,0.066463208,0.117667006,0,0.037639878
29,0,0.025586354,0.085714286,0,0.215636105,0,0.091542289,0,0.015778252,0.487562189,0,0.078180526
