Measure,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
1,0,0.1,0.1,0,0.25,0,0.15,0,0.2,0.1,0,0.1
2,0,0,0,0,0.166666667,0,0,0,0.166666667,0.333333333,0,0.333333333
3,0,0,0,0,0.166666667,0,0.5,0,0.166666667,0.166666667,0,0
4,0,0,0,0,0.25,0,0.25,0,0.25,0,0,0.25
5,0,0.181818182,0.272727273,0,0.090909091,0,0.181818182,0,0,0.181818182,0,0.090909091
6,0,0.125,0.125,0,0.125,0,0.125,0,0,0.5,0,0
7,0,0.2,0.16,0,0.2,0,0.12,0,0,0.32,0,0
8,0,0.125,0.125,0,0.125,0,0.125,0,0,0.5,0,0
9,0,0.173913043,0.173913043,0,0.173913043,0,0.086956522,0,0,0.304347826,0,0.086956522
10,0,0.058823529,0,0,0.352941176,0,0,0,0.235294118,0.117647059,0,0.235294118
11,0,0,0,0,0.5,0,0,0,0.277777778,0,0,0.222222222
12,0,0,0.208333333,0,0.208333333,0,0.166666667,0,0.166666667,0.166666667,0,0.083333333
13,0,0.125,0.1875,0,0.25,0,0.125,0,0.0625,0.125,0,0.125
14,0,0.125,0.1875,0,0.125,0,0.125,0,0,0.375,0,0.0625
15,0,0.260869565,0.130434783,0,0.217391304,0,0.043478261,0,0,0.260869565,0,0.086956522
16,0,0.111111111,0.111111111,0,0.166666667,0,0.111111111,0,0,0.5,0,0
17,0.034482759,0.206896552,0.103448276,0.034482759,0.172413793,0,0.103448276,0,0.068965517,0.206896552,0,0.068965517
18,0,0.434782609,0,0.043478261,0.217391304,0,0,0,0.304347826,0,0,0
19,0,0.285714286,0,0,0.380952381,0,0,0,0.285714286,0,0,0.047619048
20,0,0,0.24137931,0,0.206896552,0,0.172413793,0,0.172413793,0.137931034,0,0.068965517
21,0,0.095238095,0.142857143,0,0.238095238,0,0.142857143,0,0.047619048,0.19047619,0,0.142857143
22,0,0.058823529,0.176470588,0,0.117647059,0,0.117647059,0,0,0.470588235,0,0.058823529
23,0,0.25,0.125,0,0.208333333,0,0.041666667,0,0,0.291666667,0,0.083333333
24,0,0.1,0.15,0,0.15,0,0.1,0,0,0.5,0,0
25,0.035714286,0.178571429,0.178571429,0,0.178571429,0,0.071428571,0,0,0.25,0,0.107142857
26,0,0.173913043,0,0,0.260869565,0,0,0,0.260869565,0.086956522,0,0.217391304
27,0,0.05,0,0,0.5,0,0,0,0.25,0,0,0.2
28,0,0,0.25,0,0.25,0,0.142857143,0,0.142857143,0.142857143,0,0.071428571
29,0,0.105263158,0.157894737,0,0.263157895,0,0.105263158,0,0.052631579,0.210526316,0,0.105263158
30,0,0.172413793,0.103448276,0,0.172413793,0,0.172413793,0,0,0.344827586,0,0.034482759
31,0,0.23255814,0.069767442,0,0.23255814,0,0.139534884,0,0,0.279069767,0,0.046511628
32,0,0.090909091,0.136363636,0,0.181818182,0,0.090909091,0,0,0.5,0,0
33,0.03125,0.1875,0.09375,0.03125,0.1875,0,0.125,0,0.09375,0.1875,0,0.0625
34,0,0.35483871,0,0.064516129,0.225806452,0,0.032258065,0,0.290322581,0,0,0.032258065
35,0,0.35,0,0,0.35,0,0,0,0.25,0,0,0.05
36,0,0,0.259259259,0,0.222222222,0,0.148148148,0,0.148148148,0.148148148,0,0.074074074
37,0,0.12,0.12,0,0.28,0,0.16,0,0.04,0.2,0,0.08
38,0,0.085714286,0.085714286,0,0.171428571,0,0.142857143,0,0.057142857,0.4,0,0.057142857
39,0,0,0.175,0,0.1,0,0.25,0,0.175,0.25,0,0.05
40,0,0,0.346153846,0,0,0,0.307692308,0,0,0.346153846,0,0
41,0,0.051282051,0.230769231,0,0.064102564,0,0.243589744,0,0.038461538,0.358974359,0,0.012820513
42,0,0.314814815,0.018518519,0,0.333333333,0,0,0,0,0.333333333,0,0
43,0,0.216666667,0.033333333,0,0.333333333,0,0.016666667,0,0.1,0.233333333,0,0.066666667
44,0,0,0.157894737,0,0.175438596,0,0.175438596,0,0.157894737,0.175438596,0,0.157894737
45,0,0.103448276,0.051724138,0,0.293103448,0,0,0,0.206896552,0.086206897,0,0.25862069
46,0,0.314814815,0,0,0.333333333,0,0,0,0,0.333333333,0,0.018518519
47,0,0.193548387,0.080645161,0.016129032,0.225806452,0,0.096774194,0,0.048387097,0.322580645,0,0.016129032
48,0,0,0.346153846,0,0,0,0.307692308,0,0,0.346153846,0,0
49,0,0.064102564,0.230769231,0,0.051282051,0,0.230769231,0,0.025641026,0.358974359,0,0.038461538
50,0,0.314814815,0,0,0.333333333,0,0,0,0,0.351851852,0,0
51,0,0.216666667,0.033333333,0,0.333333333,0,0.016666667,0,0.1,0.233333333,0,0.066666667
52,0,0,0.157894737,0,0.175438596,0,0.175438596,0,0.157894737,0.175438596,0,0.157894737
53,0,0.090909091,0.045454545,0,0.257575758,0,0.121212121,0,0.181818182,0.075757576,0,0.227272727
54,0,0.229166667,0.0625,0,0.270833333,0,0.083333333,0,0,0.270833333,0,0.083333333
55,0,0,0,0,0.166666667,0,0.027777778,0,0.25,0.277777778,0,0.277777778
56,0,0,0.157894737,0,0.175438596,0,0.175438596,0,0.157894737,0.175438596,0,0.157894737
57,0,0.117647059,0.088235294,0,0.235294118,0,0.058823529,0,0.117647059,0.117647059,0,0.264705882
58,0,0.136363636,0.090909091,0,0.136363636,0,0.090909091,0,0,0.5,0,0.045454545
59,0,0.242424242,0.121212121,0,0.181818182,0,0.090909091,0,0,0.363636364,0,0
60,0,0.111111111,0.138888889,0,0.138888889,0,0.111111111,0,0,0.5,0,0
61,0.022222222,0.177777778,0.155555556,0,0.155555556,0,0.066666667,0,0,0.311111111,0,0.111111111
62,0,0.105263158,0,0,0.315789474,0,0,0,0.263157895,0.105263158,0,0.210526316
63,0,0.027027027,0,0,0.513513514,0,0,0,0.243243243,0,0,0.216216216
64,0,0,0.255319149,0,0.234042553,0,0.127659574,0,0.14893617,0.14893617,0,0.085106383
65,0,0.068965517,0.103448276,0,0.310344828,0,0.137931034,0,0.068965517,0.206896552,0,0.103448276
66,0,0.139534884,0.139534884,0,0.162790698,0,0.162790698,0,0,0.372093023,0,0.023255814
