Measure,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
1,0.347030049,0,0,0.249336129,0,0,0,0.131236897,0.272396925,0,0,0
2,0.246988786,0,0.09774332,0.149245466,0,0,0,0.376021044,0,0,0,0.130001384
3,0.347030049,0,0,0.249336129,0,0,0,0.131236897,0.272396925,0,0,0
4,0.246988786,0,0.09774332,0.149245466,0,0,0,0.376021044,0,0,0,0.130001384
5,0.363514634,0,0,0.268188484,0,0,0,0.119747497,0.248549385,0,0,0
6,0.287952736,0,0.120601079,0.138453635,0,0,0,0.325134857,0,0,0.007256614,0.120601079
7,0.345263707,0,0,0.278179803,0,0,0,0.122433014,0.254123476,0,0,0
8,0.326562598,0,0.103128331,0.13516394,0,0,0,0.302802332,0,0,0,0.1323428
9,0.373108083,0,0,0.264146204,0,0,0,0.117942599,0.244803115,0,0,0
10,0.295752053,0,0.105556982,0.153298255,0,0,0,0.309933265,0,0,0,0.135459446
11,0.354770318,0,0,0.2741407,0,0,0,0.120655316,0.250433665,0,0,0
12,0.307459222,0,0.106053768,0.13899813,0,0,0,0.311391915,0,0,0,0.136096963
13,0.327056616,0,0.014576165,0.252674382,0,0.029465124,0,0.132374101,0.243853613,0,0,0
14,0.264994547,0,0.120790301,0.16126756,0,0.022644172,0,0.309833857,0,0,0,0.120469562
15,0.355060365,0,0,0.274017467,0,0,0,0.120601079,0.250321089,0,0,0
16,0.307459222,0,0.106053768,0.13899813,0,0,0,0.311391915,0,0,0,0.136096963
17,0.328557064,0,0,0.263888889,0,0.029600302,0,0.132981398,0.244972348,0,0,0
18,0.250048111,0,0.090576689,0.153249086,0,0.00756944,0,0.332798768,0.022644172,0,0.022644172,0.120469562
19,0.330215738,0,0,0.251527622,0,0.029055992,0,0.146152887,0.243047762,0,0,0
20,0.308808871,0,0.087964117,0.148828806,0,0.014515325,0,0.300897084,0,0,0.021991029,0.116994767
21,0.303334799,0,0,0.238711298,0,0,0,0.158010425,0.299943478,0,0,0
22,0.251192164,0,0.113738884,0.180048975,0,0.022747777,0,0.31125145,0,0,0,0.12102075
23,0.325134857,0,0,0.24409196,0,0.029925507,0,0.150526586,0.250321089,0,0,0
24,0.257351109,0,0.087964117,0.178295539,0,0.036506354,0,0.300897084,0,0,0,0.138985796
25,0.303468208,0,0,0.253455642,0,0,0,0.15807992,0.28499623,0,0,0
26,0,0,0.156302121,0.204670002,0,0.14661266,0,0.084504805,0.084107696,0,0.323802716,0
27,0.149468475,0,0.115652493,0.149468475,0,0.064057918,0,0.234879032,0.286473607,0,0,0
28,0.306238185,0,0.071496084,0.072778828,0.072778828,0,0,0.326086957,0,0,0,0.150621118
29,0.333333333,0,0,0.333333333,0,0,0,0.199604184,0.133729149,0,0,0
30,0.133729149,0,0.199604184,0.133729149,0,0,0,0.333333333,0,0,0,0.199604184
31,0.333333333,0,0,0.333333333,0,0,0,0.199604184,0.133729149,0,0,0
32,0.133729149,0,0.199604184,0.133729149,0,0,0,0.333333333,0,0,0,0.199604184
33,0.363514634,0,0,0.268188484,0,0,0,0.119747497,0.248549385,0,0,0
34,0.287952736,0,0.120601079,0.138453635,0,0,0,0.325134857,0,0,0.007256614,0.120601079
35,0.345263707,0,0,0.278179803,0,0,0,0.122433014,0.254123476,0,0,0
36,0.326562598,0,0.103128331,0.13516394,0,0,0,0.302802332,0,0,0,0.1323428
37,0.373108083,0,0,0.264146204,0,0,0,0.117942599,0.244803115,0,0,0
38,0.295752053,0,0.105556982,0.153298255,0,0,0,0.309933265,0,0,0,0.135459446
39,0.354770318,0,0,0.2741407,0,0,0,0.120655316,0.250433665,0,0,0
40,0.307459222,0,0.106053768,0.13899813,0,0,0,0.311391915,0,0,0,0.136096963
41,0.328557064,0,0,0.263888889,0,0.029600302,0,0.132981398,0.244972348,0,0,0
42,0.250048111,0,0.090576689,0.153249086,0,0.00756944,0,0.332798768,0.022644172,0,0.022644172,0.120469562
43,0.330215738,0,0,0.251527622,0,0.029055992,0,0.146152887,0.243047762,0,0,0
44,0.308808871,0,0.087964117,0.148828806,0,0.014515325,0,0.300897084,0,0,0.021991029,0.116994767
45,0.303334799,0,0,0.238711298,0,0,0,0.158010425,0.299943478,0,0,0
46,0.251192164,0,0.113738884,0.180048975,0,0.022747777,0,0.31125145,0,0,0,0.12102075
47,0.325134857,0,0,0.24409196,0,0.029925507,0,0.150526586,0.250321089,0,0,0
48,0.257351109,0,0.087964117,0.178295539,0,0.036506354,0,0.300897084,0,0,0,0.138985796
49,0.303468208,0,0,0.253455642,0,0,0,0.15807992,0.28499623,0,0,0
50,0,0,0.156302121,0.204670002,0,0.14661266,0,0.084504805,0.084107696,0,0.323802716,0
51,0.149468475,0,0.115652493,0.149468475,0,0.064057918,0,0.234879032,0.286473607,0,0,0
52,0.274091093,0,0.103054467,0.145695364,0,0,0,0.326395459,0,0,0,0.150763617
53,0,0,0,0.442626361,0,0.048464258,0,0.210219788,0,0,0.298689593,0
54,0,0,0,0.449548924,0,0.073490632,0,0.223108952,0,0,0.253851492,0
55,0,0,0,0.61724846,0,0,0,0.095687885,0,0,0.287063655,0
56,0,0,0,0.447751132,0,0.135124723,0,0.204468843,0,0,0.212655302,0
57,0,0,0,0.156564417,0,0,0.242331288,0,0,0,0.234846626,0.366257669
58,0,0.090729952,0,0.244002742,0,0.060486635,0.224468814,0,0.0895305,0,0.200051405,0.090729952
59,0,0.019802309,0,0.062160011,0,0,0.026403078,0,0.035756932,0,0,0.85587767
60,0,0,0.140122063,0,0,0,0,0,0.140122063,0,0.719755873,0
61,0.347030049,0,0,0.249336129,0,0,0,0.131236897,0.272396925,0,0,0
62,0.246988786,0,0.09774332,0.149245466,0,0,0,0.376021044,0,0,0,0.130001384
63,0.347030049,0,0,0.249336129,0,0,0,0.131236897,0.272396925,0,0,0
64,0.236256214,0,0.101736436,0.145327473,0,0.016787953,0,0.364579581,0,0,0,0.135312342
65,0.27949122,0,0,0.223210266,0,0.060670869,0,0.164002701,0.246004052,0,0.026620891,0
66,0.248549385,0,0.090033795,0.17815469,0,0.030160046,0,0.333354588,0,0,0,0.119747497
67,0.330977846,0,0,0.24197861,0,0.029666412,0,0.149223326,0.248153807,0,0,0
68,0.257502179,0,0.102726933,0.163678247,0,0.036483626,0,0.30070975,0,0,0,0.138899265
69,0.309639606,0,0,0.251527622,0,0,0,0.156877416,0.281955356,0,0,0
70,0,0,0.156302121,0.204670002,0,0.14661266,0,0.084504805,0.084107696,0,0.323802716,0
71,0.265120968,0,0,0.149468475,0,0.064057918,0,0.234879032,0.286473607,0,0,0
72,0.294341925,0,0.080753393,0.125438463,0,0.053301815,0,0.276040872,0,0,0,0.170123532
73,0.27949122,0,0,0.223210266,0,0.060670869,0,0.164002701,0.246004052,0,0.026620891,0
74,0.248549385,0,0.090033795,0.17815469,0,0.030160046,0,0.333354588,0,0,0,0.119747497
75,0.330977846,0,0,0.24197861,0,0.029666412,0,0.149223326,0.248153807,0,0,0
76,0.257502179,0,0.102726933,0.163678247,0,0.036483626,0,0.30070975,0,0,0,0.138899265
77,0.309639606,0,0,0.251527622,0,0,0,0.156877416,0.281955356,0,0,0
78,0,0,0.156302121,0.204670002,0,0.14661266,0,0.084504805,0.084107696,0,0.323802716,0
79,0.265120968,0,0,0.149468475,0,0.064057918,0,0.234879032,0.286473607,0,0,0
80,0.306238185,0,0.071496084,0.145557656,0,0,0,0.326086957,0,0,0,0.150621118
81,0.228326613,0,0,0.171010945,0,0.171010945,0,0.150993664,0.278657834,0,0,0
82,0.242092333,0,0.108404136,0.096836933,0,0,0,0.371993039,0,0,0,0.180673559
