Measure,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
1,1,0,0,1,0,0,0,1,1,0,0,0
2,1,0,1,1,0,0,0,1,0,0,0,1
3,1,0,0,1,0,0,0,1,1,0,0,0
4,1,0,1,1,0,0,0,1,0,0,0,1
5,1,0,0,1,0,0,0,1,1,0,0,0
6,1,0,1,1,0,0,0,1,0,0,1,1
7,1,0,0,1,0,0,0,1,1,0,0,0
8,1,0,1,1,0,0,0,1,0,0,0,1
9,1,0,0,1,0,0,0,1,1,0,0,0
10,1,0,1,1,0,0,0,1,0,0,0,1
11,1,0,0,1,0,0,0,1,1,0,0,0
12,1,0,1,1,0,0,0,1,0,0,0,1
13,1,0,1,1,0,1,0,1,1,0,0,0
14,1,0,1,1,0,1,0,1,0,0,0,1
15,1,0,0,1,0,0,0,1,1,0,0,0
16,1,0,1,1,0,0,0,1,0,0,0,1
17,1,0,0,1,0,1,0,1,1,0,0,0
18,1,0,1,1,0,1,0,1,1,0,1,1
19,1,0,0,1,0,1,0,1,1,0,0,0
20,1,0,1,1,0,1,0,1,0,0,1,1
21,1,0,0,1,0,0,0,1,1,0,0,0
22,1,0,1,1,0,1,0,1,0,0,0,1
23,1,0,0,1,0,1,0,1,1,0,0,0
24,1,0,1,1,0,1,0,1,0,0,0,1
25,1,0,0,1,0,0,0,1,1,0,0,0
26,0,0,1,1,0,1,0,1,1,0,1,0
27,1,0,1,1,0,1,0,1,1,0,0,0
28,1,0,1,1,1,0,0,1,0,0,0,1
29,1,0,0,1,0,0,0,1,1,0,0,0
30,1,0,1,1,0,0,0,1,0,0,0,1
31,1,0,0,1,0,0,0,1,1,0,0,0
32,1,0,1,1,0,0,0,1,0,0,0,1
33,1,0,0,1,0,0,0,1,1,0,0,0
34,1,0,1,1,0,0,0,1,0,0,1,1
35,1,0,0,1,0,0,0,1,1,0,0,0
36,1,0,1,1,0,0,0,1,0,0,0,1
37,1,0,0,1,0,0,0,1,1,0,0,0
38,1,0,1,1,0,0,0,1,0,0,0,1
39,1,0,0,1,0,0,0,1,1,0,0,0
40,1,0,1,1,0,0,0,1,0,0,0,1
41,1,0,0,1,0,1,0,1,1,0,0,0
42,1,0,1,1,0,1,0,1,1,0,1,1
43,1,0,0,1,0,1,0,1,1,0,0,0
44,1,0,1,1,0,1,0,1,0,0,1,1
45,1,0,0,1,0,0,0,1,1,0,0,0
46,1,0,1,1,0,1,0,1,0,0,0,1
47,1,0,0,1,0,1,0,1,1,0,0,0
48,1,0,1,1,0,1,0,1,0,0,0,1
49,1,0,0,1,0,0,0,1,1,0,0,0
50,0,0,1,1,0,1,0,1,1,0,1,0
51,1,0,1,1,0,1,0,1,1,0,0,0
52,1,0,1,1,0,0,0,1,0,0,0,1
53,0,0,0,1,0,1,0,1,0,0,1,0
54,0,0,0,1,0,1,0,1,0,0,1,0
55,0,0,0,1,0,0,0,1,0,0,1,0
56,0,0,0,1,0,1,0,1,0,0,1,0
57,0,0,0,1,0,0,1,0,0,0,1,1
58,0,1,0,1,0,1,1,0,1,0,1,1
59,0,1,0,1,0,0,1,0,1,0,0,1
60,0,0,1,0,0,0,0,0,1,0,1,0
61,1,0,0,1,0,0,0,1,1,0,0,0
62,1,0,1,1,0,0,0,1,0,0,0,1
63,1,0,0,1,0,0,0,1,1,0,0,0
64,1,0,1,1,0,1,0,1,0,0,0,1
65,1,0,0,1,0,1,0,1,1,0,1,0
66,1,0,1,1,0,1,0,1,0,0,0,1
67,1,0,0,1,0,1,0,1,1,0,0,0
68,1,0,1,1,0,1,0,1,0,0,0,1
69,1,0,0,1,0,0,0,1,1,0,0,0
70,0,0,1,1,0,1,0,1,1,0,1,0
71,1,0,0,1,0,1,0,1,1,0,0,0
72,1,0,1,1,0,1,0,1,0,0,0,1
73,1,0,0,1,0,1,0,1,1,0,1,0
74,1,0,1,1,0,1,0,1,0,0,0,1
75,1,0,0,1,0,1,0,1,1,0,0,0
76,1,0,1,1,0,1,0,1,0,0,0,1
77,1,0,0,1,0,0,0,1,1,0,0,0
78,0,0,1,1,0,1,0,1,1,0,1,0
79,1,0,0,1,0,1,0,1,1,0,0,0
80,1,0,1,1,0,0,0,1,0,0,0,1
81,1,0,0,1,0,1,0,1,1,0,0,0
82,1,0,1,1,0,0,0,1,0,0,0,1
