Measure,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
1,0,0.403432836,0,0,0.197238806,0,0.00880597,0,0,0.322164179,0,0.068358209
2,0,0.014203912,0.392727002,0,0.012716591,0,0.217000074,0,0.016583625,0.335167695,0,0.011601101
3,0,0.47606383,0,0,0.177577741,0,0.004756547,0,0.009001637,0.294547872,0,0.038052373
4,0,0,0.233666174,0,0.035194773,0,0.313424556,0,0.057877219,0.337771203,0,0.022066075
5,0,0.387154083,0,0,0.200068329,0,0.006696276,0,0,0.34451657,0,0.061564742
6,0,0.015311952,0.398491658,0,0.017368782,0,0.212767578,0,0.014702522,0.329854498,0,0.011503009
7,0,0.265902778,0,0,0.197361111,0,0,0,0.138263889,0.14125,0,0.257222222
8,0,0.13893108,0.076276818,0,0.156066072,0,0.101623315,0,0.009635466,0.498053921,0,0.019413328
9,0.005267622,0.020445516,0,0,0.32797643,0,0.006963975,0,0.378063479,0.016204634,0,0.245078345
10,0,0.343765139,0.010560992,0.00876853,0.005232051,0.230549365,0,0,0.118786939,0.009252979,0,0.273084003
11,0,0.153285066,0,0,0.082504863,0,0.218554139,0,0.099362438,0.302085585,0,0.14420791
12,0,0.078938593,0,0.228288314,0.047353628,0,0.255871564,0,0.016149778,0.155638131,0,0.217759992
13,0,0.009114735,0.115666861,0,0.688759464,0,0.031654048,0,0.009405941,0.145398952,0,0
14,0,0,0.222157392,0,0.235066735,0,0.096273065,0,0.022828386,0.351469623,0,0.072204799
15,0,0.249262189,0.019655295,0,0.18699091,0,0.005784441,0,0.030633928,0.502479046,0,0.005194192
16,0,0.005338171,0.342472143,0,0.026639026,0,0.264887276,0,0.049442861,0.287328323,0,0.0238922
17,0,0.44695071,0.040100251,0,0.103472968,0,0.052392887,0,0,0.313163862,0,0.043919322
18,0,0.164497041,0.056410256,0,0.187771203,0,0.077712032,0,0,0.513609467,0,0
19,0,0.276449803,0,0,0.426868981,0,0.007482852,0,0,0.289198365,0,0
20,0,0,0.283057383,0,0.064564905,0,0.301050881,0,0.048310274,0.279730854,0,0.023285703
21,0,0.402850261,0,0,0.292586645,0,0.006556938,0,0,0.298006155,0,0
22,0,0.310179358,0,0,0.019194462,0,0.357772184,0,0.027218376,0.264317181,0,0.021318439
23,0,0.121788103,0.039246744,0,0.520679338,0,0.009503696,0,0.094596973,0.127419923,0,0.086765224
24,0,0.10539967,0.056276036,0,0.591920145,0,0.008881553,0,0.072860174,0.091487857,0,0.073174566
25,0,0.075214707,0,0,0.13835212,0,0.676596887,0,0.016639828,0.072530864,0,0.020665593
26,0,0.093067924,0,0,0.144054479,0,0.592194866,0,0.045486293,0.096123625,0,0.029072813
27,0,0.248064436,0,0,0.26742008,0,0.121191309,0,0,0.363324176,0,0
28,0,0,0.277422863,0,0.034389017,0,0.292578497,0,0.022495582,0.373114041,0,0
29,0,0.295448351,0,0,0.309757427,0,0.007358953,0,0,0.387435268,0,0
30,0,0.344036411,0,0,0.020200761,0,0.41043706,0,0.017831536,0.207494233,0,0
31,0,0.146341463,0.062286913,0,0.47705219,0,0.005441909,0,0.065761867,0.160700236,0,0.082415421
32,0,0.153043373,0.046268927,0,0.51432708,0,0,0,0.050370996,0.127827713,0,0.108161911
33,0,0.110362258,0,0,0.133810727,0,0.591266498,0,0.01951699,0.123069363,0,0.021974165
34,0,0.152403735,0,0,0.103943205,0,0.475499653,0,0.042518713,0.160892044,0,0.06474265
35,0,0.05355006,0.468787395,0,0,0,0.197048265,0,0,0.170323095,0,0.110291185
36,0,0.013686447,0.150402688,0,0.337467266,0,0.055832798,0,0.20025693,0,0,0.242353871
37,0,0.197718154,0.009110665,0,0.158224674,0,0.004513541,0,0.035272484,0.595160481,0,0
38,0,0,0.262779773,0,0.008897485,0,0.28250898,0,0.041945289,0.355180989,0,0.048687483
39,0,0.216236324,0.009540481,0,0.252691466,0,0.003851204,0,0.035754923,0.478074398,0,0.003851204
40,0,0,0.285076626,0,0.03466746,0,0.356444973,0,0.051678818,0.254376829,0,0.017755294
41,0,0.250749946,0.014623955,0,0.290122134,0,0.004713949,0,0.026033855,0.41375616,0,0
42,0,0,0.22164022,0,0.009294921,0,0.261901094,0,0.036409387,0.413033431,0,0.057720947
43,0,0.238847669,0,0,0.294265824,0,0,0,0.113446918,0.173765687,0,0.179673903
44,0,0.129582651,0.052250409,0,0.299304419,0,0.102045827,0,0.024386252,0.345499182,0,0.04693126
45,0.003876938,0.013048191,0,0,0.284892446,0,0.006503252,0,0.435050859,0.015757879,0,0.240870435
46,0,0.256748435,0,0.009801909,0.010982244,0.188237709,0,0,0.201888535,0.040234014,0,0.292107154
47,0,0.148194014,0,0,0.07750258,0,0.236790506,0,0.095149639,0.310835913,0,0.131527348
48,0,0.069714038,0,0.23652513,0.053596187,0,0.251993068,0,0.00957539,0.173483536,0,0.205112652
49,0,0.009760962,0.114834849,0,0.663836088,0,0.032395515,0,0.010063159,0.169109426,0,0
50,0,0,0.2437026,0,0.20402221,0,0.098388407,0,0.019501625,0.372223727,0,0.06216143
51,0,0.224469481,0.014614723,0,0.194516085,0,0.005112891,0,0.036514185,0.520790914,0,0.00398172
52,0,0.005867201,0.362096928,0,0.02499523,0,0.276378554,0,0.043980156,0.26397634,0,0.022705591
53,0,0.439950095,0,0,0.222076302,0,0.007420054,0,0,0.308359052,0,0.022194497
54,0,0,0.266953915,0,0.019482952,0,0.280535781,0,0,0.433027351,0,0
55,0,0.082788239,0.026494879,0,0.422993062,0,0.034291378,0,0,0.433432441,0,0
56,0,0.171235546,0.038456542,0,0.357152137,0,0.05378719,0,0.016629856,0.362738729,0,0
57,0,0.269631333,0,0,0.301130918,0,0.142227334,0,0,0.287010415,0,0
58,0,0,0.2762409,0,0.027531436,0,0.291661152,0,0.021906023,0.38266049,0,0
59,0,0.321229847,0,0,0.341917535,0,0.008417749,0,0,0.328434869,0,0
60,0,0.356693346,0,0,0.008614896,0,0.396468504,0,0.025294801,0.212928454,0,0
61,0,0.134413781,0.040346801,0,0.534765116,0,0,0,0.077973593,0.129653766,0,0.082846943
62,0,0.122028272,0.044281431,0,0.593542514,0,0,0,0.062433069,0.107035768,0,0.070678946
63,0,0.09571926,0,0,0.181743702,0,0.582166997,0,0.018297262,0.101385949,0,0.02068683
64,0,0.183157895,0,0,0.095639098,0,0.429398496,0,0.042556391,0.169022556,0,0.080225564
65,0,0.068872878,0.3878984,0,0,0,0.190804738,0,0.014226401,0.178104775,0,0.160092807
66,0,0.016530797,0.160495924,0,0.297780797,0,0.046648551,0,0.205389493,0,0,0.273154438
67,0,0.238751566,0.014124616,0,0.183050461,0,0.005581501,0,0.044936781,0.513555075,0,0
68,0,0,0.256620536,0,0.014750271,0,0.163335042,0,0.059627541,0.371490404,0,0.134176206
69,0,0.190549864,0.009951913,0,0.145180849,0,0.003679699,0,0.045578089,0.601379887,0,0.003679699
70,0,0,0.299472633,0,0.035277252,0,0.290819722,0,0.054119093,0.301981465,0,0.018329835
71,0,0.244091904,0.01356674,0,0.190317287,0,0.006181619,0,0.041520788,0.504321663,0,0
72,0,0,0.239672709,0,0.013239389,0,0.185180976,0,0.055514518,0.418773794,0,0.087618615
73,0,0.266435247,0,0,0.232042724,0,0,0,0.128544726,0.173351135,0,0.199626168
74,0,0.14696823,0.041670334,0,0.275983455,0,0.063627563,0,0.040438265,0.378949221,0,0.052362932
75,0,0.042721608,0,0,0.262336496,0,0.009319037,0,0.339358895,0.018694212,0,0.327569752
76,0,0.329039873,0.004515831,0.006055319,0.005542156,0.191563607,0,0,0.203161082,0.037152974,0,0.222969159
77,0,0.133301646,0,0,0.053536707,0,0.187486497,0,0.117141252,0.336473232,0.004882686,0.16717798
78,0,0.061498929,0,0.216702355,0.043426124,0,0.31130621,0,0.014518201,0.106723769,0,0.245824411
