Measure,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
1,0,0.233333333,0,0,0.2,0,0.033333333,0,0,0.466666667,0,0.066666667
2,0,0.058823529,0.205882353,0,0.058823529,0,0.176470588,0,0.029411765,0.411764706,0,0.058823529
3,0,0.25,0,0,0.204545455,0,0.022727273,0,0.045454545,0.409090909,0,0.068181818
4,0,0,0.184210526,0,0.052631579,0,0.263157895,0,0.078947368,0.394736842,0,0.026315789
5,0,0.233333333,0,0,0.2,0,0.033333333,0,0,0.466666667,0,0.066666667
6,0,0.058823529,0.205882353,0,0.029411765,0,0.176470588,0,0.029411765,0.441176471,0,0.058823529
7,0,0.177777778,0,0,0.2,0,0,0,0.155555556,0.177777778,0,0.288888889
8,0,0.097560976,0.097560976,0,0.146341463,0,0.170731707,0,0.024390244,0.390243902,0,0.073170732
9,0.027027027,0.027027027,0,0,0.378378378,0,0.054054054,0,0.216216216,0.027027027,0,0.27027027
10,0,0.307692308,0.025641026,0.051282051,0.025641026,0.205128205,0,0,0.102564103,0.051282051,0,0.230769231
11,0,0.086956522,0,0,0.086956522,0,0.217391304,0,0.173913043,0.260869565,0,0.173913043
12,0,0.125,0,0.194444444,0.041666667,0,0.166666667,0,0.041666667,0.194444444,0,0.236111111
13,0,0.028571429,0.257142857,0,0.257142857,0,0.114285714,0,0.028571429,0.314285714,0,0
14,0,0,0.189189189,0,0.162162162,0,0.135135135,0,0.027027027,0.351351351,0,0.135135135
15,0,0.224489796,0.020408163,0,0.224489796,0,0.020408163,0,0.06122449,0.428571429,0,0.020408163
16,0,0.02,0.22,0,0.06,0,0.24,0,0.06,0.36,0,0.04
17,0,0.178571429,0.071428571,0,0.142857143,0,0.107142857,0,0,0.464285714,0,0.035714286
18,0,0.12,0.08,0,0.16,0,0.12,0,0,0.52,0,0
19,0,0.357142857,0,0,0.482142857,0,0.017857143,0,0,0.142857143,0,0
20,0,0,0.359375,0,0.046875,0,0.375,0,0.046875,0.15625,0,0.015625
21,0,0.385964912,0,0,0.456140351,0,0.01754386,0,0,0.140350877,0,0
22,0,0.388888889,0,0,0.055555556,0,0.388888889,0,0.037037037,0.092592593,0,0.037037037
23,0,0.069767442,0.046511628,0,0.441860465,0,0.023255814,0,0.11627907,0.139534884,0,0.162790698
24,0,0.055555556,0.055555556,0,0.472222222,0,0.027777778,0,0.111111111,0.083333333,0,0.194444444
25,0,0.060606061,0,0,0.272727273,0,0.545454545,0,0.03030303,0.060606061,0,0.03030303
26,0,0.071428571,0,0,0.178571429,0,0.571428571,0,0.071428571,0.071428571,0,0.035714286
27,0,0.338709677,0,0,0.419354839,0,0.032258065,0,0,0.209677419,0,0
28,0,0,0.352941176,0,0.029411765,0,0.367647059,0,0.029411765,0.220588235,0,0
29,0,0.35483871,0,0,0.435483871,0,0.016129032,0,0,0.193548387,0,0
30,0,0.362068966,0,0,0.051724138,0,0.448275862,0,0.034482759,0.103448276,0,0
31,0,0.074074074,0.092592593,0,0.407407407,0,0.018518519,0,0.111111111,0.12962963,0,0.166666667
32,0,0.081632653,0.081632653,0,0.448979592,0,0,0,0.102040816,0.06122449,0,0.224489796
33,0,0.105263158,0,0,0.184210526,0,0.5,0,0.026315789,0.157894737,0,0.026315789
34,0,0.151515152,0,0,0.121212121,0,0.424242424,0,0.060606061,0.151515152,0,0.090909091
35,0,0.19047619,0.333333333,0,0,0,0.095238095,0,0,0.047619048,0,0.333333333
36,0,0.058823529,0.338235294,0,0.147058824,0,0.073529412,0,0.088235294,0,0,0.294117647
37,0,0.313953488,0.011627907,0,0.313953488,0,0.011627907,0,0.034883721,0.313953488,0,0
38,0,0,0.352941176,0,0.023529412,0,0.282352941,0,0.035294118,0.282352941,0,0.023529412
39,0,0.317647059,0.011764706,0,0.329411765,0,0.011764706,0,0.047058824,0.270588235,0,0.011764706
40,0,0,0.320987654,0,0.037037037,0,0.358024691,0,0.049382716,0.222222222,0,0.012345679
41,0,0.333333333,0.012345679,0,0.333333333,0,0.012345679,0,0.024691358,0.283950617,0,0
42,0,0,0.333333333,0,0.024691358,0,0.308641975,0,0.037037037,0.259259259,0,0.037037037
43,0,0.220588235,0,0,0.220588235,0,0,0,0.132352941,0.191176471,0,0.235294118
44,0,0.088888889,0.088888889,0,0.222222222,0,0.177777778,0,0.044444444,0.288888889,0,0.088888889
45,0.014084507,0.014084507,0,0,0.394366197,0,0.028169014,0,0.38028169,0.014084507,0,0.154929577
46,0,0.152777778,0,0.027777778,0.041666667,0.291666667,0,0,0.319444444,0.041666667,0,0.125
47,0,0.05,0,0,0.05,0,0.35,0,0.1,0.35,0,0.1
48,0,0.08,0,0.18,0.04,0,0.27,0,0.02,0.28,0,0.13
49,0,0.014925373,0.149253731,0,0.358208955,0,0.059701493,0,0.014925373,0.402985075,0,0
50,0,0,0.323943662,0,0.084507042,0,0.084507042,0,0.014084507,0.408450704,0,0.084507042
51,0,0.310344828,0.011494253,0,0.32183908,0,0.011494253,0,0.045977011,0.287356322,0,0.011494253
52,0,0.012048193,0.325301205,0,0.036144578,0,0.337349398,0,0.048192771,0.21686747,0,0.024096386
53,0,0.367647059,0,0,0.352941176,0,0.014705882,0,0,0.25,0,0.014705882
54,0,0,0.319148936,0,0.021276596,0,0.319148936,0,0,0.340425532,0,0
55,0,0.05,0.1,0,0.2,0,0.15,0,0,0.5,0,0
56,0,0.052631579,0.105263158,0,0.157894737,0,0.157894737,0,0.052631579,0.473684211,0,0
57,0,0.350877193,0,0,0.456140351,0,0.035087719,0,0,0.157894737,0,0
58,0,0,0.353846154,0,0.030769231,0,0.369230769,0,0.030769231,0.215384615,0,0
59,0,0.375,0,0,0.464285714,0,0.017857143,0,0,0.142857143,0,0
60,0,0.388888889,0,0,0.037037037,0,0.425925926,0,0.055555556,0.092592593,0,0
61,0,0.06779661,0.06779661,0,0.491525424,0,0,0,0.118644068,0.101694915,0,0.152542373
62,0,0.052631579,0.070175439,0,0.526315789,0,0,0,0.122807018,0.052631579,0,0.175438596
63,0,0.102564103,0,0,0.230769231,0,0.487179487,0,0.025641026,0.128205128,0,0.025641026
64,0,0.2,0,0,0.114285714,0,0.342857143,0,0.057142857,0.171428571,0,0.114285714
65,0,0.193548387,0.35483871,0,0,0,0.161290323,0,0.032258065,0.129032258,0,0.129032258
66,0,0.105263158,0.263157895,0,0.263157895,0,0.078947368,0,0.157894737,0,0,0.131578947
