Measure,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
1,0.134610956,2.55866E-05,0.356318604,0,0.126244147,0.108128854,0,0,0,0.162193281,0.112478571,0
2,0.132428626,0,0.36020996,0,0.126513891,0.10692613,0,0,0,0.160081936,0.113839457,0
3,0,0,0.075037961,0,0.1578995,0.100198103,0,0.071437909,0,0.595426526,0,0
4,0,0,0.142386754,0,0.404565909,0.051021528,0,0.05180551,0,0.350220299,0,0
5,0.118317833,0,0.712980186,0,0,0.122280631,0,0,0,0.046421351,0,0
6,0.097489784,0,0.4068885,0,0.316695855,0,0,0,0,0.178925861,0,0
7,0.086205174,0,0.717310958,0,0,0.162221556,0,0,0,0.034262311,0,0
8,0.084285991,0,0.351482271,0,0.428211587,0,0,0,0,0.136020151,0,0
9,0.060765718,0,0.804987706,0,0,0.111134528,0,0,0,0.023112048,0,0
10,0.076727734,0,0.338472701,0,0.139669871,0.318157083,0,0,0,0.12697261,0,0
11,0.121311945,0,0.440561444,0,0,0.134631911,0,0.254941278,0,0.048553423,0,0
12,0.073818375,0,0.323597097,0,0.48433351,0,0,0,0,0.118251018,0,0
13,0.0855071,0,0.723436398,0,0,0.15731695,0,0,0,0.033739551,0,0
14,0.081452404,0,0.353287537,0,0.428263003,0,0,0,0,0.136997056,0,0
15,0.084984411,0,0.717187971,0,0,0.164739012,0,0,0,0.033088605,0,0
16,0.077796706,0,0.342229794,0,0.446715881,0,0,0,0,0.133257619,0,0
17,0.060213684,0,0.807259605,0,0,0.107549706,0,0,0,0.024977004,0,0
18,0.07831883,0,0.338455842,0,0.132568043,0.324384373,0,0,0,0.126272912,0,0
19,0.123309353,0,0.442014388,0,0,0.128920863,0,0.257553957,0,0.048201439,0,0
20,0.075156951,0,0.322152466,0,0.477130045,0,0,0,0,0.125560538,0,0
21,0.068195489,0,0.696240602,0,0,0.076992481,0,0,0,0.158571429,0,0
22,0.057692308,0,0.289989812,0,0.189251146,0,0,0.252419766,0,0.210646969,0,0
23,0.068442499,0,0.699215213,0,0,0.078025958,0,0,0,0.15431633,0,0
24,0.059061278,0,0.292177314,0,0.177574967,0,0,0.249804433,0,0.221382008,0,0
25,0.057697201,0,0.743384224,0,0,0.065776081,0,0,0,0.133142494,0,0
26,0.051783265,0,0.405121171,0,0.05704161,0.192043896,0,0.072473708,0,0.221536351,0,0
27,0.097432592,0,0.412718874,0,0.241594156,0,0,0.079278118,0,0.16897626,0,0
28,0.063056793,0,0.7577951,0,0,0,0,0,0,0.179148107,0,0
29,0.088727793,0,0.721564223,0,0,0.14845824,0,0,0,0.041249745,0,0
30,0.085527659,0,0.385793019,0,0.381710553,0,0,0,0,0.146968769,0,0
31,0.089309463,0,0.730946292,0,0,0.145268542,0,0,0,0.034475703,0,0
32,0.08729998,0,0.371075552,0,0.401053271,0,0,0,0,0.140571197,0,0
33,0.06207683,0,0.808424204,0,0,0.106050887,0,0,0,0.023448079,0,0
34,0.077148616,0,0.337914605,0,0.127909108,0.327652556,0,0,0,0.129375115,0,0
35,0.125283768,0,0.441259932,0,0,0.124858116,0,0.259364359,0,0.049233825,0,0
36,0.076209174,0,0.32339818,0,0.475459575,0,0,0,0,0.124933072,0,0
37,0.105784138,0,0.679189028,0,0,0.17340489,0,0,0,0.041621944,0,0
38,0.085795802,0,0.379050336,0,0.38883228,0,0,0,0,0.146321581,0,0
39,0.089771212,0,0.720324202,0,0,0.154919462,0,0,0,0.034985124,0,0
40,0.088555578,0,0.370248613,0,0.398191905,0,0,0,0,0.143003904,0,0
41,0.061005713,0,0.806474363,0,0,0.106777629,0,0,0,0.025742295,0,0
42,0.078756284,0,0.334760752,0,0.130329548,0.326196239,0,0,0,0.129957177,0,0
43,0.126200873,0,0.449490539,0,0,0.129257642,0,0.245705968,0,0.049344978,0,0
44,0.076033953,0,0.327975438,0,0.468123533,0,0,0,0,0.127867076,0,0
45,0.067737117,0,0.69454817,0,0,0.077968633,0,0,0,0.159746079,0,0
46,0.056092125,0,0.284670629,0,0.186478455,0,0,0.257305597,0,0.215453195,0,0
47,0.068113548,0,0.701862421,0,0,0.075247822,0,0,0,0.154776209,0,0
48,0.055392517,0,0.281120078,0,0.18659819,0,0,0.249694302,0,0.227194913,0,0
49,0.048900151,0,0.78401984,0,0,0.056717705,0,0,0,0.110362303,0,0
50,0.052080938,0,0.40400092,0,0.052770752,0.195907105,0,0.077948954,0,0.217291331,0,0
51,0.085808893,0,0.418826868,0,0.119678335,0.067928098,0,0.158183538,0,0.149574267,0,0
52,0.048114711,0,0.246096654,0,0.217843866,0,0,0.276367499,0,0.21157727,0,0
53,0.067696671,0,0.693834901,0,0,0.078817734,0,0,0,0.159650694,0,0
54,0.053915734,0,0.272673173,0,0.19542966,0,0,0.261842418,0,0.216139015,0,0
