Measure,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
1,0.124031008,0.007751938,0.387596899,0,0.108527132,0.108527132,0,0,0,0.170542636,0.093023256,0
2,0.125,0,0.390625,0,0.109375,0.109375,0,0,0,0.171875,0.09375,0
3,0,0,0.146341463,0,0.227642276,0.113821138,0,0.130081301,0,0.382113821,0,0
4,0,0,0.2,0,0.32,0.106666667,0,0.106666667,0,0.266666667,0,0
5,0.278688525,0,0.459016393,0,0,0.131147541,0,0,0,0.131147541,0,0
6,0.166666667,0,0.433333333,0,0.133333333,0,0,0,0,0.266666667,0,0
7,0.244444444,0,0.466666667,0,0,0.177777778,0,0,0,0.111111111,0,0
8,0.162790698,0,0.418604651,0,0.186046512,0,0,0,0,0.23255814,0,0
9,0.244444444,0,0.466666667,0,0,0.177777778,0,0,0,0.111111111,0,0
10,0.162790698,0,0.418604651,0,0.093023256,0.093023256,0,0,0,0.23255814,0,0
11,0.261904762,0,0.428571429,0,0,0.095238095,0,0.095238095,0,0.119047619,0,0
12,0.179487179,0,0.461538462,0,0.102564103,0,0,0,0,0.256410256,0,0
13,0.244444444,0,0.466666667,0,0,0.177777778,0,0,0,0.111111111,0,0
14,0.162790698,0,0.418604651,0,0.186046512,0,0,0,0,0.23255814,0,0
15,0.244444444,0,0.466666667,0,0,0.177777778,0,0,0,0.111111111,0,0
16,0.162790698,0,0.418604651,0,0.186046512,0,0,0,0,0.23255814,0,0
17,0.244444444,0,0.466666667,0,0,0.177777778,0,0,0,0.111111111,0,0
18,0.162790698,0,0.418604651,0,0.093023256,0.093023256,0,0,0,0.23255814,0,0
19,0.261904762,0,0.428571429,0,0,0.095238095,0,0.095238095,0,0.119047619,0,0
20,0.179487179,0,0.461538462,0,0.102564103,0,0,0,0,0.256410256,0,0
21,0.196428571,0,0.428571429,0,0,0.107142857,0,0,0,0.267857143,0,0
22,0.12962963,0,0.351851852,0,0.111111111,0,0,0.148148148,0,0.259259259,0,0
23,0.196428571,0,0.428571429,0,0,0.107142857,0,0,0,0.267857143,0,0
24,0.12962963,0,0.351851852,0,0.111111111,0,0,0.148148148,0,0.259259259,0,0
25,0.196428571,0,0.428571429,0,0,0.107142857,0,0,0,0.267857143,0,0
26,0.12962963,0,0.407407407,0,0.055555556,0.074074074,0,0.074074074,0,0.259259259,0,0
27,0.215686275,0,0.392156863,0,0.137254902,0,0,0.078431373,0,0.176470588,0,0
28,0.166666667,0,0.571428571,0,0,0,0,0,0,0.261904762,0,0
29,0.239130435,0,0.456521739,0,0,0.173913043,0,0,0,0.130434783,0,0
30,0.162790698,0,0.418604651,0,0.186046512,0,0,0,0,0.23255814,0,0
31,0.244444444,0,0.466666667,0,0,0.177777778,0,0,0,0.111111111,0,0
32,0.162790698,0,0.418604651,0,0.186046512,0,0,0,0,0.23255814,0,0
33,0.244444444,0,0.466666667,0,0,0.177777778,0,0,0,0.111111111,0,0
34,0.162790698,0,0.418604651,0,0.093023256,0.093023256,0,0,0,0.23255814,0,0
35,0.261904762,0,0.428571429,0,0,0.095238095,0,0.095238095,0,0.119047619,0,0
36,0.179487179,0,0.461538462,0,0.102564103,0,0,0,0,0.256410256,0,0
37,0.244444444,0,0.466666667,0,0,0.177777778,0,0,0,0.111111111,0,0
38,0.162790698,0,0.418604651,0,0.186046512,0,0,0,0,0.23255814,0,0
39,0.244444444,0,0.466666667,0,0,0.177777778,0,0,0,0.111111111,0,0
40,0.162790698,0,0.418604651,0,0.186046512,0,0,0,0,0.23255814,0,0
41,0.244444444,0,0.466666667,0,0,0.177777778,0,0,0,0.111111111,0,0
42,0.162790698,0,0.418604651,0,0.093023256,0.093023256,0,0,0,0.23255814,0,0
43,0.261904762,0,0.428571429,0,0,0.095238095,0,0.095238095,0,0.119047619,0,0
44,0.179487179,0,0.461538462,0,0.102564103,0,0,0,0,0.256410256,0,0
45,0.196428571,0,0.428571429,0,0,0.107142857,0,0,0,0.267857143,0,0
46,0.12962963,0,0.351851852,0,0.111111111,0,0,0.148148148,0,0.259259259,0,0
47,0.196428571,0,0.428571429,0,0,0.107142857,0,0,0,0.267857143,0,0
