Measure,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
1,0.087529047,0.113477924,0,0.273431448,0,0.167312161,0,0.043764524,0.134004648,0,0.180480248,0
2,0.019299744,0,0,0.24645602,0,0.353031597,0,0.12707088,0.098889838,0,0.087275833,0.067976089
3,0.123524268,0.321163096,0,0.164188894,0,0.183209445,0,0,0.183209445,0,0.024704854,0
4,0.024243725,0,0,0.309590217,0,0.272688264,0,0.159622399,0.12422227,0,0.109633126,0
5,0.120546192,0.313420098,0,0.160230425,0,0.178792405,0,0,0.178792405,0,0.048218477,0
6,0.051123511,0,0,0.252752224,0,0.26195144,0,0.182476248,0.174634293,0,0.077062283,0
7,0.14576,0.3096,0,0.19472,0,0.13408,0,0,0.13408,0,0.08176,0
8,0.060235507,0,0,0.217844203,0,0.281400966,0,0.112318841,0.121527778,0,0.206672705,0
9,0.182142857,0.291468254,0,0.149007937,0,0.166269841,0,0,0.166269841,0,0.04484127,0
10,0.03419062,0,0,0.253555219,0,0.279878971,0,0.180937973,0.174130106,0,0.07730711,0
11,0.145127629,0.308396211,0,0.195376465,0,0.134532028,0,0,0.134532028,0,0.08203564,0
12,0.103284578,0,0,0.185142417,0,0.16307416,0,0.095458045,0.156145753,0,0.296895047,0
13,0.113636364,0.295454545,0,0.151045857,0,0.168543846,0,0,0.248592116,0,0.022727273,0
14,0.139599944,0,0,0.215834382,0,0.221429571,0,0.126101553,0.186879284,0,0.110155266,0
15,0.049104815,0.311576569,0,0.187815053,0,0.123153137,0,0.05092995,0.175126021,0,0.102294455,0
16,0.153917335,0,0,0.220003085,0,0.199491055,0,0.139034547,0.166101172,0,0.121452807,0
17,0.060828997,0.32164005,0,0.162838687,0,0.127130809,0,0.031042526,0.19092051,0,0.105598421,0
18,0.098397241,0,0,0.152566443,0,0.337188071,0,0.130350984,0.188374924,0,0.093122337,0
19,0.094092678,0.244546634,0,0.122391227,0,0.17014503,0,0.151515152,0.122391227,0,0.094918052,0
20,0.125816242,0,0,0.116895061,0,0.331279316,0,0.12857537,0.181182746,0,0.116251265,0
21,0.128934777,0.216696046,0,0,0.057794007,0.189372954,0,0.116469403,0.188491564,0,0.102241249,0
22,0.089097088,0,0,0.138146413,0,0.341875631,0,0.096629007,0.24993111,0,0.08432075,0
23,0.094092678,0.244546634,0,0.122391227,0,0.17014503,0,0.151515152,0.122391227,0,0.094918052,0
24,0.12882569,0,0,0.11969112,0,0.338544119,0,0.120350315,0.184857331,0,0.107731425,0
25,0.132711249,0.223043027,0,0,0.059486781,0.180274754,0,0.119880767,0.179367548,0,0.105235874,0
26,0.181236454,0,0,0.184642378,0,0.283517391,0,0.100836,0.125606358,0,0.12416142,0
27,0.184069937,0.237817711,0,0.139873725,0,0.153958232,0,0,0.153958232,0,0.130322163,0
28,0.146388136,0,0,0.248126296,0,0.202678999,0,0.118641365,0.092329772,0,0.191835433,0
29,0.297353985,0.237011939,0,0.121168119,0,0.153436592,0,0,0.172797677,0,0.018231688,0
30,0.016518053,0,0,0.210934074,0,0.278029528,0,0.192369537,0.169273498,0,0.132875311,0
31,0.142541785,0.302901293,0,0.209713024,0,0.132134973,0,0,0.132134973,0,0.080573951,0
32,0.06017192,0,0,0.217614236,0,0.281103906,0,0.112200271,0.122455135,0,0.206454532,0
33,0.248124531,0.275506377,0,0.140847712,0,0.157164291,0,0,0.157164291,0,0.021192798,0
34,0.120044668,0,0,0.23329611,0,0.170202866,0,0.133631119,0.206774614,0,0.136050623,0
35,0.07284448,0.306526994,0,0.169943594,0,0.114182111,0,0.047219984,0.162369057,0,0.126913779,0
36,0.182394847,0,0,0.140138577,0,0.121986923,0,0.096028106,0.222601737,0,0.23684981,0
37,0.059618023,0.265273821,0,0.173367099,0,0.14951989,0,0.061833914,0.166191833,0,0.12419542,0
38,0.139599944,0,0,0.215834382,0,0.221429571,0,0.126101553,0.186879284,0,0.110155266,0
39,0.049104815,0.311576569,0,0.187815053,0,0.123153137,0,0.05092995,0.175126021,0,0.102294455,0
40,0.153917335,0,0,0.220003085,0,0.199491055,0,0.139034547,0.166101172,0,0.121452807,0
41,0.060828997,0.32164005,0,0.162838687,0,0.127130809,0,0.031042526,0.19092051,0,0.105598421,0
42,0.098397241,0,0,0.152566443,0,0.337188071,0,0.130350984,0.188374924,0,0.093122337,0
43,0.094092678,0.244546634,0,0.122391227,0,0.17014503,0,0.151515152,0.122391227,0,0.094918052,0
44,0.125816242,0,0,0.116895061,0,0.331279316,0,0.12857537,0.181182746,0,0.116251265,0
45,0.128934777,0.216696046,0,0,0.057794007,0.189372954,0,0.116469403,0.188491564,0,0.102241249,0
