Measure,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
1,0.173913043,0.086956522,0,0.173913043,0,0.130434783,0,0.086956522,0.173913043,0,0.173913043,0
2,0.04,0,0,0.24,0,0.36,0,0.12,0.12,0,0.08,0.04
3,0.384615385,0.230769231,0,0.153846154,0,0.076923077,0,0,0.076923077,0,0.076923077,0
4,0.045454545,0,0,0.272727273,0,0.318181818,0,0.136363636,0.136363636,0,0.090909091,0
5,0.357142857,0.214285714,0,0.142857143,0,0.071428571,0,0,0.071428571,0,0.142857143,0
6,0.09375,0,0,0.21875,0,0.28125,0,0.15625,0.1875,0,0.0625,0
7,0.35,0.25,0,0.2,0,0.05,0,0,0.05,0,0.1,0
8,0.090909091,0,0,0.181818182,0,0.242424242,0,0.090909091,0.151515152,0,0.242424242,0
9,0.4,0.2,0,0.133333333,0,0.066666667,0,0,0.066666667,0,0.133333333,0
10,0.057142857,0,0,0.2,0,0.285714286,0,0.2,0.2,0,0.057142857,0
11,0.347826087,0.304347826,0,0.173913043,0,0.043478261,0,0,0.043478261,0,0.086956522,0
12,0.151515152,0,0,0.181818182,0,0.212121212,0,0.090909091,0.121212121,0,0.242424242,0
13,0.357142857,0.214285714,0,0.142857143,0,0.071428571,0,0,0.142857143,0,0.071428571,0
14,0.125,0,0,0.214285714,0,0.303571429,0,0.107142857,0.160714286,0,0.089285714,0
15,0.135135135,0.27027027,0,0.189189189,0,0.108108108,0,0.054054054,0.135135135,0,0.108108108,0
16,0.137254902,0,0,0.215686275,0,0.274509804,0,0.117647059,0.156862745,0,0.098039216,0
17,0.162162162,0.27027027,0,0.135135135,0,0.108108108,0,0.054054054,0.162162162,0,0.108108108,0
18,0.098039216,0,0,0.156862745,0,0.352941176,0,0.098039216,0.176470588,0,0.117647059,0
19,0.142857143,0.19047619,0,0.142857143,0,0.142857143,0,0.119047619,0.142857143,0,0.119047619,0
20,0.107142857,0,0,0.125,0,0.339285714,0,0.107142857,0.178571429,0,0.142857143,0
21,0.181818182,0.159090909,0,0,0.068181818,0.181818182,0,0.113636364,0.204545455,0,0.090909091,0
22,0.092592593,0,0,0.148148148,0,0.351851852,0,0.074074074,0.222222222,0,0.111111111,0
23,0.142857143,0.19047619,0,0.142857143,0,0.142857143,0,0.119047619,0.142857143,0,0.119047619,0
24,0.103448276,0,0,0.120689655,0,0.344827586,0,0.103448276,0.189655172,0,0.137931034,0
25,0.19047619,0.166666667,0,0,0.071428571,0.166666667,0,0.119047619,0.19047619,0,0.095238095,0
26,0.184210526,0,0,0.210526316,0,0.236842105,0,0.105263158,0.105263158,0,0.157894737,0
27,0.375,0.125,0,0.125,0,0.083333333,0,0,0.083333333,0,0.208333333,0
28,0.1875,0,0,0.21875,0,0.21875,0,0.09375,0.09375,0,0.1875,0
29,0.523809524,0.142857143,0,0.095238095,0,0.095238095,0,0,0.095238095,0,0.047619048,0
30,0.03125,0,0,0.1875,0,0.28125,0,0.21875,0.1875,0,0.09375,0
31,0.333333333,0.291666667,0,0.208333333,0,0.041666667,0,0,0.041666667,0,0.083333333,0
32,0.09375,0,0,0.1875,0,0.25,0,0.09375,0.125,0,0.25,0
33,0.428571429,0.214285714,0,0.142857143,0,0.071428571,0,0,0.071428571,0,0.071428571,0
34,0.106382979,0,0,0.191489362,0,0.276595745,0,0.14893617,0.191489362,0,0.085106383,0
35,0.177777778,0.288888889,0,0.177777778,0,0.088888889,0,0.044444444,0.111111111,0,0.111111111,0
36,0.181818182,0,0,0.159090909,0,0.227272727,0,0.068181818,0.159090909,0,0.204545455,0
37,0.147058824,0.235294118,0,0.176470588,0,0.117647059,0,0.058823529,0.147058824,0,0.117647059,0
38,0.125,0,0,0.214285714,0,0.303571429,0,0.107142857,0.160714286,0,0.089285714,0
39,0.135135135,0.27027027,0,0.189189189,0,0.108108108,0,0.054054054,0.135135135,0,0.108108108,0
40,0.137254902,0,0,0.215686275,0,0.274509804,0,0.117647059,0.156862745,0,0.098039216,0
41,0.162162162,0.27027027,0,0.135135135,0,0.108108108,0,0.054054054,0.162162162,0,0.108108108,0
42,0.098039216,0,0,0.156862745,0,0.352941176,0,0.098039216,0.176470588,0,0.117647059,0
43,0.142857143,0.19047619,0,0.142857143,0,0.142857143,0,0.119047619,0.142857143,0,0.119047619,0
44,0.107142857,0,0,0.125,0,0.339285714,0,0.107142857,0.178571429,0,0.142857143,0
45,0.181818182,0.159090909,0,0,0.068181818,0.181818182,0,0.113636364,0.204545455,0,0.090909091,0
46,0.092592593,0,0,0.148148148,0,0.351851852,0,0.074074074,0.222222222,0,0.111111111,0
47,0.142857143,0.19047619,0,0.142857143,0,0.142857143,0,0.119047619,0.142857143,0,0.119047619,0
48,0.148148148,0,0,0.12962963,0,0.37037037,0,0.037037037,0.222222222,0,0.092592593,0
49,0.243902439,0.170731707,0,0,0.073170732,0.170731707,0,0.12195122,0.146341463,0,0.073170732,0
50,0.2,0,0,0.142857143,0,0.314285714,0,0.028571429,0.142857143,0,0.171428571,0
51,0.473684211,0.052631579,0,0.105263158,0,0.052631579,0,0,0.052631579,0,0.263157895,0
52,0.206896552,0,0,0.137931034,0,0.310344828,0,0,0.137931034,0,0.206896552,0
53,0.6875,0.0625,0,0.0625,0,0.0625,0,0,0.0625,0,0.0625,0
54,0.206896552,0,0,0.137931034,0,0.310344828,0,0,0.137931034,0,0.206896552,0
55,0.384615385,0.038461538,0,0.076923077,0,0.192307692,0,0,0.076923077,0,0.230769231,0
56,0.24,0,0,0.16,0,0.32,0,0,0.12,0,0.16,0
57,0.578947368,0.052631579,0,0,0,0.052631579,0,0.052631579,0.157894737,0,0.105263158,0
58,0.157894737,0,0,0.184210526,0,0.289473684,0,0.078947368,0.184210526,0,0.105263158,0
59,0.15625,0.25,0,0.1875,0,0.09375,0,0.0625,0.125,0,0.125,0
60,0.162162162,0,0,0.189189189,0,0.297297297,0,0.081081081,0.189189189,0,0.081081081,0
61,0,0.538461538,0,0,0,0.153846154,0,0,0.307692308,0,0,0
62,0.098039216,0,0,0.156862745,0,0.352941176,0,0.098039216,0.176470588,0,0.117647059,0
63,0.142857143,0.19047619,0,0.142857143,0,0.142857143,0,0.119047619,0.142857143,0,0.119047619,0
64,0.107142857,0,0,0.125,0,0.339285714,0,0.107142857,0.178571429,0,0.142857143,0
65,0.181818182,0.159090909,0,0,0.068181818,0.181818182,0,0.113636364,0.204545455,0,0.090909091,0
66,0.092592593,0,0,0.148148148,0,0.351851852,0,0.074074074,0.222222222,0,0.111111111,0
67,0.142857143,0.19047619,0,0.142857143,0,0.142857143,0,0.119047619,0.142857143,0,0.119047619,0
68,0.103448276,0,0,0.120689655,0,0.344827586,0,0.103448276,0.189655172,0,0.137931034,0
69,0.19047619,0.166666667,0,0,0.071428571,0.166666667,0,0.119047619,0.19047619,0,0.095238095,0
70,0.094339623,0,0,0.150943396,0,0.358490566,0,0.075471698,0.20754717,0,0.113207547,0
71,0.142857143,0.19047619,0,0.142857143,0,0.142857143,0,0.119047619,0.142857143,0,0.119047619,0
72,0.107142857,0,0,0.125,0,0.339285714,0,0.107142857,0.178571429,0,0.142857143,0
73,0.181818182,0.159090909,0,0,0.068181818,0.181818182,0,0.113636364,0.204545455,0,0.090909091,0
74,0.092592593,0,0,0.148148148,0,0.351851852,0,0.074074074,0.222222222,0,0.111111111,0
75,0.142857143,0.19047619,0,0.142857143,0,0.142857143,0,0.119047619,0.142857143,0,0.119047619,0
