Measure,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
1,0,0.217431803,0,0.063073852,0,0,0.463739188,0,0.161277445,0,0,0.094477711
2,0,0,0,0.086233519,0.366076731,0,0,0,0,0.435087303,0.056301223,0.056301223
3,0,0.22053644,0,0.064210241,0,0,0.455703062,0,0.163505825,0,0,0.096044432
4,0,0,0,0.08644636,0.369731801,0,0,0,0,0.430316092,0.056752874,0.056752874
5,0,0.158048495,0,0.046158341,0.170902717,0,0.337131171,0,0.116077515,0.104197098,0,0.067484663
6,0,0,0,0.074904782,0.550359712,0,0,0,0,0.274439272,0.050148117,0.050148117
7,0,0.069567023,0,0.049216073,0.211400685,0,0.350534732,0,0.120755892,0.128750909,0,0.069774686
8,0,0,0,0.332974138,0.391856527,0,0,0,0,0.202201355,0.03648399,0.03648399
9,0,0.216902526,0,0.06269012,0.082793281,0,0.380769739,0,0.159238196,0,0,0.097606137
10,0,0,0,0.120287253,0.33657753,0,0.095152603,0,0,0.358404989,0.044788812,0.044788812
11,0.010900243,0.206520681,0.021800487,0.065206813,0.021800487,0.019075426,0.215766423,0.03270073,0.134501217,0.13810219,0.019075426,0.114549878
12,0,0.052948255,0.012033694,0.095410005,0.285972151,0.02166065,0.13795771,0.012033694,0.031287605,0.247550284,0.062403301,0.040742651
13,0,0.196310935,0,0.056773266,0.080249132,0,0.237872799,0,0.142412265,0.200862379,0,0.085519224
14,0,0,0,0.142902745,0.373270909,0,0.10587359,0,0,0.27708023,0.050436263,0.050436263
15,0,0.18750672,0,0.050962262,0.103537254,0,0.294591979,0,0.129018385,0.163208257,0,0.071175142
16,0,0.024181306,0,0.080568206,0.363478638,0,0.082736933,0,0,0.334200824,0.051398829,0.063435264
17,0,0.198355104,0,0.057329463,0.052128689,0,0.457305273,0,0.145621674,0,0,0.089259797
18,0,0,0,0.117330168,0.323867787,0,0.091946676,0,0,0.380295836,0.043279766,0.043279766
19,0,0.198921106,0,0.053270398,0.062710722,0,0.289952798,0,0.133288379,0.168015284,0,0.093841313
20,0,0.007705856,0,0.082122413,0.41226332,0,0.016182299,0,0,0.342029943,0.052179657,0.087516513
21,0,0.128364389,0.128364389,0,0.422900351,0,0,0,0.149338374,0,0,0.171032496
22,0,0.152983788,0.122973439,0,0.347016212,0,0.010003449,0,0.183511556,0,0,0.183511556
23,0,0.118052407,0,0.150784296,0.13981322,0,0.376824735,0,0,0.021035452,0.171910418,0.021579472
24,0,0.146511867,0,0.170862016,0.146511867,0,0.341313059,0,0,0,0.194801192,0
25,0,0.139625967,0.139625967,0,0.348771174,0,0,0,0.162440027,0,0,0.209536865
26,0,0.152983788,0.122973439,0,0.347016212,0,0.010003449,0,0.183511556,0,0,0.183511556
27,0,0.148726229,0,0.127915321,0.138320775,0,0.372802296,0,0,0.020810908,0.17007535,0.021349121
28,0,0.150168492,0,0.150168492,0.150168492,0,0.349831508,0,0,0,0.199663016,0
29,0,0.222856366,0,0.064410925,0,0,0.448838157,0,0.163609186,0,0,0.100285365
30,0,0,0,0.074698795,0.3231011,0,0.105500262,0,0,0.397380828,0.049659508,0.049659508
31,0,0.217270563,0,0.06268183,0,0,0.316186194,0,0.156836816,0.158026977,0,0.08899762
32,0,0,0,0.089555822,0.365786315,0,0.118727491,0,0,0.31212485,0.056902761,0.056902761
33,0,0.230002807,0,0.06651698,0,0,0.201094583,0,0.166853775,0.235335392,0,0.100196464
34,0,0,0,0.089005862,0.367029549,0,0.119033377,0,0,0.311520517,0.056705348,0.056705348
35,0,0.219301793,0,0.063890012,0,0,0.322280631,0,0.161746866,0.143550344,0,0.089230354
36,0,0,0,0.100978527,0.416145692,0,0,0,0,0.354036423,0.064419679,0.064419679
37,0,0.144595417,0.144595417,0,0.349827621,0,0,0,0.168221456,0,0,0.192760089
38,0,0.159572557,0.128053161,0,0.319145115,0,0.010506466,0,0.191271552,0,0,0.191451149
39,0,0.123390152,0,0.157481061,0.146117424,0,0.348768939,0,0,0.022159091,0.179545455,0.022537879
40,0,0.154012312,0,0.179609029,0.154012312,0,0.307592613,0,0,0,0.204773734,0
41,0,0.142914412,0.142914412,0,0.333333333,0,0,0,0.166265785,0,0,0.214572059
42,0,0.159572557,0.128053161,0,0.319145115,0,0.010506466,0,0.191271552,0,0,0.191451149
43,0,0.155430712,0,0.133520599,0.144475655,0,0.344850187,0,0,0.021910112,0.17752809,0.022284644
44,0,0.15805808,0,0.15805808,0.15805808,0,0.3156728,0,0,0,0.210152959,0
45,0,0.259264978,0,0,0,0,0.740735022,0,0,0,0,0
46,0,0.726379794,0,0,0.109448082,0,0.109448082,0,0,0,0,0.054724041
47,0,0.424467398,0,0,0.075532602,0,0.424467398,0,0,0,0,0.075532602
48,0,0,0,0,0,0,1,0,0,0,0,0
49,0,0,0,0,0,0,1,0,0,0,0,0
50,0,0,0,0,0,0,1,0,0,0,0,0
51,0,0.313155136,0,0,0.061320755,0,0.564203354,0,0,0,0,0.061320755
52,0,0,0,0,0,0,1,0,0,0,0,0
53,0,0,0,0,0,0,1,0,0,0,0,0
54,0,0,0,0,0,0,1,0,0,0,0,0
55,0,0.115441539,0,0,0,0,0.884558461,0,0,0,0,0
56,0,0.166193182,0,0,0.166193182,0.083096591,0.501420455,0,0,0.083096591,0,0
57,0,0.099659284,0,0,0.199318569,0.099659284,0.501703578,0,0,0.099659284,0,0
58,0,0.144595417,0.144595417,0,0.349827621,0,0,0,0.168221456,0,0,0.192760089
59,0,0.159572557,0.128053161,0,0.319145115,0,0.010506466,0,0.191271552,0,0,0.191451149
60,0,0.161351694,0,0.150661352,0.139789817,0,0.333665519,0,0,0.021199493,0.171770248,0.021561877
61,0,0.154012312,0,0.179609029,0.154012312,0,0.307592613,0,0,0,0.204773734,0
62,0,0.142914412,0.142914412,0,0.333333333,0,0,0,0.166265785,0,0,0.214572059
63,0,0.159572557,0.128053161,0,0.340427443,0,0.010506466,0,0.169989224,0,0,0.191451149
64,0,0.155430712,0,0.133520599,0.144475655,0,0.344850187,0,0,0.021910112,0.17752809,0.022284644
65,0,0.15805808,0,0.15805808,0.15805808,0,0.3156728,0,0,0,0.210152959,0
66,0,0.174309956,0,0.050907529,0.188486736,0,0.268929223,0,0.128020621,0.114917839,0,0.074428096
67,0,0,0,0.074904782,0.550359712,0,0,0,0,0.274439272,0.050148117,0.050148117
68,0,0.153744452,0,0.044763434,0.192275002,0,0.318821418,0,0.109830957,0.117102654,0,0.063462083
69,0,0,0,0.332974138,0.391856527,0,0,0,0,0.202201355,0.03648399,0.03648399
70,0,0.192195008,0,0.055549045,0.055314661,0,0.469354272,0,0.141099262,0,0,0.086487753
71,0,0,0,0.131433315,0.338406198,0,0.092879543,0,0,0.349843202,0.043718871,0.043718871
72,0,0.227393617,0,0.057301741,0,0,0.33196325,0,0.143375242,0.15860735,0,0.081358801
73,0,0,0,0.089555822,0.365786315,0,0.118727491,0,0,0.31212485,0.056902761,0.056902761
74,0,0.177036077,0,0.051198963,0.050982934,0,0.334089436,0,0.128429466,0.181140635,0,0.077122489
75,0,0,0,0.150787075,0.378314002,0,0.103044739,0,0,0.269676885,0.04908865,0.04908865
76,0,0.260075303,0,0.066099568,0,0,0.24933761,0,0.167340678,0.164830568,0,0.092316274
77,0,0,0,0.100978527,0.416145692,0,0,0,0,0.354036423,0.064419679,0.064419679
78,0,0.192195008,0,0.055549045,0.055314661,0,0.469354272,0,0.141099262,0,0,0.086487753
79,0,0,0,0.131433315,0.338406198,0,0.092879543,0,0,0.349843202,0.043718871,0.043718871
80,0,0.227393617,0,0.057301741,0,0,0.33196325,0,0.143375242,0.15860735,0,0.081358801
81,0,0,0,0.101621033,0.415066067,0,0,0,0,0.35417518,0.06456886,0.06456886
82,0,0.192195008,0,0.055549045,0.055314661,0,0.469354272,0,0.141099262,0,0,0.086487753
83,0,0,0,0.138175119,0.355764569,0,0.046349268,0,0,0.367788228,0.045961408,0.045961408
84,0,0.382454411,0,0,0,0,0.588713652,0,0,0.028831937,0,0
