Measure,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
1,0,0.227272727,0,0.090909091,0,0,0.318181818,0,0.227272727,0,0,0.136363636
2,0,0,0,0.15,0.35,0,0,0,0,0.3,0.1,0.1
3,0,0.238095238,0,0.095238095,0,0,0.285714286,0,0.238095238,0,0,0.142857143
4,0,0,0,0.15,0.35,0,0,0,0,0.3,0.1,0.1
5,0,0.208333333,0,0.083333333,0.083333333,0,0.25,0,0.208333333,0.041666667,0,0.125
6,0,0,0,0.142857143,0.428571429,0,0,0,0,0.238095238,0.095238095,0.095238095
7,0,0.173913043,0,0.086956522,0.086956522,0,0.260869565,0,0.217391304,0.043478261,0,0.130434783
8,0,0,0,0.142857143,0.428571429,0,0,0,0,0.238095238,0.095238095,0.095238095
9,0,0.166666667,0,0.066666667,0.133333333,0,0.366666667,0,0.166666667,0,0,0.1
10,0,0,0,0.214285714,0.392857143,0,0.035714286,0,0,0.214285714,0.071428571,0.071428571
11,0.027586207,0.110344828,0.055172414,0.062068966,0.055172414,0.048275862,0.220689655,0.082758621,0.082758621,0.062068966,0.048275862,0.144827586
12,0,0.15942029,0.036231884,0.115942029,0.123188406,0.065217391,0.166666667,0.036231884,0.094202899,0.108695652,0.079710145,0.014492754
13,0,0.166666667,0,0.066666667,0.133333333,0,0.333333333,0,0.166666667,0.033333333,0,0.1
14,0,0,0,0.222222222,0.407407407,0,0.037037037,0,0,0.185185185,0.074074074,0.074074074
15,0,0.214285714,0,0.071428571,0.107142857,0,0.25,0,0.178571429,0.071428571,0,0.107142857
16,0,0.064516129,0,0.096774194,0.322580645,0,0.129032258,0,0,0.225806452,0.064516129,0.096774194
17,0,0.161290323,0,0.064516129,0.129032258,0,0.387096774,0,0.161290323,0,0,0.096774194
18,0,0,0,0.2,0.4,0,0.033333333,0,0,0.233333333,0.066666667,0.066666667
19,0,0.2,0,0.066666667,0.066666667,0,0.233333333,0,0.166666667,0.1,0,0.166666667
20,0,0.032258065,0,0.096774194,0.290322581,0,0.064516129,0,0,0.290322581,0.064516129,0.161290323
21,0,0.12195122,0.12195122,0,0.414634146,0,0,0,0.170731707,0,0,0.170731707
22,0,0.153846154,0.096153846,0,0.346153846,0,0.019230769,0,0.192307692,0,0,0.192307692
23,0,0.136363636,0,0.136363636,0.136363636,0,0.340909091,0,0,0.045454545,0.181818182,0.022727273
24,0,0.135135135,0,0.162162162,0.135135135,0,0.351351351,0,0,0,0.216216216,0
25,0,0.135135135,0.135135135,0,0.351351351,0,0,0,0.189189189,0,0,0.189189189
26,0,0.153846154,0.096153846,0,0.346153846,0,0.019230769,0,0.192307692,0,0,0.192307692
27,0,0.159090909,0,0.113636364,0.136363636,0,0.340909091,0,0,0.045454545,0.181818182,0.022727273
