Measure,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
1,0,1,0,1,0,0,1,0,1,0,0,1
2,0,0,0,1,1,0,0,0,0,1,1,1
3,0,1,0,1,0,0,1,0,1,0,0,1
4,0,0,0,1,1,0,0,0,0,1,1,1
5,0,1,0,1,1,0,1,0,1,1,0,1
6,0,0,0,1,1,0,0,0,0,1,1,1
7,0,1,0,1,1,0,1,0,1,1,0,1
8,0,0,0,1,1,0,0,0,0,1,1,1
9,0,1,0,1,1,0,1,0,1,0,0,1
10,0,0,0,1,1,0,1,0,0,1,1,1
11,1,1,1,1,1,1,1,1,1,1,1,1
12,0,1,1,1,1,1,1,1,1,1,1,1
13,0,1,0,1,1,0,1,0,1,1,0,1
14,0,0,0,1,1,0,1,0,0,1,1,1
15,0,1,0,1,1,0,1,0,1,1,0,1
16,0,1,0,1,1,0,1,0,0,1,1,1
17,0,1,0,1,1,0,1,0,1,0,0,1
18,0,0,0,1,1,0,1,0,0,1,1,1
19,0,1,0,1,1,0,1,0,1,1,0,1
20,0,1,0,1,1,0,1,0,0,1,1,1
21,0,1,1,0,1,0,0,0,1,0,0,1
22,0,1,1,0,1,0,1,0,1,0,0,1
23,0,1,0,1,1,0,1,0,0,1,1,1
24,0,1,0,1,1,0,1,0,0,0,1,0
25,0,1,1,0,1,0,0,0,1,0,0,1
26,0,1,1,0,1,0,1,0,1,0,0,1
27,0,1,0,1,1,0,1,0,0,1,1,1
28,0,1,0,1,1,0,1,0,0,0,1,0
29,0,1,0,1,0,0,1,0,1,0,0,1
30,0,0,0,1,1,0,1,0,0,1,1,1
31,0,1,0,1,0,0,1,0,1,1,0,1
32,0,0,0,1,1,0,1,0,0,1,1,1
33,0,1,0,1,0,0,1,0,1,1,0,1
34,0,0,0,1,1,0,1,0,0,1,1,1
35,0,1,0,1,0,0,1,0,1,1,0,1
36,0,0,0,1,1,0,0,0,0,1,1,1
37,0,1,1,0,1,0,0,0,1,0,0,1
38,0,1,1,0,1,0,1,0,1,0,0,1
39,0,1,0,1,1,0,1,0,0,1,1,1
40,0,1,0,1,1,0,1,0,0,0,1,0
41,0,1,1,0,1,0,0,0,1,0,0,1
42,0,1,1,0,1,0,1,0,1,0,0,1
43,0,1,0,1,1,0,1,0,0,1,1,1
44,0,1,0,1,1,0,1,0,0,0,1,0
45,0,1,0,0,0,0,1,0,0,0,0,0
46,0,1,0,0,1,0,1,0,0,0,0,1
47,0,1,0,0,1,0,1,0,0,0,0,1
48,0,0,0,0,0,0,1,0,0,0,0,0
49,0,0,0,0,0,0,1,0,0,0,0,0
50,0,0,0,0,0,0,1,0,0,0,0,0
51,0,1,0,0,1,0,1,0,0,0,0,1
52,0,0,0,0,0,0,1,0,0,0,0,0
53,0,0,0,0,0,0,1,0,0,0,0,0
54,0,0,0,0,0,0,1,0,0,0,0,0
55,0,1,0,0,0,0,1,0,0,0,0,0
56,0,1,0,0,1,1,1,0,0,1,0,0
57,0,1,0,0,1,1,1,0,0,1,0,0
58,0,1,1,0,1,0,0,0,1,0,0,1
59,0,1,1,0,1,0,1,0,1,0,0,1
60,0,1,0,1,1,0,1,0,0,1,1,1
61,0,1,0,1,1,0,1,0,0,0,1,0
62,0,1,1,0,1,0,0,0,1,0,0,1
63,0,1,1,0,1,0,1,0,1,0,0,1
64,0,1,0,1,1,0,1,0,0,1,1,1
65,0,1,0,1,1,0,1,0,0,0,1,0
66,0,1,0,1,1,0,1,0,1,1,0,1
67,0,0,0,1,1,0,0,0,0,1,1,1
68,0,1,0,1,1,0,1,0,1,1,0,1
69,0,0,0,1,1,0,0,0,0,1,1,1
70,0,1,0,1,1,0,1,0,1,0,0,1
71,0,0,0,1,1,0,1,0,0,1,1,1
72,0,1,0,1,0,0,1,0,1,1,0,1
73,0,0,0,1,1,0,1,0,0,1,1,1
74,0,1,0,1,1,0,1,0,1,1,0,1
75,0,0,0,1,1,0,1,0,0,1,1,1
76,0,1,0,1,0,0,1,0,1,1,0,1
77,0,0,0,1,1,0,0,0,0,1,1,1
78,0,1,0,1,1,0,1,0,1,0,0,1
79,0,0,0,1,1,0,1,0,0,1,1,1
80,0,1,0,1,0,0,1,0,1,1,0,1
81,0,0,0,1,1,0,0,0,0,1,1,1
82,0,1,0,1,1,0,1,0,1,0,0,1
83,0,0,0,1,1,0,1,0,0,1,1,1
84,0,1,0,0,0,0,1,0,0,1,0,0
