Measure,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
1,0,0,0,0.256622094,0,0.180734179,0,0.213951111,0,0,0.348692616,0
2,0,0,0.060932446,0.241105755,0,0.069628364,0,0.515927259,0,0,0.112406176,0
3,0.082194122,0,0,0.19429255,0,0,0,0.388243336,0.303485988,0,0.031784005,0
4,0.012788398,0,0,0.294177104,0,0.029136454,0,0.34005713,0.011733685,0,0.312107229,0
5,0,0,0.290972222,0.145399306,0,0.095659722,0,0.12734375,0,0,0.340625,0
6,0.083037185,0,0.212576926,0.165337609,0,0.092831759,0,0.264540175,0.089147959,0,0.092528387,0
7,0.178709125,0,0,0.071540768,0,0,0,0.243038698,0.256247323,0,0.250464087,0
8,0.163898435,0,0,0.275295914,0,0.026345934,0,0.021095838,0.16246659,0,0.350897289,0
9,0,0,0.045305932,0.245835279,0,0.221703254,0,0.364627121,0,0,0.122528414,0
10,0.267004342,0,0,0.142257598,0.074819103,0.239363242,0,0.087120116,0.136468886,0,0.052966715,0
11,0.059223623,0,0.03583278,0.071665561,0,0.344392833,0,0.28118779,0.170205707,0,0,0.037491705
12,0.214925373,0,0,0.146837242,0,0.125515281,0,0.067803838,0.111442786,0,0.33347548,0
13,0.144754702,0,0.032092302,0.136125654,0,0.067093271,0,0.172677914,0,0,0.447256157,0
14,0.309592425,0,0.015850144,0.290585975,0,0.082063949,0,0.170646357,0.110607932,0,0.020653218,0
15,0.042188282,0,0,0.009514271,0,0.358537807,0,0.088132198,0.382448673,0,0.119178768,0
16,0.190730243,0,0,0.252973213,0,0.153384461,0,0.072579749,0.182171835,0,0.148160498,0
17,0.207724426,0,0.06084981,0.136313398,0,0.04924475,0,0.227741619,0.078410905,0,0.239715093,0
18,0.166877691,0,0.217439014,0.080357897,0,0.205706086,0,0.091499958,0.175318646,0,0.062800709,0
19,0.223130516,0,0,0.092522062,0,0.36014863,0,0.034091965,0.066047376,0,0.159869949,0.064189503
20,0.025409746,0.323946761,0.111208888,0.096139039,0,0.221537785,0,0.113848862,0,0,0.107908921,0
21,0.106885624,0,0.141313742,0.083477384,0,0.1019879,0,0.283275713,0.077139153,0,0.205920484,0
22,0.094806875,0,0,0.207540196,0,0.094806875,0,0.225466642,0.097579006,0,0.279800407,0
23,0.027767952,0,0.085278859,0.247907086,0,0.013883976,0,0.404197618,0,0,0.220964509,0
24,0.122877733,0,0.164284842,0.201864745,0,0.019991043,0,0.212817068,0.126297789,0,0.151866781,0
25,0.180546437,0,0,0.209383364,0,0.044290692,0,0.221301954,0.246856219,0,0.00161608,0.096005252
26,0.021362482,0,0.010477141,0.162599782,0,0.248321843,0,0.152802975,0.253401669,0,0.02118106,0.129853048
27,0.027353178,0.06988225,0.004059095,0.230088496,0,0.086374607,0,0.264609084,0.008630147,0,0.309003145,0
