Measure,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
1,0,0,0,0.272727273,0,0.181818182,0,0.181818182,0,0,0.363636364,0
2,0,0,0.142857143,0.142857143,0,0.142857143,0,0.285714286,0,0,0.285714286,0
3,0.142857143,0,0,0.285714286,0,0,0,0.285714286,0.142857143,0,0.142857143,0
4,0.05,0,0,0.2,0,0.15,0,0.15,0.1,0,0.35,0
5,0,0,0.133333333,0.333333333,0,0.133333333,0,0.133333333,0,0,0.266666667,0
6,0.041666667,0,0.208333333,0.208333333,0,0.083333333,0,0.166666667,0.083333333,0,0.208333333,0
7,0.1875,0,0,0.125,0,0,0,0.25,0.25,0,0.1875,0
8,0.125,0,0,0.25,0,0.0625,0,0.0625,0.125,0,0.375,0
9,0,0,0.055555556,0.222222222,0,0.222222222,0,0.388888889,0,0,0.111111111,0
10,0.25,0,0,0.15,0.1,0.2,0,0.1,0.15,0,0.05,0
11,0.086956522,0,0.043478261,0.086956522,0,0.260869565,0,0.217391304,0.260869565,0,0,0.043478261
12,0.1,0,0,0.15,0,0.15,0,0.1,0.2,0,0.3,0
13,0.103448276,0,0.034482759,0.137931034,0,0.068965517,0,0.206896552,0,0,0.448275862,0
14,0.179487179,0,0.025641026,0.256410256,0,0.153846154,0,0.307692308,0.051282051,0,0.025641026,0
15,0.086956522,0,0,0.043478261,0,0.173913043,0,0.173913043,0.434782609,0,0.086956522,0
16,0.222222222,0,0,0.222222222,0,0.185185185,0,0.111111111,0.148148148,0,0.111111111,0
17,0.307692308,0,0.038461538,0.192307692,0,0.076923077,0,0.153846154,0.076923077,0,0.153846154,0
18,0.259259259,0,0.222222222,0.074074074,0,0.074074074,0,0.148148148,0.074074074,0,0.148148148,0
19,0.28,0,0,0.04,0,0.28,0,0.08,0.04,0,0.24,0.04
20,0.038461538,0.192307692,0.038461538,0.153846154,0,0.346153846,0,0.192307692,0,0,0.038461538,0
21,0.166666667,0,0.083333333,0.166666667,0,0.041666667,0,0.333333333,0.041666667,0,0.166666667,0
22,0.037037037,0,0,0.222222222,0,0.037037037,0,0.37037037,0.037037037,0,0.296296296,0
23,0.037037037,0,0.055555556,0.277777778,0,0.018518519,0,0.314814815,0,0,0.296296296,0
24,0.065217391,0,0.217391304,0.173913043,0,0.02173913,0,0.260869565,0.043478261,0,0.217391304,0
25,0.217391304,0,0,0.239130435,0,0.043478261,0,0.260869565,0.173913043,0,0.043478261,0.02173913
26,0.020833333,0,0.020833333,0.208333333,0,0.208333333,0,0.083333333,0.25,0,0.041666667,0.166666667
27,0.039473684,0.013157895,0.013157895,0.223684211,0,0.026315789,0,0.276315789,0.013157895,0,0.394736842,0
28,0.071428571,0.267857143,0,0,0.017857143,0.25,0,0.071428571,0.035714286,0,0.285714286,0
29,0.326530612,0.06122449,0,0,0.265306122,0,0,0.081632653,0.020408163,0,0.244897959,0
30,0.3,0.05,0,0.016666667,0.216666667,0,0,0.083333333,0.066666667,0,0.266666667,0
31,0.225806452,0,0,0.112903226,0,0.258064516,0,0.032258065,0.241935484,0,0.048387097,0.080645161
32,0,0,0,0.158730159,0,0.142857143,0,0.063492063,0.349206349,0,0.111111111,0.174603175
33,0,0,0.032258065,0.225806452,0,0.193548387,0,0.451612903,0,0,0.096774194,0
34,0.2,0,0,0.16,0.12,0.2,0,0.12,0.16,0,0.04,0
35,0.148148148,0,0.037037037,0.074074074,0,0.148148148,0,0.259259259,0.296296296,0,0,0.037037037
36,0.090909091,0,0.045454545,0.136363636,0,0.227272727,0,0.090909091,0.181818182,0,0.227272727,0
37,0.096774194,0,0.032258065,0.129032258,0,0.064516129,0,0.193548387,0,0,0.483870968,0
38,0.166666667,0,0.027777778,0.194444444,0,0.166666667,0,0.333333333,0.083333333,0,0.027777778,0
39,0.107142857,0,0,0.071428571,0,0.214285714,0,0.142857143,0.321428571,0,0.142857143,0
40,0.25,0,0,0.285714286,0,0.071428571,0,0.142857143,0.142857143,0,0.107142857,0
41,0.222222222,0,0.074074074,0.185185185,0,0.111111111,0,0.148148148,0.111111111,0,0.148148148,0
42,0.275862069,0,0.206896552,0.103448276,0,0.068965517,0.034482759,0.103448276,0.068965517,0,0.137931034,0
43,0.28,0,0,0.04,0,0.2,0,0.16,0.04,0,0.24,0.04
44,0.038461538,0.192307692,0.076923077,0.153846154,0,0.269230769,0,0.192307692,0,0,0.076923077,0
45,0.181818182,0,0.090909091,0.181818182,0,0.045454545,0,0.272727273,0.045454545,0,0.181818182,0
46,0.0625,0,0,0.21875,0,0.0625,0,0.3125,0.0625,0,0.28125,0
47,0.035714286,0,0.053571429,0.321428571,0,0.017857143,0,0.303571429,0,0,0.267857143,0
48,0.063829787,0,0.212765957,0.14893617,0,0.021276596,0,0.29787234,0.042553191,0,0.212765957,0
49,0.227272727,0,0,0.25,0,0.045454545,0,0.272727273,0.159090909,0,0.022727273,0.022727273
50,0,0.02173913,0,0.195652174,0,0.195652174,0,0.086956522,0.260869565,0,0.043478261,0.195652174
51,0.039473684,0.013157895,0.013157895,0.210526316,0,0.052631579,0,0.263157895,0.013157895,0,0.394736842,0
52,0.074074074,0.277777778,0,0,0.037037037,0.240740741,0,0.074074074,0.055555556,0,0.240740741,0
53,0.351851852,0.055555556,0,0,0.240740741,0.018518519,0,0.092592593,0.018518519,0,0.222222222,0
54,0.290322581,0.048387097,0,0.016129032,0.225806452,0.016129032,0,0.080645161,0.064516129,0,0.258064516,0
55,0.210526316,0,0,0.122807018,0,0.192982456,0,0.052631579,0.280701754,0,0.052631579,0.087719298
56,0,0,0,0.1875,0,0.15625,0,0.078125,0.3125,0,0.109375,0.15625
57,0.029850746,0,0.119402985,0.208955224,0,0.164179104,0,0.328358209,0.014925373,0,0.134328358,0
58,0.287878788,0,0,0.121212121,0.166666667,0.151515152,0.03030303,0.060606061,0.121212121,0,0.060606061,0
59,0.176470588,0,0.117647059,0.088235294,0,0.205882353,0,0.161764706,0.161764706,0,0,0.088235294
60,0.157894737,0,0,0.228070175,0,0.070175439,0,0.070175439,0.298245614,0,0.175438596,0
61,0.049180328,0,0.131147541,0.163934426,0,0.081967213,0,0.262295082,0,0,0.31147541,0
62,0.191780822,0,0.02739726,0.219178082,0,0.082191781,0,0.315068493,0.054794521,0,0.109589041,0
63,0.277777778,0,0,0.12962963,0,0.314814815,0,0.074074074,0.166666667,0,0.037037037,0
64,0.228070175,0,0,0.263157895,0,0.087719298,0,0.087719298,0.263157895,0,0.070175439,0
65,0.25,0,0.0625,0.15625,0,0.125,0,0.15625,0.125,0,0.125,0
66,0.258064516,0,0.193548387,0.161290323,0,0.064516129,0.032258065,0.096774194,0.064516129,0,0.129032258,0
67,0.233333333,0.066666667,0,0.033333333,0,0.3,0,0.066666667,0.066666667,0,0.2,0.033333333
68,0.041666667,0.208333333,0,0.083333333,0,0.416666667,0,0.208333333,0,0,0.041666667,0
69,0.136363636,0,0.090909091,0.136363636,0,0.045454545,0,0.409090909,0,0,0.181818182,0
70,0.054054054,0,0,0.216216216,0,0.027027027,0,0.297297297,0.054054054,0,0.351351351,0
71,0.056603774,0,0.056603774,0.301886792,0,0.018867925,0,0.264150943,0,0,0.301886792,0
72,0.0625,0,0.208333333,0.208333333,0,0.020833333,0,0.229166667,0.041666667,0,0.229166667,0
73,0.1875,0,0,0.229166667,0,0.041666667,0,0.25,0.166666667,0,0.104166667,0.020833333
74,0,0.020833333,0,0.208333333,0,0.166666667,0,0.083333333,0.333333333,0,0.020833333,0.166666667
75,0.038461538,0.012820513,0,0.217948718,0,0.051282051,0,0.269230769,0.012820513,0,0.397435897,0
76,0.08,0.3,0,0,0.04,0.24,0,0.06,0.06,0,0.22,0
77,0.345454545,0.054545455,0,0,0.2,0.018181818,0,0.109090909,0.018181818,0,0.254545455,0
78,0.31147541,0.049180328,0,0,0.213114754,0.032786885,0,0.081967213,0.049180328,0,0.262295082,0
79,0.188679245,0,0,0.018867925,0,0.320754717,0,0.056603774,0.283018868,0,0.056603774,0.075471698
80,0,0,0,0.166666667,0,0.151515152,0,0.075757576,0.333333333,0,0.106060606,0.166666667
81,0.032786885,0,0.081967213,0.213114754,0,0.081967213,0,0.360655738,0.032786885,0,0.196721311,0
82,0.152173913,0,0,0.239130435,0,0,0,0.02173913,0.326086957,0,0.260869565,0
83,0.188235294,0,0,0.2,0,0.070588235,0,0.058823529,0.211764706,0,0.270588235,0
84,0.053571429,0,0.053571429,0.321428571,0,0.017857143,0,0.25,0,0,0.303571429,0
85,0.072727273,0,0.2,0.163636364,0,0.018181818,0,0.290909091,0.036363636,0,0.218181818,0
86,0.227272727,0,0,0.227272727,0,0.068181818,0,0.272727273,0.136363636,0,0.022727273,0.045454545
87,0,0.02,0,0.2,0,0.18,0,0.1,0.3,0,0.02,0.18
88,0.038461538,0.012820513,0,0.217948718,0,0.051282051,0,0.256410256,0.012820513,0,0.41025641,0
89,0.072727273,0.272727273,0,0,0.036363636,0.254545455,0,0.054545455,0.054545455,0,0.254545455,0
90,0.333333333,0.052631579,0,0,0.228070175,0.01754386,0,0.105263158,0.01754386,0,0.245614035,0
91,0.295081967,0.049180328,0,0.016393443,0.213114754,0.032786885,0,0.081967213,0.049180328,0,0.262295082,0
92,0.15,0,0,0.05,0,0.316666667,0,0.05,0.3,0,0.05,0.083333333
93,0,0,0,0.174603175,0,0.142857143,0,0.095238095,0.317460317,0,0.111111111,0.158730159
94,0.03125,0,0.109375,0.21875,0,0.109375,0,0.328125,0.03125,0,0.171875,0
95,0.132075472,0,0,0.20754717,0,0.037735849,0,0.018867925,0.283018868,0,0.320754717,0
96,0.186813187,0,0,0.21978022,0,0.087912088,0,0.054945055,0.252747253,0,0.197802198,0
97,0.050847458,0,0.050847458,0.322033898,0,0.016949153,0,0.271186441,0,0,0.288135593,0
98,0.055555556,0,0.185185185,0.203703704,0,0.018518519,0,0.277777778,0.055555556,0,0.203703704,0
99,0.212765957,0,0,0.234042553,0,0.042553191,0,0.276595745,0.191489362,0,0.021276596,0.021276596
100,0,0.019230769,0,0.192307692,0,0.173076923,0,0.076923077,0.346153846,0,0.019230769,0.173076923
101,0.039473684,0.013157895,0,0.210526316,0,0.052631579,0,0.276315789,0.013157895,0,0.394736842,0
102,0.071428571,0.267857143,0,0,0.035714286,0.25,0,0.053571429,0.053571429,0,0.267857143,0
103,0.303571429,0.053571429,0,0,0.25,0.017857143,0,0.107142857,0.017857143,0,0.25,0
104,0.317460317,0.047619048,0,0,0.222222222,0.031746032,0,0.079365079,0.047619048,0,0.253968254,0
105,0.215384615,0,0,0.107692308,0,0.276923077,0,0.046153846,0.246153846,0,0.046153846,0.061538462
106,0,0,0,0.194029851,0,0.149253731,0,0.104477612,0.268656716,0,0.119402985,0.164179104
107,0,0,0,0.25,0,0.25,0,0.25,0,0,0.25,0
