Measure,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
1,0,0,0,1,0,1,0,1,0,0,1,0
2,0,0,1,1,0,1,0,1,0,0,1,0
3,1,0,0,1,0,0,0,1,1,0,1,0
4,1,0,0,1,0,1,0,1,1,0,1,0
5,0,0,1,1,0,1,0,1,0,0,1,0
6,1,0,1,1,0,1,0,1,1,0,1,0
7,1,0,0,1,0,0,0,1,1,0,1,0
8,1,0,0,1,0,1,0,1,1,0,1,0
9,0,0,1,1,0,1,0,1,0,0,1,0
10,1,0,0,1,1,1,0,1,1,0,1,0
11,1,0,1,1,0,1,0,1,1,0,0,1
12,1,0,0,1,0,1,0,1,1,0,1,0
13,1,0,1,1,0,1,0,1,0,0,1,0
14,1,0,1,1,0,1,0,1,1,0,1,0
15,1,0,0,1,0,1,0,1,1,0,1,0
16,1,0,0,1,0,1,0,1,1,0,1,0
17,1,0,1,1,0,1,0,1,1,0,1,0
18,1,0,1,1,0,1,0,1,1,0,1,0
19,1,0,0,1,0,1,0,1,1,0,1,1
20,1,1,1,1,0,1,0,1,0,0,1,0
21,1,0,1,1,0,1,0,1,1,0,1,0
22,1,0,0,1,0,1,0,1,1,0,1,0
23,1,0,1,1,0,1,0,1,0,0,1,0
24,1,0,1,1,0,1,0,1,1,0,1,0
25,1,0,0,1,0,1,0,1,1,0,1,1
26,1,0,1,1,0,1,0,1,1,0,1,1
27,1,1,1,1,0,1,0,1,1,0,1,0
28,1,1,0,0,1,1,0,1,1,0,1,0
29,1,1,0,0,1,0,0,1,1,0,1,0
30,1,1,0,1,1,0,0,1,1,0,1,0
31,1,0,0,1,0,1,0,1,1,0,1,1
32,0,0,0,1,0,1,0,1,1,0,1,1
33,0,0,1,1,0,1,0,1,0,0,1,0
34,1,0,0,1,1,1,0,1,1,0,1,0
35,1,0,1,1,0,1,0,1,1,0,0,1
36,1,0,1,1,0,1,0,1,1,0,1,0
37,1,0,1,1,0,1,0,1,0,0,1,0
38,1,0,1,1,0,1,0,1,1,0,1,0
39,1,0,0,1,0,1,0,1,1,0,1,0
40,1,0,0,1,0,1,0,1,1,0,1,0
41,1,0,1,1,0,1,0,1,1,0,1,0
42,1,0,1,1,0,1,1,1,1,0,1,0
43,1,0,0,1,0,1,0,1,1,0,1,1
44,1,1,1,1,0,1,0,1,0,0,1,0
45,1,0,1,1,0,1,0,1,1,0,1,0
46,1,0,0,1,0,1,0,1,1,0,1,0
47,1,0,1,1,0,1,0,1,0,0,1,0
48,1,0,1,1,0,1,0,1,1,0,1,0
49,1,0,0,1,0,1,0,1,1,0,1,1
50,0,1,0,1,0,1,0,1,1,0,1,1
51,1,1,1,1,0,1,0,1,1,0,1,0
52,1,1,0,0,1,1,0,1,1,0,1,0
53,1,1,0,0,1,1,0,1,1,0,1,0
54,1,1,0,1,1,1,0,1,1,0,1,0
55,1,0,0,1,0,1,0,1,1,0,1,1
56,0,0,0,1,0,1,0,1,1,0,1,1
57,1,0,1,1,0,1,0,1,1,0,1,0
58,1,0,0,1,1,1,1,1,1,0,1,0
59,1,0,1,1,0,1,0,1,1,0,0,1
60,1,0,0,1,0,1,0,1,1,0,1,0
61,1,0,1,1,0,1,0,1,0,0,1,0
62,1,0,1,1,0,1,0,1,1,0,1,0
63,1,0,0,1,0,1,0,1,1,0,1,0
64,1,0,0,1,0,1,0,1,1,0,1,0
65,1,0,1,1,0,1,0,1,1,0,1,0
66,1,0,1,1,0,1,1,1,1,0,1,0
67,1,1,0,1,0,1,0,1,1,0,1,1
68,1,1,0,1,0,1,0,1,0,0,1,0
69,1,0,1,1,0,1,0,1,0,0,1,0
70,1,0,0,1,0,1,0,1,1,0,1,0
71,1,0,1,1,0,1,0,1,0,0,1,0
72,1,0,1,1,0,1,0,1,1,0,1,0
