Measure,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
1,0,0,0,0,0.524553571,0,0.475446429,0,0,0,0,0
2,0,0.394335212,0,0,0.121682937,0,0.032311288,0,0.435858655,0.015811907,0,0
3,0,0.015901549,0,0,0,0,0.283877212,0,0.009402655,0.015901549,0,0.674917035
4,0,0.308470722,0,0,0.255031268,0,0,0,0.026719727,0.409778283,0,0
5,0,0,0,0,0.047398144,0,0.312626059,0,0,0,0,0.639975797
6,0,0.399554193,0,0,0.121203678,0,0.032738924,0,0.398439677,0.032042352,0,0.016021176
7,0,0,0,0,0,0,0.279652975,0,0.031855768,0,0,0.688491257
8,0,0.277226339,0,0,0.120648679,0,0.015797567,0,0.01607717,0.503844541,0,0.066405704
9,0,0,0,0,0,0,0.495788972,0,0,0,0,0.504211028
10,0,0,0,0,0.500481603,0,0,0,0.165478713,0,0,0.334039684
11,0,0.171578323,0,0.082871835,0.056665348,0,0.338310918,0,0,0,0,0.350573576
12,0,0.204081633,0,0.059230589,0.268707483,0,0.055125498,0,0,0.209946047,0,0.20290875
13,0,0,0,0.098215432,0.096032867,0,0.193991527,0,0.201694698,0.017075363,0,0.392990114
14,0,0,0,0,0.596829937,0,0,0,0.202002145,0,0,0.201167918
15,0,0.171038305,0,0.048005543,0.090369197,0,0.341581708,0,0,0,0,0.349005246
16,0,0,0,0,0.217869087,0,0,0,0,0.439918777,0,0.342212136
17,0,0,0,0,1,0,0,0,0,0,0,0
18,0,0,0,0,0.553571429,0,0,0,0.226747174,0,0,0.219681398
19,0,0,0,0.070257611,0.135538642,0,0.264637002,0,0,0,0,0.529566745
20,0,0.268083805,0,0.070041291,0.091757149,0,0.141153082,0,0,0.428964673,0,0
21,0,0,0,0.079204954,0.072413104,0,0.26398322,0,0.243507791,0.022772673,0,0.318118258
22,0,0,0,0,0.633325981,0,0,0,0.183612704,0,0,0.183061315
23,0,0.088529638,0,0.052018036,0.143516991,0,0.350709337,0,0,0,0,0.365225998
24,0,0.20088784,0,0,0.201056417,0,0,0,0,0.201449764,0,0.396605979
25,0,1,0,0,0,0,0,0,0,0,0,0
26,0,0.330020921,0,0,0.669979079,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0.503773844,0,0,0,0,0.496226156
28,0,0.182001537,0,0,0.175278525,0,0.11073761,0,0.022570111,0.32424126,0,0.185170957
29,0,0,0,0.11122449,0,0,0.233673469,0,0.236588921,0.03425656,0,0.38425656
30,0,0.588058758,0,0,0.3369136,0,0.075027642,0,0,0,0,0
31,0,0.129386262,0,0.064354424,0.070180192,0,0.228966265,0,0,0,0,0.507112857
32,0,0.243874572,0,0.014599467,0.22762473,0,0,0,0,0.23232195,0,0.281579281
33,0,0,0,0,0.500216481,0,0,0,0,0.247510463,0,0.252273055
34,0,0.408257384,0,0,0.591742616,0,0,0,0,0,0,0
35,0,0,0,0.197173842,0,0,0.354693833,0,0,0,0,0.448132326
36,0,0.1814477,0,0,0.182903163,0,0.11333204,0,0.022802251,0.225887832,0,0.273627013
37,0,0.065735972,0,0.174979669,0,0,0.224179995,0,0.055570615,0.06302521,0,0.416508539
38,0,0.397072072,0,0,0.248423423,0,0.053490991,0,0.301013514,0,0,0
39,0,0.11201706,0,0.21487707,0.11979428,0,0,0,0.448193678,0,0,0.105117913
40,0,0,0,0.065411156,0.374209316,0,0.068286371,0,0,0.250575043,0,0.241518114
41,0,0,0,0.089322149,0.111085922,0,0.238381319,0,0.187939243,0.013035593,0,0.360235774
42,0,0.514147221,0,0,0.098072371,0,0.026490813,0,0.322398828,0.025927178,0,0.012963589
43,0,0,0,0,0,0,0.279652975,0,0.031855768,0,0,0.688491257
44,0,0.277226339,0,0,0.120648679,0,0.015797567,0,0.01607717,0.503844541,0,0.066405704
45,0,0,0,0,0,0,0.471441523,0,0,0,0,0.528558477
