Measure,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
1,0,0,0,0,0.5,0,0.5,0,0,0,0,0
2,0,0.181818182,0,0,0.181818182,0,0.090909091,0,0.454545455,0.090909091,0,0
3,0,0.111111111,0,0,0,0,0.222222222,0,0.111111111,0.111111111,0,0.444444444
4,0,0.25,0,0,0.25,0,0,0,0.125,0.375,0,0
5,0,0,0,0,0.25,0,0.25,0,0,0,0,0.5
6,0,0.153846154,0,0,0.153846154,0,0.076923077,0,0.384615385,0.153846154,0,0.076923077
7,0,0,0,0,0,0,0.25,0,0.125,0,0,0.625
8,0,0.222222222,0,0,0.111111111,0,0.111111111,0,0.111111111,0.333333333,0,0.111111111
9,0,0,0,0,0,0,0.5,0,0,0,0,0.5
10,0,0,0,0,0.666666667,0,0,0,0.111111111,0,0,0.222222222
11,0,0.125,0,0.25,0.125,0,0.25,0,0,0,0,0.25
12,0,0.142857143,0,0.142857143,0.285714286,0,0.142857143,0,0,0.142857143,0,0.142857143
13,0,0,0,0.083333333,0.083333333,0,0.166666667,0,0.25,0.083333333,0,0.333333333
14,0,0,0,0,0.75,0,0,0,0.125,0,0,0.125
15,0,0.125,0,0.125,0.25,0,0.25,0,0,0,0,0.25
16,0,0,0,0,0.2,0,0,0,0,0.4,0,0.4
17,0,0,0,0,1,0,0,0,0,0,0,0
18,0,0,0,0,0.714285714,0,0,0,0.142857143,0,0,0.142857143
19,0,0,0,0.166666667,0.333333333,0,0.166666667,0,0,0,0,0.333333333
20,0,0.142857143,0,0.142857143,0.142857143,0,0.285714286,0,0,0.285714286,0,0
21,0,0,0,0.0625,0.0625,0,0.1875,0,0.3125,0.125,0,0.25
22,0,0,0,0,0.777777778,0,0,0,0.111111111,0,0,0.111111111
23,0,0.083333333,0,0.083333333,0.166666667,0,0.333333333,0,0,0,0,0.333333333
24,0,0.2,0,0,0.2,0,0,0,0,0.2,0,0.4
25,0,1,0,0,0,0,0,0,0,0,0,0
26,0,0.333333333,0,0,0.666666667,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0.5,0,0,0,0,0.5
28,0,0.111111111,0,0,0.111111111,0,0.111111111,0,0.111111111,0.333333333,0,0.222222222
29,0,0,0,0.125,0,0,0.25,0,0.25,0.125,0,0.25
30,0,0.4,0,0,0.4,0,0.2,0,0,0,0,0
31,0,0.142857143,0,0.142857143,0.142857143,0,0.142857143,0,0,0,0,0.428571429
32,0,0.333333333,0,0.166666667,0.166666667,0,0,0,0,0.166666667,0,0.166666667
33,0,0,0,0,0.5,0,0,0,0,0.25,0,0.25
34,0,0.4,0,0,0.6,0,0,0,0,0,0,0
35,0,0,0,0.166666667,0,0,0.333333333,0,0,0,0,0.5
36,0,0.125,0,0,0.125,0,0.125,0,0.125,0.25,0,0.25
37,0,0.090909091,0,0.181818182,0,0,0.272727273,0,0.090909091,0.090909091,0,0.272727273
38,0,0.285714286,0,0,0.285714286,0,0.142857143,0,0.285714286,0,0,0
39,0,0.111111111,0,0.333333333,0.111111111,0,0,0,0.333333333,0,0,0.111111111
40,0,0,0,0.166666667,0.333333333,0,0.166666667,0,0,0.166666667,0,0.166666667
41,0,0,0,0.133333333,0.133333333,0,0.2,0,0.2,0.066666667,0,0.266666667
42,0,0.214285714,0,0,0.142857143,0,0.071428571,0,0.357142857,0.142857143,0,0.071428571
43,0,0,0,0,0,0,0.25,0,0.125,0,0,0.625
44,0,0.222222222,0,0,0.111111111,0,0.111111111,0,0.111111111,0.333333333,0,0.111111111
45,0,0,0,0,0,0,0.4,0,0,0,0,0.6
46,0,0,0,0,0.75,0,0,0,0.083333333,0,0,0.166666667
47,0,0.090909091,0,0.181818182,0.090909091,0,0.181818182,0,0,0,0,0.454545455
48,0,0.1,0,0.1,0.2,0,0.1,0,0,0.4,0,0.1
49,0,0,0,0.133333333,0.066666667,0,0.133333333,0,0.2,0.066666667,0,0.4
50,0,0,0,0,0.818181818,0,0,0,0.090909091,0,0,0.090909091
51,0,0.090909091,0,0.090909091,0.181818182,0,0.181818182,0,0,0,0,0.454545455
52,0,0,0,0,0.2,0,0.1,0,0,0.5,0,0.2
53,0,0.125,0,0,0,0,0,0,0,0,0,0.875
