Measure,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
1,0,0,0.210526316,0,0.263157895,0.105263158,0,0,0.105263158,0,0.157894737,0.157894737
2,0,0.263157895,0,0,0.263157895,0.105263158,0,0,0.210526316,0,0,0.157894737
3,0,0.333333333,0,0.027777778,0.138888889,0,0.222222222,0,0,0.277777778,0,0
4,0,0.53125,0,0,0,0.1875,0,0,0.28125,0,0,0
5,0,0.509090909,0,0,0,0.327272727,0,0,0.163636364,0,0,0
6,0.02,0.4,0,0.04,0,0.24,0,0,0.3,0,0,0
7,0,0.381595092,0,0.007361963,0,0.220858896,0,0,0.390184049,0,0,0
8,0.167247387,0.167247387,0,0.278745645,0,0.020905923,0.167247387,0,0.198606272,0,0,0
9,0,0.423076923,0,0.009615385,0,0.288461538,0,0,0.201923077,0.076923077,0,0
10,0.040133779,0.408026756,0,0.050167224,0,0.100334448,0.120401338,0,0.240802676,0,0.040133779,0
11,0.013888889,0.479166667,0,0,0,0.013888889,0.263888889,0,0.055555556,0,0.173611111,0
12,0.041666667,0.041666667,0,0,0,0.041666667,0.208333333,0,0.166666667,0,0.5,0
13,0.013888889,0.479166667,0,0,0,0.013888889,0.263888889,0,0.055555556,0,0.173611111,0
14,0.041958042,0.041958042,0,0,0,0.041958042,0.20979021,0,0.167832168,0,0.496503497,0
15,0,0.438356164,0,0.01369863,0,0.157534247,0,0,0.390410959,0,0,0
16,0.25,0,0,0.21875,0,0.046875,0.1875,0,0.296875,0,0,0
17,0.058823529,0.191176471,0,0.073529412,0,0.220588235,0,0,0.397058824,0,0.058823529,0
18,0,0.436363636,0,0.090909091,0,0.145454545,0.145454545,0,0.072727273,0,0.109090909,0
19,0,0.390625,0,0.109375,0,0.125,0.125,0,0.125,0,0.125,0
20,0,0.28125,0,0.21875,0,0,0.25,0,0,0,0.25,0
21,0,0.589403974,0,0,0,0.198675497,0,0,0.21192053,0,0,0
22,0,0.25,0.166666667,0,0,0.083333333,0,0.25,0.166666667,0,0,0.083333333
23,0,0.230769231,0.153846154,0,0,0.230769231,0,0,0.153846154,0,0.230769231,0
24,0.0625,0.125,0,0.25,0,0,0.375,0,0,0,0.1875,0
25,0,0.440251572,0,0,0,0.295597484,0,0,0.264150943,0,0,0
26,0,0.520325203,0,0,0,0.089430894,0,0,0.390243902,0,0,0
27,0.074074074,0.148148148,0,0.148148148,0,0.37037037,0.074074074,0,0.185185185,0,0,0
28,0.09375,0.21875,0,0.03125,0,0.28125,0,0,0.0625,0,0.3125,0
29,0.020833333,0.395833333,0,0.041666667,0,0.135416667,0.020833333,0,0.385416667,0,0,0
30,0.081081081,0.189189189,0,0.027027027,0,0.378378378,0,0,0.054054054,0,0.27027027,0
31,0.050847458,0.389830508,0,0.016949153,0,0.338983051,0,0,0.033898305,0,0.169491525,0
32,0.166666667,0.166666667,0,0.041666667,0,0.125,0.083333333,0,0.208333333,0,0.208333333,0
33,0.111111111,0.444444444,0,0.027777778,0,0.083333333,0.055555556,0,0.138888889,0,0.138888889,0
34,0.0625,0.0625,0,0,0,0.375,0.125,0,0.1875,0,0.1875,0
35,0,0.318181818,0,0,0.090909091,0.045454545,0.045454545,0.090909091,0,0.295454545,0.090909091,0.022727273
36,0,0.4,0,0.005263158,0,0.157894737,0,0,0.436842105,0,0,0
37,0.301886792,0,0,0.132075472,0,0.075471698,0.188679245,0,0.226415094,0,0.075471698,0
38,0.09375,0.25,0,0.078125,0,0.21875,0,0,0.265625,0,0.09375,0
39,0,0.426470588,0,0.073529412,0,0.058823529,0.235294118,0,0.058823529,0,0.147058824,0
40,0,0.390625,0,0.109375,0,0.125,0.125,0,0.125,0,0.125,0
41,0,0.28125,0,0.21875,0,0,0.25,0,0,0,0.25,0
42,0,0.38372093,0,0.023255814,0,0.209302326,0,0,0.38372093,0,0,0
43,0,0.317307692,0,0.019230769,0,0.134615385,0,0,0.528846154,0,0,0
44,0,0.5,0,0,0,0.307692308,0,0,0.192307692,0,0,0
45,0,0.181818182,0,0,0,0.136363636,0,0,0.681818182,0,0,0
46,0,0.416666667,0,0.104166667,0.104166667,0,0.125,0,0.125,0.125,0,0
47,0,0.416666667,0,0.104166667,0.104166667,0,0.125,0,0.125,0.125,0,0
48,0,0.15625,0,0.125,0.125,0,0.0625,0,0.166666667,0.0625,0,0.302083333
49,0,0.333333333,0,0,0.222222222,0,0,0,0.37037037,0,0,0.074074074
50,0,0.416666667,0,0.104166667,0.104166667,0,0.125,0,0.125,0.125,0,0
51,0,0.416666667,0,0.104166667,0.104166667,0,0.125,0,0.125,0.125,0,0
52,0,0.336,0,0,0.2768,0,0.0576,0,0.1888,0.0768,0,0.064
53,0,0.492765355,0,0,0.233760439,0,0,0,0.145014507,0.128459699,0,0
54,0,0.329000489,0,0.056737857,0.098634105,0,0.028368929,0,0.146831475,0.340427144,0,0
55,0,0.041237113,0.206185567,0,0.206185567,0,0.298969072,0,0.12371134,0.12371134,0,0
56,0.06504065,0.06504065,0.032520325,0.032520325,0.130081301,0,0.146341463,0,0.268292683,0.227642276,0.032520325,0
57,0,0.182857143,0,0.137142857,0.045714286,0,0.222857143,0,0.291428571,0.12,0,0
58,0.043290043,0.45021645,0,0.017316017,0.367965368,0,0.021645022,0,0.082251082,0,0,0.017316017
59,0,0.052631579,0,0.315789474,0.157894737,0,0.105263158,0,0.157894737,0.052631579,0,0.157894737
60,0,0.052631579,0,0.01754386,0.245614035,0,0.214912281,0,0.131578947,0.105263158,0,0.23245614
61,0,0.299065421,0.130841121,0,0.289719626,0,0.042056075,0,0.060747664,0.135514019,0,0.042056075
62,0.040609137,0.426395939,0,0.020304569,0.086294416,0,0.131979695,0,0.101522843,0.172588832,0,0.020304569
63,0,0.067164179,0,0,0.313432836,0,0.082089552,0,0.47761194,0.029850746,0,0.029850746
64,0,0.254054054,0,0.048648649,0.135135135,0,0.259459459,0,0.205405405,0.097297297,0,0
65,0,0.245192308,0,0.0625,0.096153846,0,0.25,0,0.25,0.096153846,0,0
66,0,0.142857143,0,0.125,0.154761905,0,0.083333333,0,0.271825397,0.119047619,0,0.103174603
67,0,0.20361991,0,0.099547511,0.321266968,0,0.07239819,0,0.197586727,0.009049774,0,0.09653092
68,0,0.189542484,0,0.013071895,0.264705882,0,0.026143791,0.088235294,0.183006536,0.235294118,0,0
