Measure,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
1,0,0,0.210526316,0,0.263157895,0.105263158,0,0,0.105263158,0,0.157894737,0.157894737
2,0,0.263157895,0,0,0.263157895,0.105263158,0,0,0.210526316,0,0,0.157894737
3,0,0.35,0,0.05,0.15,0,0.2,0,0,0.25,0,0
4,0,0.852941176,0,0,0,0.058823529,0,0,0.088235294,0,0,0
5,0,0.526315789,0,0,0,0.315789474,0,0,0.157894737,0,0,0
6,0.076923077,0.230769231,0,0.153846154,0,0.153846154,0,0,0.384615385,0,0,0
7,0,0.3125,0,0.0625,0,0.3125,0,0,0.3125,0,0,0
8,0.1,0.1,0,0.3,0,0.2,0.1,0,0.2,0,0,0
9,0,0.3125,0,0.0625,0,0.3125,0,0,0.25,0.0625,0,0
10,0.052631579,0.368421053,0,0.105263158,0,0.105263158,0.105263158,0,0.210526316,0,0.052631579,0
11,0.055555556,0.222222222,0,0,0,0.055555556,0.166666667,0,0.166666667,0,0.333333333,0
12,0.076923077,0.076923077,0,0,0,0.076923077,0.153846154,0,0.230769231,0,0.384615385,0
13,0.055555556,0.222222222,0,0,0,0.055555556,0.166666667,0,0.166666667,0,0.333333333,0
14,0.076923077,0.076923077,0,0,0,0.076923077,0.153846154,0,0.230769231,0,0.384615385,0
15,0,0.3125,0,0.0625,0,0.25,0,0,0.375,0,0,0
16,0.090909091,0,0,0.272727273,0,0.272727273,0.181818182,0,0.181818182,0,0,0
17,0.068965517,0.206896552,0,0.137931034,0,0.24137931,0,0,0.275862069,0,0.068965517,0
18,0,0.333333333,0,0.19047619,0,0.095238095,0.142857143,0,0.047619048,0,0.19047619,0
19,0,0.333333333,0,0.25,0,0.083333333,0.083333333,0,0.083333333,0,0.166666667,0
20,0,0.25,0,0.375,0,0,0.125,0,0,0,0.25,0
21,0,0.4375,0,0,0,0.25,0,0,0.3125,0,0,0
22,0,0.25,0.166666667,0,0,0.083333333,0,0.25,0.166666667,0,0,0.083333333
23,0,0.230769231,0.153846154,0,0,0.230769231,0,0,0.153846154,0,0.230769231,0
24,0.111111111,0.111111111,0,0.222222222,0,0,0.333333333,0,0,0,0.222222222,0
25,0,0.696969697,0,0,0,0.151515152,0,0,0.151515152,0,0,0
26,0,0.875,0,0,0,0.041666667,0,0,0.083333333,0,0,0
27,0.1,0.1,0,0.2,0,0.3,0.1,0,0.2,0,0,0
28,0.1875,0.25,0,0.0625,0,0.125,0,0,0.125,0,0.25,0
29,0.066666667,0.2,0,0.133333333,0,0.266666667,0.066666667,0,0.266666667,0,0,0
30,0.166666667,0.222222222,0,0.055555556,0,0.222222222,0,0,0.111111111,0,0.222222222,0
31,0.166666667,0.277777778,0,0.055555556,0,0.166666667,0,0,0.111111111,0,0.222222222,0
32,0.166666667,0.166666667,0,0.041666667,0,0.125,0.083333333,0,0.208333333,0,0.208333333,0
33,0.16,0.2,0,0.04,0,0.12,0.08,0,0.2,0,0.2,0
34,0.076923077,0.076923077,0,0,0,0.230769231,0.153846154,0,0.230769231,0,0.230769231,0
35,0,0.166666667,0,0,0.083333333,0.083333333,0.083333333,0.083333333,0,0.25,0.166666667,0.083333333
36,0,0.277777778,0,0.055555556,0,0.277777778,0,0,0.388888889,0,0,0
37,0.111111111,0,0,0.166666667,0,0.166666667,0.222222222,0,0.222222222,0,0.111111111,0
38,0.088235294,0.235294118,0,0.117647059,0,0.205882353,0,0,0.264705882,0,0.088235294,0
39,0,0.391304348,0,0.173913043,0,0.043478261,0.173913043,0,0.043478261,0,0.173913043,0
40,0,0.333333333,0,0.25,0,0.083333333,0.083333333,0,0.083333333,0,0.166666667,0
41,0,0.25,0,0.375,0,0,0.125,0,0,0,0.25,0
42,0,0.294117647,0,0.058823529,0,0.352941176,0,0,0.294117647,0,0,0
43,0,0.3125,0,0.0625,0,0.3125,0,0,0.3125,0,0,0
44,0,0.230769231,0,0,0,0.461538462,0,0,0.307692308,0,0,0
45,0,0.25,0,0,0,0.25,0,0,0.5,0,0,0
46,0,0.282051282,0,0.051282051,0.051282051,0,0.205128205,0,0.205128205,0.205128205,0,0
47,0,0.282051282,0,0.051282051,0.051282051,0,0.205128205,0,0.205128205,0.205128205,0,0
48,0,0.048780488,0,0.195121951,0.195121951,0,0.097560976,0,0.219512195,0.048780488,0,0.195121951
49,0,0.2,0,0,0.355555556,0,0,0,0.4,0,0,0.044444444
50,0,0.282051282,0,0.051282051,0.051282051,0,0.205128205,0,0.205128205,0.205128205,0,0
51,0,0.282051282,0,0.051282051,0.051282051,0,0.205128205,0,0.205128205,0.205128205,0,0
52,0,0.357723577,0,0,0.300813008,0,0.048780488,0,0.073170732,0.146341463,0,0.073170732
53,0,0.362068966,0,0,0.310344828,0,0,0,0.034482759,0.293103448,0,0
54,0,0.2,0,0.04,0.32,0,0.04,0,0.32,0.08,0,0
55,0,0.045454545,0.090909091,0,0.136363636,0,0.363636364,0,0.090909091,0.272727273,0,0
56,0.111111111,0.111111111,0.055555556,0.055555556,0.111111111,0,0.166666667,0,0.166666667,0.166666667,0.055555556,0
57,0,0.181818182,0,0.090909091,0.03030303,0,0.242424242,0,0.212121212,0.242424242,0,0
58,0.088235294,0.176470588,0,0.029411765,0.323529412,0,0.058823529,0,0.294117647,0,0,0.029411765
59,0,0.1,0,0.2,0.2,0,0.1,0,0.2,0.1,0,0.1
60,0,0.105263158,0,0.026315789,0.131578947,0,0.236842105,0,0.105263158,0.052631579,0,0.342105263
61,0,0.078947368,0.131578947,0,0.210526316,0,0.157894737,0,0.105263158,0.236842105,0,0.078947368
62,0.057142857,0.257142857,0,0.028571429,0.114285714,0,0.171428571,0,0.114285714,0.228571429,0,0.028571429
63,0,0.078947368,0,0,0.289473684,0,0.131578947,0,0.447368421,0.026315789,0,0.026315789
64,0,0.240384615,0,0.038461538,0.125,0,0.173076923,0,0.259615385,0.163461538,0,0
65,0,0.268041237,0,0.051546392,0.082474227,0,0.206185567,0,0.206185567,0.18556701,0,0
66,0,0.086021505,0,0.182795699,0.225806452,0,0.11827957,0,0.215053763,0.043010753,0,0.129032258
67,0,0.18487395,0,0.058823529,0.394957983,0,0.033613445,0,0.260504202,0.008403361,0,0.058823529
68,0,0.174603175,0,0.007936508,0.333333333,0,0.015873016,0.134920635,0.19047619,0.142857143,0,0
