Measure,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
1,0,0,1,0,1,1,0,0,1,0,1,1
2,0,1,0,0,1,1,0,0,1,0,0,1
3,0,1,0,1,1,0,1,0,0,1,0,0
4,0,1,0,0,0,1,0,0,1,0,0,0
5,0,1,0,0,0,1,0,0,1,0,0,0
6,1,1,0,1,0,1,0,0,1,0,0,0
7,0,1,0,1,0,1,0,0,1,0,0,0
8,1,1,0,1,0,1,1,0,1,0,0,0
9,0,1,0,1,0,1,0,0,1,1,0,0
10,1,1,0,1,0,1,1,0,1,0,1,0
11,1,1,0,0,0,1,1,0,1,0,1,0
12,1,1,0,0,0,1,1,0,1,0,1,0
13,1,1,0,0,0,1,1,0,1,0,1,0
14,1,1,0,0,0,1,1,0,1,0,1,0
15,0,1,0,1,0,1,0,0,1,0,0,0
16,1,0,0,1,0,1,1,0,1,0,0,0
17,1,1,0,1,0,1,0,0,1,0,1,0
18,0,1,0,1,0,1,1,0,1,0,1,0
19,0,1,0,1,0,1,1,0,1,0,1,0
20,0,1,0,1,0,0,1,0,0,0,1,0
21,0,1,0,0,0,1,0,0,1,0,0,0
22,0,1,1,0,0,1,0,1,1,0,0,1
23,0,1,1,0,0,1,0,0,1,0,1,0
24,1,1,0,1,0,0,1,0,0,0,1,0
25,0,1,0,0,0,1,0,0,1,0,0,0
26,0,1,0,0,0,1,0,0,1,0,0,0
27,1,1,0,1,0,1,1,0,1,0,0,0
28,1,1,0,1,0,1,0,0,1,0,1,0
29,1,1,0,1,0,1,1,0,1,0,0,0
30,1,1,0,1,0,1,0,0,1,0,1,0
31,1,1,0,1,0,1,0,0,1,0,1,0
32,1,1,0,1,0,1,1,0,1,0,1,0
33,1,1,0,1,0,1,1,0,1,0,1,0
34,1,1,0,0,0,1,1,0,1,0,1,0
35,0,1,0,0,1,1,1,1,0,1,1,1
36,0,1,0,1,0,1,0,0,1,0,0,0
37,1,0,0,1,0,1,1,0,1,0,1,0
38,1,1,0,1,0,1,0,0,1,0,1,0
39,0,1,0,1,0,1,1,0,1,0,1,0
40,0,1,0,1,0,1,1,0,1,0,1,0
41,0,1,0,1,0,0,1,0,0,0,1,0
42,0,1,0,1,0,1,0,0,1,0,0,0
43,0,1,0,1,0,1,0,0,1,0,0,0
44,0,1,0,0,0,1,0,0,1,0,0,0
45,0,1,0,0,0,1,0,0,1,0,0,0
46,0,1,0,1,1,0,1,0,1,1,0,0
47,0,1,0,1,1,0,1,0,1,1,0,0
48,0,1,0,1,1,0,1,0,1,1,0,1
49,0,1,0,0,1,0,0,0,1,0,0,1
50,0,1,0,1,1,0,1,0,1,1,0,0
51,0,1,0,1,1,0,1,0,1,1,0,0
52,0,1,0,0,1,0,1,0,1,1,0,1
53,0,1,0,0,1,0,0,0,1,1,0,0
54,0,1,0,1,1,0,1,0,1,1,0,0
55,0,1,1,0,1,0,1,0,1,1,0,0
56,1,1,1,1,1,0,1,0,1,1,1,0
57,0,1,0,1,1,0,1,0,1,1,0,0
58,1,1,0,1,1,0,1,0,1,0,0,1
59,0,1,0,1,1,0,1,0,1,1,0,1
60,0,1,0,1,1,0,1,0,1,1,0,1
61,0,1,1,0,1,0,1,0,1,1,0,1
62,1,1,0,1,1,0,1,0,1,1,0,1
63,0,1,0,0,1,0,1,0,1,1,0,1
64,0,1,0,1,1,0,1,0,1,1,0,0
65,0,1,0,1,1,0,1,0,1,1,0,0
66,0,1,0,1,1,0,1,0,1,1,0,1
67,0,1,0,1,1,0,1,0,1,1,0,1
68,0,1,0,1,1,0,1,1,1,1,0,0
69,0,1,1,1,1,0,1,1,1,1,0,1
70,0,1,1,0,1,0,1,1,1,1,0,0
71,1,1,1,0,1,0,1,0,1,1,1,1
72,1,0,0,1,1,0,1,1,1,1,0,0
73,1,1,0,1,1,0,1,1,0,1,0,1
74,0,0,1,1,1,0,1,1,0,1,1,0
75,1,1,0,1,1,0,0,0,0,1,0,0
76,1,0,0,0,0,0,0,1,1,0,0,0
77,1,0,0,0,0,0,0,0,1,1,0,0
78,1,1,0,1,1,0,1,0,1,1,0,0
79,0,1,1,0,1,0,1,0,1,1,0,0
