Measure,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
1,0,0.12,0,0,0.213333333,0,0.213333333,0,0.166666667,0.166666667,0,0.12
2,0,0.292307692,0.061538462,0,0.215384615,0,0.153846154,0,0.138461538,0.138461538,0,0
3,0,0.366906475,0,0,0,0,0.338129496,0,0,0.287769784,0,0.007194245
4,0,0.012903226,0,0,0.458064516,0,0,0,0.232258065,0.025806452,0,0.270967742
5,0,0.282442748,0,0,0,0.427480916,0,0,0.27480916,0.007633588,0,0.007633588
6,0,0.113475177,0,0,0.177304965,0,0.141843972,0,0.219858156,0.219858156,0,0.127659574
7,0,0.230215827,0,0,0,0,0.446043165,0,0,0.309352518,0,0.014388489
8,0,0.013129103,0,0,0.472647702,0,0,0,0.236323851,0.028446389,0,0.249452954
9,0,0.255639098,0,0,0,0.421052632,0,0,0.263157895,0.007518797,0,0.052631579
10,0,0.100591716,0,0,0.224852071,0,0.213017751,0,0.153846154,0.189349112,0,0.118343195
11,0,0.011363636,0.181818182,0,0.03030303,0,0.314393939,0,0,0.212121212,0,0.25
12,0,0,0,0,0.572327044,0,0,0,0.226415094,0,0,0.201257862
13,0,0.228070175,0,0,0.058479532,0,0.485380117,0,0,0.222222222,0,0.005847953
14,0,0,0,0,0.569060773,0,0.011049724,0,0.220994475,0.022099448,0,0.17679558
15,0,0.0125,0.183333333,0,0,0,0.4,0,0,0.204166667,0,0.2
16,0,0,0,0,0.545454545,0,0.004329004,0,0.227272727,0,0,0.222943723
17,0,0,0,0,0.615384615,0,0.038461538,0,0.192307692,0,0,0.153846154
18,0,0,0.178571429,0,0,0,0.142857143,0,0.071428571,0.607142857,0,0
19,0,0,0.228395062,0,0.055555556,0,0.222222222,0,0.012345679,0.481481481,0,0
20,0,0.015075377,0.010050251,0,0.221105528,0,0,0,0.532663317,0,0,0.221105528
21,0,0.304054054,0,0,0,0.277027027,0.027027027,0,0.277027027,0.074324324,0,0.040540541
22,0.005952381,0.202380952,0.017857143,0,0.023809524,0,0.44047619,0,0.023809524,0.279761905,0,0.005952381
23,0,0.011235955,0.230337079,0,0.033707865,0,0.219101124,0,0.04494382,0.443820225,0,0.016853933
24,0,0,0.015706806,0,0.219895288,0,0,0,0.581151832,0,0,0.183246073
25,0,0.305555556,0,0,0,0.256944444,0,0,0.326388889,0.041666667,0,0.069444444
26,0,0.222891566,0,0,0.012048193,0,0.457831325,0,0.036144578,0.265060241,0,0.006024096
27,0,0.015789474,0.252631579,0,0.010526316,0,0.263157895,0,0.021052632,0.436842105,0,0
28,0,0,0,0,0.245535714,0,0,0,0.508928571,0.022321429,0,0.223214286
29,0,0.301886792,0,0,0,0.301886792,0,0,0.358490566,0.018867925,0,0.018867925
30,0,0.235294118,0,0,0.032085561,0,0.475935829,0,0.010695187,0.245989305,0,0
31,0,0,0.218085106,0,0.10106383,0,0.20212766,0,0,0.462765957,0.015957447,0
32,0,0.25,0,0,0.5,0,0,0,0.25,0,0,0
33,0,0.19047619,0,0,0.619047619,0,0,0,0.19047619,0,0,0
34,0,0.007751938,0.201550388,0,0.124031008,0,0.201550388,0,0,0.248062016,0.007751938,0.209302326
35,0,0.031088083,0,0,0.357512953,0,0,0,0.248704663,0.067357513,0,0.295336788
36,0,0.333333333,0,0,0,0.296296296,0,0,0.296296296,0.009259259,0,0.064814815
37,0,0.268907563,0,0,0.042016807,0,0.344537815,0,0.016806723,0.327731092,0,0
38,0,0.014925373,0.194029851,0,0.171641791,0,0.194029851,0,0,0.201492537,0.007462687,0.21641791
39,0,0.015151515,0,0,0.439393939,0,0.060606061,0,0.242424242,0,0,0.242424242
40,0,0.31372549,0,0,0.039215686,0.31372549,0,0,0.31372549,0.009803922,0,0.009803922
41,0,0.284482759,0,0,0.043103448,0,0.327586207,0,0.017241379,0.318965517,0,0.00862069
42,0,0,0.212121212,0,0.090909091,0,0.247474747,0,0,0.313131313,0.005050505,0.131313131
43,0,0,0,0,0.5,0,0,0,0.25,0,0,0.25
44,0,0,0.277456647,0,0.011560694,0,0.387283237,0,0.01734104,0.300578035,0,0.005780347
45,0,0.016853933,0,0,0.438202247,0,0.005617978,0,0.269662921,0,0,0.269662921
46,0,0.246153846,0,0,0,0,0.446153846,0,0,0.266666667,0,0.041025641
47,0,0,0,0,0.75,0,0,0,0,0,0,0.25
48,0,0,0.151515152,0,0,0,0.151515152,0,0.060606061,0.636363636,0,0
49,0,0,0.228395062,0,0.055555556,0,0.222222222,0,0.012345679,0.481481481,0,0
50,0,0.015075377,0.010050251,0,0.221105528,0,0,0,0.532663317,0,0,0.221105528
51,0,0.304054054,0,0,0,0.277027027,0.027027027,0,0.277027027,0.074324324,0,0.040540541
52,0.005952381,0.202380952,0.017857143,0,0.023809524,0,0.44047619,0,0.023809524,0.279761905,0,0.005952381
53,0,0.011235955,0.230337079,0,0.033707865,0,0.219101124,0,0.04494382,0.443820225,0,0.016853933
54,0,0,0.015706806,0,0.219895288,0,0,0,0.581151832,0,0,0.183246073
55,0,0.305555556,0,0,0,0.256944444,0,0,0.326388889,0.041666667,0,0.069444444
56,0,0.222891566,0,0,0.012048193,0,0.457831325,0,0.036144578,0.265060241,0,0.006024096
57,0,0.015789474,0.252631579,0,0.010526316,0,0.263157895,0,0.021052632,0.436842105,0,0
58,0,0,0,0,0.245535714,0,0,0,0.508928571,0.022321429,0,0.223214286
59,0,0.301886792,0,0,0,0.301886792,0,0,0.358490566,0.018867925,0,0.018867925
60,0,0.235294118,0,0,0.032085561,0,0.475935829,0,0.010695187,0.245989305,0,0
61,0,0,0.218085106,0,0.10106383,0,0.20212766,0,0,0.462765957,0.015957447,0
62,0,0.25,0,0,0.5,0,0,0,0.25,0,0,0
63,0,0.272727273,0,0,0.545454545,0,0,0,0.181818182,0,0,0
64,0,0.04109589,0.465753425,0,0,0,0.273972603,0,0,0,0,0.219178082
65,0,0.333333333,0,0,0,0,0.277777778,0,0.041666667,0.263888889,0,0.083333333
66,0,0,0,0.054054054,0.405405405,0,0,0,0.216216216,0,0,0.324324324
67,0,0,0,0.25,0,0,0.3125,0,0,0,0,0.4375
68,0,0.025,0.383333333,0,0.025,0,0.3,0,0,0,0,0.266666667
69,0,0.338983051,0,0,0,0,0.305084746,0,0.025423729,0.296610169,0,0.033898305
70,0,0,0,0,0.376146789,0,0,0,0.293577982,0,0,0.330275229
71,0,0.571428571,0,0,0.142857143,0,0.285714286,0,0,0,0,0
72,0,0.331103679,0,0,0.214046823,0,0.214046823,0,0,0.230769231,0,0.010033445
73,0,0,0.178571429,0,0,0,0.178571429,0,0.071428571,0.571428571,0,0
74,0,0,0.228395062,0,0.055555556,0,0.222222222,0,0.012345679,0.481481481,0,0
75,0,0.015075377,0.010050251,0,0.221105528,0,0,0,0.532663317,0,0,0.221105528
76,0,0.304054054,0,0,0,0.277027027,0.027027027,0,0.277027027,0.074324324,0,0.040540541
77,0.005952381,0.202380952,0.017857143,0,0.023809524,0,0.44047619,0,0.023809524,0.279761905,0,0.005952381
78,0,0.011235955,0.230337079,0,0.033707865,0,0.219101124,0,0.04494382,0.443820225,0,0.016853933
79,0,0,0.015706806,0,0.219895288,0,0,0,0.581151832,0,0,0.183246073
80,0,0.305555556,0,0,0,0.256944444,0,0,0.326388889,0.041666667,0,0.069444444
81,0,0.222891566,0,0,0.012048193,0,0.457831325,0,0.036144578,0.265060241,0,0.006024096
82,0,0.015789474,0.252631579,0,0.010526316,0,0.263157895,0,0.021052632,0.436842105,0,0
83,0,0,0,0,0.245535714,0,0,0,0.508928571,0.022321429,0,0.223214286
84,0,0.301886792,0,0,0,0.301886792,0,0,0.358490566,0.018867925,0,0.018867925
85,0,0.235294118,0,0,0.032085561,0,0.475935829,0,0.010695187,0.245989305,0,0
86,0,0,0.218085106,0,0.10106383,0,0.20212766,0,0,0.462765957,0.015957447,0
87,0,0.25,0,0,0.5,0,0,0,0.25,0,0,0
88,0,0.090909091,0.113636364,0,0.181818182,0,0.113636364,0,0.136363636,0.363636364,0,0
89,0,0,0.228395062,0,0.055555556,0,0.222222222,0,0.012345679,0.481481481,0,0
90,0,0.015075377,0.010050251,0,0.221105528,0,0,0,0.532663317,0,0,0.221105528
91,0,0.304054054,0,0,0,0.277027027,0.027027027,0,0.277027027,0.074324324,0,0.040540541
92,0.005952381,0.202380952,0.017857143,0,0.023809524,0,0.44047619,0,0.023809524,0.279761905,0,0.005952381
93,0,0.011235955,0.230337079,0,0.033707865,0,0.219101124,0,0.04494382,0.443820225,0,0.016853933
94,0,0,0.015706806,0,0.219895288,0,0,0,0.581151832,0,0,0.183246073
95,0,0.305555556,0,0,0,0.256944444,0,0,0.326388889,0.041666667,0,0.069444444
96,0,0.222891566,0,0,0.012048193,0,0.457831325,0,0.036144578,0.265060241,0,0.006024096
97,0,0.015789474,0.252631579,0,0.010526316,0,0.263157895,0,0.021052632,0.436842105,0,0
98,0,0,0,0,0.245535714,0,0,0,0.508928571,0.022321429,0,0.223214286
