Measure,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
1,0,0.136363636,0,0,0.181818182,0,0.181818182,0,0.181818182,0.181818182,0,0.136363636
2,0,0.263157895,0.052631579,0,0.210526316,0,0.157894737,0,0.157894737,0.157894737,0,0
3,0,0.333333333,0,0,0,0,0.333333333,0,0,0.266666667,0,0.066666667
4,0,0.047619048,0,0,0.333333333,0,0,0,0.19047619,0.142857143,0,0.285714286
5,0,0.1875,0,0,0,0.4375,0,0,0.25,0.0625,0,0.0625
6,0,0.083333333,0,0,0.208333333,0,0.166666667,0,0.208333333,0.208333333,0,0.125
7,0,0.125,0,0,0,0,0.5,0,0,0.3125,0,0.0625
8,0,0.05,0,0,0.4,0,0,0,0.2,0.15,0,0.2
9,0,0.1875,0,0,0,0.375,0,0,0.25,0.0625,0,0.125
10,0,0.107142857,0,0,0.25,0,0.214285714,0,0.142857143,0.178571429,0,0.107142857
11,0,0.047619048,0.142857143,0,0.047619048,0,0.285714286,0,0,0.238095238,0,0.238095238
12,0,0,0,0,0.625,0,0,0,0.25,0,0,0.125
13,0,0.25,0,0,0.15,0,0.3,0,0,0.25,0,0.05
14,0,0,0,0,0.571428571,0,0.047619048,0,0.238095238,0.047619048,0,0.095238095
15,0,0.041666667,0.166666667,0,0,0,0.333333333,0,0,0.25,0,0.208333333
16,0,0,0,0,0.454545455,0,0.045454545,0,0.272727273,0,0,0.227272727
17,0,0,0,0,0.4,0,0.1,0,0.3,0,0,0.2
18,0,0,0.083333333,0,0,0,0.333333333,0,0.166666667,0.416666667,0,0
19,0,0,0.137931034,0,0.172413793,0,0.206896552,0,0.068965517,0.413793103,0,0
20,0,0.03125,0.0625,0,0.3125,0,0,0,0.34375,0,0,0.25
21,0,0.272727273,0,0,0,0.227272727,0.045454545,0,0.227272727,0.136363636,0,0.090909091
22,0.029411765,0.117647059,0.029411765,0,0.088235294,0,0.323529412,0,0.088235294,0.294117647,0,0.029411765
23,0,0.03030303,0.212121212,0,0.090909091,0,0.151515152,0,0.121212121,0.363636364,0,0.03030303
24,0,0,0.05,0,0.35,0,0,0,0.45,0,0,0.15
25,0,0.272727273,0,0,0,0.136363636,0,0,0.409090909,0.090909091,0,0.090909091
26,0,0.166666667,0,0,0.033333333,0,0.366666667,0,0.166666667,0.233333333,0,0.033333333
27,0,0.058823529,0.176470588,0,0.058823529,0,0.235294118,0,0.058823529,0.411764706,0,0
28,0,0,0,0,0.368421053,0,0,0,0.315789474,0.105263158,0,0.210526316
29,0,0.214285714,0,0,0,0.214285714,0,0,0.428571429,0.071428571,0,0.071428571
30,0,0.136363636,0,0,0.136363636,0,0.5,0,0.045454545,0.181818182,0,0
31,0,0,0.25,0,0.178571429,0,0.142857143,0,0,0.392857143,0.035714286,0
32,0,0.266666667,0,0,0.466666667,0,0,0,0.266666667,0,0,0
33,0,0.25,0,0,0.5,0,0,0,0.25,0,0,0
34,0,0.052631579,0.157894737,0,0.157894737,0,0.157894737,0,0,0.263157895,0.052631579,0.157894737
35,0,0.076923077,0,0,0.384615385,0,0,0,0.076923077,0.230769231,0,0.230769231
36,0,0.3,0,0,0,0.2,0,0,0.2,0.1,0,0.2
37,0,0.133333333,0,0,0.133333333,0,0.4,0,0.066666667,0.266666667,0,0
38,0,0.052631579,0.157894737,0,0.210526316,0,0.157894737,0,0,0.210526316,0.052631579,0.157894737
39,0,0.076923077,0,0,0.692307692,0,0.076923077,0,0.076923077,0,0,0.076923077
40,0,0.222222222,0,0,0.111111111,0.222222222,0,0,0.222222222,0.111111111,0,0.111111111
41,0,0.176470588,0,0,0.176470588,0,0.294117647,0,0.058823529,0.235294118,0,0.058823529
42,0,0,0.16,0,0.16,0,0.28,0,0,0.28,0.04,0.08
43,0,0,0,0,0.714285714,0,0,0,0.142857143,0,0,0.142857143
44,0,0,0.1875,0,0.0625,0,0.3125,0,0.0625,0.3125,0,0.0625
45,0,0.052631579,0,0,0.578947368,0,0.052631579,0,0.157894737,0,0,0.157894737
46,0,0.111111111,0,0,0,0,0.333333333,0,0,0.333333333,0,0.222222222
47,0,0,0,0,0.5,0,0,0,0,0,0,0.5
48,0,0,0.076923077,0,0,0,0.307692308,0,0.153846154,0.461538462,0,0
49,0,0,0.137931034,0,0.172413793,0,0.206896552,0,0.068965517,0.413793103,0,0
50,0,0.03125,0.0625,0,0.3125,0,0,0,0.34375,0,0,0.25
51,0,0.272727273,0,0,0,0.227272727,0.045454545,0,0.227272727,0.136363636,0,0.090909091
52,0.029411765,0.117647059,0.029411765,0,0.088235294,0,0.323529412,0,0.088235294,0.294117647,0,0.029411765
53,0,0.03030303,0.212121212,0,0.090909091,0,0.151515152,0,0.121212121,0.363636364,0,0.03030303
54,0,0,0.05,0,0.35,0,0,0,0.45,0,0,0.15
55,0,0.272727273,0,0,0,0.136363636,0,0,0.409090909,0.090909091,0,0.090909091
56,0,0.166666667,0,0,0.033333333,0,0.366666667,0,0.166666667,0.233333333,0,0.033333333
57,0,0.058823529,0.176470588,0,0.058823529,0,0.235294118,0,0.058823529,0.411764706,0,0
58,0,0,0,0,0.368421053,0,0,0,0.315789474,0.105263158,0,0.210526316
59,0,0.214285714,0,0,0,0.214285714,0,0,0.428571429,0.071428571,0,0.071428571
60,0,0.136363636,0,0,0.136363636,0,0.5,0,0.045454545,0.181818182,0,0
61,0,0,0.25,0,0.178571429,0,0.142857143,0,0,0.392857143,0.035714286,0
62,0,0.266666667,0,0,0.466666667,0,0,0,0.266666667,0,0,0
63,0,0.3,0,0,0.5,0,0,0,0.2,0,0,0
64,0,0.071428571,0.642857143,0,0,0,0.214285714,0,0,0,0,0.071428571
65,0,0.384615385,0,0,0,0,0.230769231,0,0.076923077,0.153846154,0,0.153846154
66,0,0,0,0.071428571,0.5,0,0,0,0.071428571,0,0,0.357142857
67,0,0,0,0.090909091,0,0,0.272727273,0,0,0,0,0.636363636
68,0,0.058823529,0.529411765,0,0.058823529,0,0.235294118,0,0,0,0,0.117647059
69,0,0.375,0,0,0,0,0.25,0,0.0625,0.1875,0,0.125
70,0,0,0,0,0.384615385,0,0,0,0.153846154,0,0,0.461538462
71,0,0.5,0,0,0.25,0,0.25,0,0,0,0,0
72,0,0.285714286,0,0,0.142857143,0,0.142857143,0,0,0.357142857,0,0.071428571
73,0,0,0.083333333,0,0,0,0.333333333,0,0.166666667,0.416666667,0,0
74,0,0,0.137931034,0,0.172413793,0,0.206896552,0,0.068965517,0.413793103,0,0
75,0,0.03125,0.0625,0,0.3125,0,0,0,0.34375,0,0,0.25
76,0,0.272727273,0,0,0,0.227272727,0.045454545,0,0.227272727,0.136363636,0,0.090909091
77,0.029411765,0.117647059,0.029411765,0,0.088235294,0,0.323529412,0,0.088235294,0.294117647,0,0.029411765
78,0,0.03030303,0.212121212,0,0.090909091,0,0.151515152,0,0.121212121,0.363636364,0,0.03030303
79,0,0,0.05,0,0.35,0,0,0,0.45,0,0,0.15
80,0,0.272727273,0,0,0,0.136363636,0,0,0.409090909,0.090909091,0,0.090909091
81,0,0.166666667,0,0,0.033333333,0,0.366666667,0,0.166666667,0.233333333,0,0.033333333
82,0,0.058823529,0.176470588,0,0.058823529,0,0.235294118,0,0.058823529,0.411764706,0,0
83,0,0,0,0,0.368421053,0,0,0,0.315789474,0.105263158,0,0.210526316
84,0,0.214285714,0,0,0,0.214285714,0,0,0.428571429,0.071428571,0,0.071428571
85,0,0.136363636,0,0,0.136363636,0,0.5,0,0.045454545,0.181818182,0,0
86,0,0,0.25,0,0.178571429,0,0.142857143,0,0,0.392857143,0.035714286,0
87,0,0.266666667,0,0,0.466666667,0,0,0,0.266666667,0,0,0
88,0,0.105263158,0.052631579,0,0.157894737,0,0.210526316,0,0.210526316,0.263157895,0,0
89,0,0,0.137931034,0,0.172413793,0,0.206896552,0,0.068965517,0.413793103,0,0
90,0,0.03125,0.0625,0,0.3125,0,0,0,0.34375,0,0,0.25
91,0,0.272727273,0,0,0,0.227272727,0.045454545,0,0.227272727,0.136363636,0,0.090909091
92,0.029411765,0.117647059,0.029411765,0,0.088235294,0,0.323529412,0,0.088235294,0.294117647,0,0.029411765
93,0,0.03030303,0.212121212,0,0.090909091,0,0.151515152,0,0.121212121,0.363636364,0,0.03030303
94,0,0,0.05,0,0.35,0,0,0,0.45,0,0,0.15
95,0,0.272727273,0,0,0,0.136363636,0,0,0.409090909,0.090909091,0,0.090909091
96,0,0.166666667,0,0,0.033333333,0,0.366666667,0,0.166666667,0.233333333,0,0.033333333
97,0,0.058823529,0.176470588,0,0.058823529,0,0.235294118,0,0.058823529,0.411764706,0,0
98,0,0,0,0,0.368421053,0,0,0,0.315789474,0.105263158,0,0.210526316
99,0,0.214285714,0,0,0,0.214285714,0,0,0.428571429,0.071428571,0,0.071428571
100,0,0.136363636,0,0,0.136363636,0,0.5,0,0.045454545,0.181818182,0,0
101,0,0,0.25,0,0.178571429,0,0.142857143,0,0,0.392857143,0.035714286,0
102,0,0.266666667,0,0,0.466666667,0,0,0,0.266666667,0,0,0
103,0,0.285714286,0,0,0.428571429,0,0,0,0.285714286,0,0,0
104,0,0,0,0,0,0,0,0,1,0,0,0
