Measure,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
1,0.265329734,0,0,0,0.256074046,0,0,0.335518704,0,0.143077516,0,0
2,0.156571899,0,0,0,0.264112073,0,0,0.390193655,0,0.189122373,0,0
3,0.144006961,0,0.071350881,0,0.228627366,0.097019796,0,0.318903633,0,0.140091364,0,0
4,0.151998039,0,0.073057122,0,0.260112773,0.044373621,0,0.353272861,0,0.075999019,0,0.041186565
5,0.117905953,0,0.173731758,0,0.078990039,0.132962706,0,0.346768589,0,0.095668288,0,0.053972666
6,0.165064103,0,0,0,0.143429487,0,0,0.69150641,0,0,0,0
7,0.137881679,0,0.05629771,0,0.172232824,0.061068702,0,0.489980916,0,0,0,0.082538168
8,0.369363989,0,0.062108092,0,0.044789489,0.067482831,0,0.171394446,0,0.258584652,0.0262765,0
9,0.101838755,0,0.075318246,0,0.062942008,0.064710042,0,0.393564356,0,0,0,0.301626591
10,0.046442688,0,0,0,0.390544238,0.08764062,0,0,0.392672545,0.082699909,0,0
11,0,0,0,0,0.090185676,0,0.103448276,0,0.179045093,0.119363395,0,0.50795756
12,0,0,0,0,0,0,0,0,0,0,0,1
13,0.279633268,0,0,0,0.275703995,0,0,0.321545514,0,0.123117223,0,0
14,0.332572732,0,0,0,0.154592128,0,0,0.343411295,0,0.169423845,0,0
15,0.22396757,0,0,0,0.26171776,0.030402838,0,0.390423106,0,0.093488726,0,0
16,0.308735632,0,0.108965517,0,0.185287356,0.065747126,0,0.269425287,0,0.015632184,0,0.046206897
17,0.239544667,0,0.110863648,0,0.138332096,0.118535016,0,0.247710963,0,0.105419451,0,0.03959416
18,0.324537037,0,0,0,0.258333333,0,0,0.390277778,0,0.026851852,0,0
19,0.410278746,0,0.053135889,0,0.099738676,0.052700348,0,0.2521777,0,0,0.076219512,0.055749129
20,0.066974596,0,0,0,0.089491917,0,0,0.748267898,0,0,0.095265589,0
21,0.157202216,0,0.054709141,0,0.051939058,0.064058172,0,0.369806094,0,0,0,0.302285319
22,0.066214689,0,0.045423729,0,0.240677966,0.223954802,0,0.24,0,0.183728814,0,0
23,0.103270856,0.100330761,0.309812569,0,0,0.317162808,0,0,0,0.090040426,0,0.07938258
24,0,0.109076967,0.192082814,0,0.545864085,0,0,0,0,0,0,0.152976133
25,0,0.509777659,0,0,0,0,0,0,0,0.490222341,0,0
26,0,0,0,0,0,0,0,1,0,0,0,0
27,0.089521166,0,0.040249827,0,0.13740458,0.289382373,0,0.339347675,0,0,0,0.104094379
28,0.201134605,0,0.025786488,0,0.293450232,0,0,0.31923672,0,0.024755028,0.135636926,0
29,0.126530612,0,0,0,0,0,0,0.873469388,0,0,0,0
30,0.226990693,0,0.039038263,0,0.043950362,0.042916236,0,0.054291624,0,0.592812823,0,0
31,0.412236122,0,0.31645817,0,0,0.271305708,0,0,0,0,0,0
32,0,0,0.149355656,0,0.029518669,0.29970261,0,0.10915299,0,0.265778169,0,0.146491904
33,0,0,0.210615471,0,0.172783738,0.31959345,0,0.29700734,0,0,0,0
34,0.851947161,0,0.090924687,0,0.057128152,0,0,0,0,0,0,0
35,1,0,0,0,0,0,0,0,0,0,0,0
