Measure,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
1,1,0,0,0,1,0,0,1,0,1,0,0
2,1,0,0,0,1,0,0,1,0,1,0,0
3,1,0,1,0,1,1,0,1,0,1,0,0
4,1,0,1,0,1,1,0,1,0,1,0,1
5,1,0,1,0,1,1,0,1,0,1,0,1
6,1,0,0,0,1,0,0,1,0,0,0,0
7,1,0,1,0,1,1,0,1,0,0,0,1
8,1,0,1,0,1,1,0,1,0,1,1,0
9,1,0,1,0,1,1,0,1,0,0,0,1
10,1,0,0,0,1,1,0,0,1,1,0,0
11,0,0,0,0,1,0,1,0,1,1,0,1
12,0,0,0,0,0,0,0,0,0,0,0,1
13,1,0,0,0,1,0,0,1,0,1,0,0
14,1,0,0,0,1,0,0,1,0,1,0,0
15,1,0,0,0,1,1,0,1,0,1,0,0
16,1,0,1,0,1,1,0,1,0,1,0,1
17,1,0,1,0,1,1,0,1,0,1,0,1
18,1,0,0,0,1,0,0,1,0,1,0,0
19,1,0,1,0,1,1,0,1,0,0,1,1
20,1,0,0,0,1,0,0,1,0,0,1,0
21,1,0,1,0,1,1,0,1,0,0,0,1
22,1,0,1,0,1,1,0,1,0,1,0,0
23,1,1,1,0,0,1,0,0,0,1,0,1
24,0,1,1,0,1,0,0,0,0,0,0,1
25,0,1,0,0,0,0,0,0,0,1,0,0
26,0,0,0,0,0,0,0,1,0,0,0,0
27,1,0,1,0,1,1,0,1,0,0,0,1
28,1,0,1,0,1,0,0,1,0,1,1,0
29,1,0,0,0,0,0,0,1,0,0,0,0
30,1,0,1,0,1,1,0,1,0,1,0,0
31,1,0,1,0,0,1,0,0,0,0,0,0
32,0,0,1,0,1,1,0,1,0,1,0,1
33,0,0,1,0,1,1,0,1,0,0,0,0
34,1,0,1,0,1,0,0,0,0,0,0,0
35,1,0,0,0,0,0,0,0,0,0,0,0
