Measure,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
1,0,0,0.336886536,0,0,0,0.261983116,0,0.07998283,0.182608385,0,0.138539133
2,0,0.060777131,0.110684043,0,0.132964987,0,0.031889977,0,0.258122635,0.293075491,0,0.112485737
3,0,0.119348905,0.034617314,0,0.323262166,0,0,0,0.233234851,0.289536763,0,0
4,0,0.160817414,0.138922384,0,0.083264581,0,0.328108142,0,0.060671448,0.165577204,0,0.062638827
5,0,0,0.310951406,0,0,0.27075586,0.174904943,0,0,0.046546609,0,0.196841182
6,0,0.231286796,0.088800112,0,0.138631904,0.065461172,0.119358004,0,0.039318755,0.161129801,0,0.156013457
7,0,0.254370341,0,0,0.181212481,0,0.295797876,0,0.033379511,0.235239792,0,0
8,0,0.14177509,0.232056686,0,0.059251115,0,0.019424592,0,0.059923035,0.426546943,0,0.06102254
9,0,0,0.294499366,0,0,0,0.211051965,0,0.205373891,0,0,0.289074778
10,0,0.065077613,0.142949925,0,0.112424498,0,0.084561928,0,0.078326947,0.395336754,0,0.121322336
11,0,0.142829706,0.036555698,0,0.332778489,0,0,0,0.272023047,0.21581306,0,0
12,0,0.113776016,0.290981169,0,0.077304262,0,0.348067393,0,0.02789891,0.108077304,0,0.033894945
13,0,0,0.222299089,0,0,0.342153811,0.163207656,0,0,0,0,0.272339444
14,0,0.276086377,0.069421488,0,0,0.097307385,0.310157291,0,0.046867502,0.068781658,0,0.131378299
15,0,0.187285223,0,0,0,0,0.568728522,0,0.049626036,0.194360218,0,0
16,0,0.258919556,0.026758667,0,0,0.026758667,0.121844497,0,0.130343319,0.267754965,0,0.16762033
17,0,0,0.336460623,0,0,0.185814614,0,0,0,0.278293036,0,0.199431727
18,0,0.137820513,0.146138584,0,0.161019536,0.118284493,0,0,0,0.323031136,0,0.113705739
19,0,0.181416291,0.069504707,0,0.56766271,0,0,0,0,0.181416291,0,0
20,0,0.178617374,0.021531586,0,0.297244228,0.38817794,0,0,0,0.114428871,0,0
21,0,0,0.092385548,0,0.065552548,0.279039661,0,0,0,0.336707073,0,0.22631517
22,0,0.226868087,0.114985163,0,0.091853251,0.130900998,0,0.053210143,0,0.28223631,0,0.099946048
23,0,0.214451634,0.021818483,0,0.43943919,0,0,0,0,0.324290692,0,0
24,0,0.174954296,0.235466179,0,0.315082267,0,0.051279707,0,0,0.139213894,0,0.084003656
25,0,0,0.392504281,0,0,0,0.294493479,0,0.118429719,0,0,0.19457252
26,0,0.064721582,0.14745845,0,0.109790125,0,0.15971127,0,0.090925634,0.262465122,0,0.164927818
27,0,0.421913146,0,0,0.16127839,0,0.216912037,0,0,0.136346823,0,0.063549604
28,0,0.162756717,0.173309522,0,0.064615634,0,0.314635928,0,0,0.220472441,0,0.064209757
29,0,0,0.224818024,0,0,0,0.385372617,0,0.146343154,0,0,0.243466205
30,0,0.509540017,0.128867574,0,0.035787954,0,0.09220297,0,0.125,0,0,0.108601485
31,0,0.234748944,0,0,0,0.051384327,0.335288597,0,0.248122947,0,0,0.130455185
32,0,0.108590193,0.136428092,0,0,0.240167177,0.018508844,0,0.2188223,0.171356071,0,0.106127323
33,0,0,0.420284378,0,0.030043932,0,0.248193113,0,0.091076574,0.09509188,0,0.115310123
34,0,0.037608603,0.140287988,0,0.130566863,0,0.044595662,0,0.218846832,0.366000365,0,0.062093687
35,0,0.208991575,0.053251711,0,0.387835703,0,0,0,0.257109005,0.092812006,0,0
36,0,0.129577465,0.449784421,0,0.091003162,0,0.206668583,0,0,0.097326818,0,0.025639552
37,0,0,0.225205247,0,0,0.291686326,0.278522223,0,0,0,0,0.204586204
38,0,0.310508028,0.090762042,0,0.160496046,0.088365684,0.118799425,0,0.030014378,0.056134675,0,0.144919722
39,0,0.178806431,0,0,0.229673285,0,0.195742976,0,0.029524518,0.366252789,0,0
40,0,0.17847875,0.198431463,0,0.145724007,0,0.111469927,0,0.061761144,0.283201661,0,0.020933049
41,0,0,0.278260409,0,0.03369001,0,0.210721475,0,0.318571883,0.059434262,0,0.099321962
42,0,0.028902776,0.209349838,0,0.126727557,0,0.077214277,0,0.103112607,0.350859272,0,0.103833674
43,0,0.146764459,0.043242417,0,0.419359768,0,0,0,0.304912522,0.085720834,0,0
44,0,0.101133308,0.265991164,0,0.068670765,0,0.3591529,0,0.092105263,0.094170188,0,0.018776412
45,0,0,0.187423313,0,0,0.39,0.166380368,0,0,0,0,0.256196319
46,0,0.237749449,0.070195256,0,0.123769566,0.082190307,0.100747674,0,0.030713786,0.235436502,0,0.119197461
47,0,0.232185348,0,0,0.431433939,0,0,0,0,0.336380714,0,0
48,0,0,0,0,0.392032333,0,0,0,0,0.607967667,0,0
