Measure,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
1,0,0,0.297297297,0,0,0,0.216216216,0,0.054054054,0.135135135,0,0.297297297
2,0,0.108108108,0.162162162,0,0.216216216,0,0.054054054,0,0.162162162,0.135135135,0,0.162162162
3,0,0.25,0.071428571,0,0.285714286,0,0,0,0.107142857,0.285714286,0,0
4,0,0.235294118,0.088235294,0,0.117647059,0,0.147058824,0,0.058823529,0.235294118,0,0.117647059
5,0,0,0.290322581,0,0,0.161290323,0.225806452,0,0,0.096774194,0,0.225806452
6,0,0.161290323,0.129032258,0,0.032258065,0.096774194,0.032258065,0,0.064516129,0.258064516,0,0.225806452
7,0,0.304347826,0,0,0.173913043,0,0.130434783,0,0.086956522,0.304347826,0,0
8,0,0.21875,0.09375,0,0.15625,0,0.03125,0,0.0625,0.34375,0,0.09375
9,0,0,0.32,0,0,0,0.24,0,0.08,0,0,0.36
10,0,0.117647059,0.205882353,0,0.205882353,0,0.117647059,0,0.058823529,0.117647059,0,0.176470588
11,0,0.28,0.08,0,0.24,0,0,0,0.12,0.28,0,0
12,0,0.2,0.114285714,0,0.142857143,0,0.228571429,0,0.028571429,0.2,0,0.085714286
13,0,0,0.259259259,0,0,0.185185185,0.259259259,0,0,0,0,0.296296296
14,0,0.171428571,0.114285714,0,0,0.142857143,0.114285714,0,0.085714286,0.142857143,0,0.228571429
15,0,0.260869565,0,0,0,0,0.391304348,0,0.086956522,0.260869565,0,0
16,0,0.272727273,0.03030303,0,0,0.03030303,0.181818182,0,0.090909091,0.272727273,0,0.121212121
17,0,0,0.269230769,0,0,0.269230769,0,0,0,0.269230769,0,0.192307692
18,0,0.212121212,0.151515152,0,0.151515152,0.151515152,0,0,0,0.181818182,0,0.151515152
19,0,0.28,0.12,0,0.32,0,0,0,0,0.28,0,0
20,0,0.214285714,0.035714286,0,0.357142857,0.214285714,0,0,0,0.178571429,0,0
21,0,0,0.178571429,0,0.107142857,0.321428571,0,0,0,0.321428571,0,0.071428571
22,0,0.083333333,0.138888889,0,0.111111111,0.194444444,0,0.083333333,0,0.277777778,0,0.111111111
23,0,0.217391304,0.043478261,0,0.391304348,0,0,0,0,0.347826087,0,0
24,0,0.228571429,0.2,0,0.257142857,0,0.057142857,0,0,0.171428571,0,0.085714286
25,0,0,0.333333333,0,0,0,0.291666667,0,0.041666667,0,0,0.333333333
26,0,0.108108108,0.189189189,0,0.135135135,0,0.162162162,0,0.081081081,0.108108108,0,0.216216216
27,0,0.25,0,0,0.208333333,0,0.166666667,0,0,0.25,0,0.125
28,0,0.178571429,0.178571429,0,0.071428571,0,0.25,0,0,0.25,0,0.071428571
29,0,0,0.24,0,0,0,0.32,0,0.08,0,0,0.36
30,0,0.205882353,0.235294118,0,0.088235294,0,0.176470588,0,0.088235294,0,0,0.205882353
31,0,0.304347826,0,0,0,0.043478261,0.260869565,0,0.217391304,0,0,0.173913043
32,0,0.217391304,0.043478261,0,0,0.260869565,0.043478261,0,0.173913043,0.086956522,0,0.173913043
33,0,0,0.321428571,0,0.071428571,0,0.285714286,0,0.035714286,0.035714286,0,0.25
34,0,0.090909091,0.242424242,0,0.242424242,0,0.090909091,0,0.121212121,0.090909091,0,0.121212121
35,0,0.208333333,0.125,0,0.375,0,0,0,0.083333333,0.208333333,0,0
36,0,0.266666667,0.1,0,0.2,0,0.166666667,0,0,0.2,0,0.066666667
37,0,0,0.214285714,0,0,0.142857143,0.392857143,0,0,0,0,0.25
38,0,0.176470588,0.147058824,0,0.088235294,0.147058824,0.029411765,0,0.058823529,0.117647059,0,0.235294118
39,0,0.208333333,0,0,0.333333333,0,0.083333333,0,0.083333333,0.291666667,0,0
40,0,0.27027027,0.054054054,0,0.243243243,0,0.027027027,0,0.054054054,0.324324324,0,0.027027027
41,0,0,0.230769231,0,0.076923077,0,0.230769231,0,0.115384615,0.153846154,0,0.192307692
42,0,0.058823529,0.235294118,0,0.235294118,0,0.147058824,0,0.058823529,0.088235294,0,0.176470588
43,0,0.304347826,0.086956522,0,0.347826087,0,0,0,0.086956522,0.173913043,0,0
44,0,0.212121212,0.090909091,0,0.151515152,0,0.242424242,0,0.03030303,0.212121212,0,0.060606061
45,0,0,0.2,0,0,0.16,0.36,0,0,0,0,0.28
46,0,0.15625,0.15625,0,0.0625,0.1875,0.03125,0,0.0625,0.125,0,0.21875
47,0,0.24,0,0,0.4,0,0,0,0,0.36,0,0
48,0,0,0,0,0.333333333,0,0,0,0,0.666666667,0,0
