Measure,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
1,0,0,0.453786297,0,0,0.273106851,0,0,0,0.273106851,0,0
2,0.1,0.1,0.3,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0,0.1
3,0,0,0.250457038,0,0,0.250457038,0,0,0,0,0.499085923,0
4,0,0,0,0,0,0,0,0,0.125,0,0.875,0
5,0,0,0.399540997,0,0,0.300229501,0,0,0,0.300229501,0,0
6,0.150700935,0.150700935,0.230140187,0.079439252,0.039719626,0.039719626,0.039719626,0.039719626,0.039719626,0.039719626,0,0.150700935
7,0,0,0.253636604,0,0,0.253636604,0,0,0,0,0.492726792,0
8,0.144690265,0.109587021,0.07020649,0.07020649,0.07020649,0.07020649,0.035103245,0.035103245,0.087758112,0,0.197345133,0.109587021
9,0,0,0.45731331,0,0,0.271343345,0,0,0,0.271343345,0,0
10,0,0,0.317360715,0,0,0.318691766,0,0,0,0.363947519,0,0
11,0.115372255,0,0.205249063,0,0,0,0,0.41006963,0,0,0.269309052,0
12,0.339354407,0,0,0,0.320454926,0,0,0.340190667,0,0,0,0
13,0.050559411,0,0.355615352,0,0,0.220648633,0,0.033706274,0,0.33947033,0,0
14,0,0,0.345454545,0,0,0.269670153,0,0,0,0.384875302,0,0
15,0.145246123,0,0.193661497,0,0,0,0,0.386783547,0,0,0.274308833,0
16,0.326258241,0,0,0,0.269496704,0,0,0.404245055,0,0,0,0
17,0,0,0.374429224,0,0,0.250228311,0,0,0,0.375342466,0,0
18,0,0,0.357413548,0,0,0.131927996,0,0,0,0.510658456,0,0
19,0,0,0.220874471,0,0,0,0,0.305923836,0,0.118053597,0.355148096,0
20,0.57338403,0,0,0,0.266311787,0,0,0.160304183,0,0,0,0
21,0.010882487,0,0.336625514,0,0,0.260448102,0,0,0,0.392043896,0,0
22,0,0,0.544761905,0,0,0.182095238,0,0,0,0.273142857,0,0
23,0,0,0.598182346,0,0,0.200908827,0,0,0,0.200908827,0,0
24,0.103448276,0,0.379310345,0,0.103448276,0.103448276,0,0.103448276,0,0.103448276,0.103448276,0
25,0,0.384911717,0,0,0.256607812,0,0,0.256607812,0,0,0.101872659,0
26,0,0.162241555,0,0,0.162241555,0,0,0.162241555,0,0.203027906,0.31024743,0
27,0,0,0.343651862,0,0,0.258232391,0,0,0,0.398115747,0,0
28,0.138826607,0.138826607,0.227765321,0.088938714,0.044469357,0.044469357,0.044469357,0.044469357,0.044469357,0.044469357,0,0.138826607
29,0,0,0.203465982,0,0,0.203465982,0,0,0,0,0.593068036,0
30,0.090928094,0.057901338,0.125,0.033026756,0,0.125,0,0,0.138586957,0,0.371655518,0.057901338
31,0,0,0.32307291,0,0,0,0,0.385026738,0,0,0.291900352,0
32,0,0,0.388927658,0,0,0,0,0.332868109,0,0,0.278204234,0
33,0.360766106,0,0,0.263958212,0,0.12501451,0,0.250261172,0,0,0,0
34,0.308934982,0,0,0,0,0.404666933,0,0,0,0.286398085,0,0
35,0,0,0.41044297,0,0,0,0,0.332976675,0,0,0.256580355,0
36,0,0,0.368363076,0,0,0,0,0.31526768,0,0,0.316369244,0
37,0.352550707,0,0,0.279532883,0,0.132390904,0,0.235525507,0,0,0,0
38,0.26180514,0,0,0,0,0.404263798,0,0,0,0.333931062,0,0
39,0,0,0.406470128,0,0,0,0,0.343334203,0,0,0.250195669,0
40,0,0,0.609525541,0,0,0,0,0.260134521,0,0,0.130339938,0
41,0.293294881,0,0.155299207,0.344340303,0,0,0,0.207065609,0,0,0,0
42,0.199765769,0,0,0,0,0.479672076,0,0,0,0.320562155,0,0
43,0,0,0.402358277,0,0,0,0,0.336598639,0,0,0.261043084,0
44,0,0,0.363809524,0,0,0,0,0.454095238,0,0,0.182095238,0
45,0,0,0.223919559,0,0,0,0,0.575171614,0,0,0.200908827,0
46,0.103448276,0,0.137931034,0.103448276,0,0.103448276,0,0.344827586,0,0.103448276,0.103448276,0
47,0.096895674,0,0,0.268498728,0,0,0.36610687,0,0,0.268498728,0,0
48,0.163509131,0,0.0609319,0.449564772,0,0,0.162485066,0,0,0.163509131,0,0
49,0,0,0.391564626,0,0,0,0,0.34739229,0,0,0.261043084,0
50,0.116591928,0.116591928,0.116591928,0,0.066704036,0.066704036,0.066704036,0.15564275,0.088938714,0.044469357,0.044469357,0.116591928
51,0,0,0,0.350769983,0,0,0,0.234417013,0,0,0.414813004,0
52,0.133389028,0,0.399610136,0,0,0,0.26705653,0,0,0.199944305,0,0
53,0,0,0,0,0.393602225,0,0,0.303198887,0,0,0,0.303198887
54,0,0,0,0,0.374672946,0,0,0.250130822,0,0,0,0.375196232
55,0.223565619,0,0.118377665,0,0.289734007,0,0,0,0,0.368322708,0,0
56,0,0,0.361459786,0,0,0,0.166201767,0,0,0.472338447,0,0
57,0,0,0,0,0.263285024,0,0,0.263285024,0,0,0,0.473429952
58,0,0,0,0,0.375217846,0,0,0.250261415,0,0,0,0.374520739
59,0.18032026,0,0.124970991,0,0.305871432,0,0,0,0,0.388837317,0,0
60,0,0,0.417247792,0,0,0,0.166201767,0,0,0.416550442,0,0
61,0,0,0,0,0.25821217,0,0,0.25821217,0,0,0,0.48357566
62,0,0,0,0,0.450533361,0,0,0.199958168,0,0,0,0.349508471
63,0.297120271,0,0,0,0.216374929,0,0,0,0,0.324336533,0,0.162168267
64,0,0,0.439852769,0,0,0,0.320562155,0,0,0.239585076,0,0
65,0,0,0,0,0.293857856,0,0,0.235380715,0,0,0,0.47076143
66,0,0,0,0,0.391114348,0,0,0.174071377,0,0,0,0.434814275
67,0,0,0,0,0.546455992,0,0,0.226772004,0,0,0,0.226772004
68,0.079798826,0,0.079798826,0,0.521207041,0,0.079798826,0.079798826,0,0.079798826,0,0.079798826
69,0.085250984,0,0,0.457374508,0,0,0.228687254,0,0,0.228687254,0,0
70,0.464146997,0,0,0.214520466,0.035703615,0,0.214520466,0,0,0,0,0.071108455
71,0,0,0,0,0.371891997,0,0.069638695,0.186091686,0,0,0,0.372377622
72,0,0.012442493,0.012442493,0.012442493,0.450230029,0,0.112609787,0.199916353,0,0,0,0.199916353
73,0.285373609,0,0,0,0.254040806,0,0,0.222310546,0,0,0,0.23827504
74,0.226666667,0.045333333,0.045333333,0.045333333,0.273142857,0,0,0.182095238,0,0,0,0.182095238
75,0,0,0,0,0.405980674,0,0.093627579,0.250195874,0,0,0,0.250195874
76,0,0.015567766,0.015567766,0.015567766,0.312140241,0,0.140894819,0.250130822,0,0,0,0.250130822
77,0.275747508,0,0,0,0.252780586,0,0,0.230102557,0,0,0,0.241369349
78,0.625,0.125,0.125,0,0.125,0,0,0,0,0,0,0
79,0.064463705,0,0,0.254875406,0,0.359425785,0,0.064463705,0.128385699,0,0.128385699,0
80,0.247593662,0,0,0,0,0.540056271,0,0,0.212350067,0,0,0
81,0,0.43987799,0,0.153636218,0,0.203242896,0,0,0.203242896,0,0,0
82,0,0,0,0.552961903,0,0,0,0.210526316,0,0,0.236511782,0
83,0.384747032,0,0,0,0,0.358754947,0,0,0.256498021,0,0,0
84,0.260774686,0,0,0,0,0.521731224,0,0,0.21749409,0,0,0
85,0,0.421726074,0,0.14061888,0,0.218827523,0,0,0.218827523,0,0,0
86,0,0,0,0.426816427,0,0.126009126,0,0.083889084,0.126009126,0,0.237276237,0
