Measure,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
1,0,0,0.818181818,0,0,0.090909091,0,0,0,0.090909091,0,0
2,0.1,0.1,0.3,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0,0.1
3,0,0,0.090909091,0,0,0.090909091,0,0,0,0,0.818181818,0
4,0,0,0,0,0,0,0,0,0.125,0,0.875,0
5,0,0,0.714285714,0,0,0.142857143,0,0,0,0.142857143,0,0
6,0.145833333,0.145833333,0.229166667,0.083333333,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0,0.145833333
7,0,0,0.111111111,0,0,0.111111111,0,0,0,0,0.777777778,0
8,0.15,0.116666667,0.066666667,0.066666667,0.066666667,0.066666667,0.033333333,0.033333333,0.083333333,0,0.2,0.116666667
9,0,0,0.777777778,0,0,0.111111111,0,0,0,0.111111111,0,0
10,0,0,0.523809524,0,0,0.19047619,0,0,0,0.285714286,0,0
11,0.12,0,0.16,0,0,0,0,0.48,0,0,0.24,0
12,0.523809524,0,0,0,0.19047619,0,0,0.285714286,0,0,0,0
13,0.157894737,0,0.473684211,0,0,0.105263158,0,0.105263158,0,0.157894737,0,0
14,0,0,0.52,0,0,0.16,0,0,0,0.32,0,0
15,0.12,0,0.16,0,0,0,0,0.48,0,0,0.24,0
16,0.523809524,0,0,0,0.19047619,0,0,0.285714286,0,0,0,0
17,0,0,0.666666667,0,0,0.133333333,0,0,0,0.2,0,0
18,0,0,0.611111111,0,0,0.166666667,0,0,0,0.222222222,0,0
19,0,0,0.16,0,0,0,0,0.24,0,0.12,0.48,0
20,0.6,0,0,0,0.16,0,0,0.24,0,0,0,0
21,0.066666667,0,0.6,0,0,0.133333333,0,0,0,0.2,0,0
22,0,0,0.666666667,0,0,0.133333333,0,0,0,0.2,0,0
23,0,0,0.764705882,0,0,0.117647059,0,0,0,0.117647059,0,0
24,0.103448276,0,0.379310345,0,0.103448276,0.103448276,0,0.103448276,0,0.103448276,0.103448276,0
25,0,0.2,0,0,0.133333333,0,0,0.133333333,0,0,0.533333333,0
26,0,0.137931034,0,0,0.137931034,0,0,0.137931034,0,0.103448276,0.482758621,0
