Measure,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
1,0,0,1,0,0,1,0,0,0,1,0,0
2,1,1,1,1,1,1,1,1,1,1,0,1
3,0,0,1,0,0,1,0,0,0,0,1,0
4,0,0,0,0,0,0,0,0,1,0,1,0
5,0,0,1,0,0,1,0,0,0,1,0,0
6,1,1,1,1,1,1,1,1,1,1,0,1
7,0,0,1,0,0,1,0,0,0,0,1,0
8,1,1,1,1,1,1,1,1,1,0,1,1
9,0,0,1,0,0,1,0,0,0,1,0,0
10,0,0,1,0,0,1,0,0,0,1,0,0
11,1,0,1,0,0,0,0,1,0,0,1,0
12,1,0,0,0,1,0,0,1,0,0,0,0
13,1,0,1,0,0,1,0,1,0,1,0,0
14,0,0,1,0,0,1,0,0,0,1,0,0
15,1,0,1,0,0,0,0,1,0,0,1,0
16,1,0,0,0,1,0,0,1,0,0,0,0
17,0,0,1,0,0,1,0,0,0,1,0,0
18,0,0,1,0,0,1,0,0,0,1,0,0
19,0,0,1,0,0,0,0,1,0,1,1,0
20,1,0,0,0,1,0,0,1,0,0,0,0
21,1,0,1,0,0,1,0,0,0,1,0,0
22,0,0,1,0,0,1,0,0,0,1,0,0
23,0,0,1,0,0,1,0,0,0,1,0,0
24,1,0,1,0,1,1,0,1,0,1,1,0
25,0,1,0,0,1,0,0,1,0,0,1,0
26,0,1,0,0,1,0,0,1,0,1,1,0
27,0,0,1,0,0,1,0,0,0,1,0,0
28,1,1,1,1,1,1,1,1,1,1,0,1
29,0,0,1,0,0,1,0,0,0,0,1,0
30,1,1,1,1,0,1,0,0,1,0,1,1
31,0,0,1,0,0,0,0,1,0,0,1,0
32,0,0,1,0,0,0,0,1,0,0,1,0
33,1,0,0,1,0,1,0,1,0,0,0,0
34,1,0,0,0,0,1,0,0,0,1,0,0
35,0,0,1,0,0,0,0,1,0,0,1,0
36,0,0,1,0,0,0,0,1,0,0,1,0
37,1,0,0,1,0,1,0,1,0,0,0,0
38,1,0,0,0,0,1,0,0,0,1,0,0
39,0,0,1,0,0,0,0,1,0,0,1,0
40,0,0,1,0,0,0,0,1,0,0,1,0
41,1,0,1,1,0,0,0,1,0,0,0,0
42,1,0,0,0,0,1,0,0,0,1,0,0
43,0,0,1,0,0,0,0,1,0,0,1,0
44,0,0,1,0,0,0,0,1,0,0,1,0
45,0,0,1,0,0,0,0,1,0,0,1,0
46,1,0,1,1,0,1,0,1,0,1,1,0
47,1,0,0,1,0,0,1,0,0,1,0,0
48,1,0,1,1,0,0,1,0,0,1,0,0
49,0,0,1,0,0,0,0,1,0,0,1,0
50,1,1,1,0,1,1,1,1,1,1,1,1
51,0,0,0,1,0,0,0,1,0,0,1,0
52,1,0,1,0,0,0,1,0,0,1,0,0
53,0,0,0,0,1,0,0,1,0,0,0,1
54,0,0,0,0,1,0,0,1,0,0,0,1
55,1,0,1,0,1,0,0,0,0,1,0,0
56,0,0,1,0,0,0,1,0,0,1,0,0
57,0,0,0,0,1,0,0,1,0,0,0,1
58,0,0,0,0,1,0,0,1,0,0,0,1
59,1,0,1,0,1,0,0,0,0,1,0,0
60,0,0,1,0,0,0,1,0,0,1,0,0
61,0,0,0,0,1,0,0,1,0,0,0,1
62,0,0,0,0,1,0,0,1,0,0,0,1
63,1,0,0,0,1,0,0,0,0,1,0,1
64,0,0,1,0,0,0,1,0,0,1,0,0
65,0,0,0,0,1,0,0,1,0,0,0,1
66,0,0,0,0,1,0,0,1,0,0,0,1
67,0,0,0,0,1,0,0,1,0,0,0,1
68,1,0,1,0,1,0,1,1,0,1,0,1
69,1,0,0,1,0,0,1,0,0,1,0,0
70,1,0,0,1,1,0,1,0,0,0,0,1
71,0,0,0,0,1,0,1,1,0,0,0,1
72,0,1,1,1,1,0,1,1,0,0,0,1
73,1,0,0,0,1,0,0,1,0,0,0,1
74,1,1,1,1,1,0,0,1,0,0,0,1
75,0,0,0,0,1,0,1,1,0,0,0,1
76,0,1,1,1,1,0,1,1,0,0,0,1
77,1,0,0,0,1,0,0,1,0,0,0,1
78,1,1,1,0,1,0,0,0,0,0,0,0
79,1,0,0,1,0,1,0,1,1,0,1,0
80,1,0,0,0,0,1,0,0,1,0,0,0
81,0,1,0,1,0,1,0,0,1,0,0,0
82,0,0,0,1,0,0,0,1,0,0,1,0
83,1,0,0,0,0,1,0,0,1,0,0,0
84,1,0,0,0,0,1,0,0,1,0,0,0
85,0,1,0,1,0,1,0,0,1,0,0,0
86,0,0,0,1,0,1,0,1,1,0,1,0
87,1,0,0,0,0,1,0,0,1,0,0,0
88,1,0,0,1,0,1,0,0,1,0,0,0
89,1,1,0,0,0,1,0,0,0,0,1,0
90,0,0,0,1,0,0,0,1,0,0,1,0
91,1,0,0,0,0,1,0,0,1,0,0,0
92,1,0,0,0,0,1,0,0,1,0,0,0
93,1,0,0,0,0,1,0,0,1,0,0,0
94,1,1,0,1,0,1,0,1,1,0,1,0
95,0,1,0,0,1,0,0,1,0,0,1,0
96,1,1,0,0,1,0,0,1,0,0,0,0
97,1,0,0,0,0,1,0,1,1,0,0,0
98,1,0,0,0,0,1,0,1,1,0,0,0
99,1,1,0,0,0,1,0,0,1,0,0,0
100,0,1,1,1,1,1,0,0,0,0,0,0
101,1,0,0,0,0,1,0,1,1,0,0,0
102,1,0,1,1,1,1,0,1,1,0,0,0
103,1,1,0,0,0,1,0,0,1,0,0,0
104,0,1,1,1,1,0,0,0,0,0,0,0
105,1,0,0,1,0,1,0,1,1,0,0,0
106,1,0,1,1,1,1,0,1,1,0,0,0
107,0,1,0,0,0,1,0,0,1,0,0,1
108,0,1,0,1,0,1,1,0,0,0,0,0
109,0,0,1,0,0,1,0,1,0,1,1,0
110,0,0,1,0,1,1,1,1,0,1,1,0
111,0,1,0,1,0,0,0,1,0,0,1,0
112,0,0,0,1,1,1,1,0,0,0,0,0
113,0,0,1,0,0,1,0,1,0,1,1,0
114,0,0,1,0,1,1,1,1,0,1,1,0
115,0,1,0,1,0,0,0,1,0,0,1,0
116,0,0,0,1,0,1,0,1,1,0,0,0
117,1,0,0,0,1,0,0,1,0,1,0,1
118,1,0,0,0,1,0,1,1,1,1,0,1
119,1,0,0,1,0,1,0,0,0,1,0,0
120,0,0,0,0,0,1,1,1,1,0,0,0
121,1,0,0,0,1,0,0,1,0,1,0,0
122,0,0,0,0,0,0,1,1,1,1,0,0
123,1,0,0,1,0,1,0,0,0,1,0,0
124,0,0,0,0,0,1,1,1,1,0,0,0
125,1,0,0,0,1,0,0,1,0,1,0,0
126,0,0,0,0,0,0,1,1,1,1,0,0
127,1,0,0,0,1,0,0,0,0,1,0,0
128,0,0,0,0,0,0,0,0,0,1,0,0
