Measure,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
1,0.170552965,0,0,0.249833444,0,0.329780147,0,0,0,0,0.249833444,0
2,0.45,0,0,0.1,0,0.05,0,0.25,0.1,0,0.05,0
3,0.202852615,0,0,0.297147385,0,0.202852615,0,0,0,0,0.297147385,0
4,0.428485697,0,0,0.095219044,0,0.095419084,0,0.23804761,0.095219044,0,0.047609522,0
5,0.23824765,0,0,0.285657131,0,0.285657131,0,0,0,0,0.190438088,0
6,0.375236097,0,0,0.099895068,0,0.049947534,0,0.250157398,0.149842602,0,0.074921301,0
7,0.2,0,0,0.3,0,0.3,0,0,0,0,0.2,0
8,0.357314149,0,0,0.095123901,0,0.095323741,0,0.238209432,0.142685851,0,0.071342926,0
9,0.23824765,0,0,0.285657131,0,0.285657131,0,0,0,0,0.190438088,0
10,0.357314149,0,0,0.095123901,0,0.095323741,0,0.238209432,0.142685851,0,0.071342926,0
11,0.23824765,0,0,0.285657131,0,0.285657131,0,0,0,0,0.190438088,0
12,0.34908239,0,0,0.092932448,0,0.046466224,0,0.232721593,0.162631784,0,0.11616556,0
13,0.219021173,0,0,0.260326276,0,0.177716071,0,0,0.041305102,0,0.301631378,0
14,0.418604651,0,0,0.093023256,0,0.046511628,0,0.23255814,0.11627907,0,0.093023256,0
15,0.219021173,0,0,0.260326276,0,0.177716071,0,0,0.041305102,0,0.301631378,0
16,0.418604651,0,0,0.093023256,0,0.046511628,0,0.23255814,0.11627907,0,0.093023256,0
17,0.219021173,0,0,0.260326276,0,0.177716071,0,0,0.041305102,0,0.301631378,0
18,0.418604651,0,0,0.093023256,0,0.046511628,0,0.23255814,0.093023256,0,0.11627907,0
19,0.210263246,0,0,0.249916694,0,0.170609797,0,0,0.07964012,0,0.289570143,0
20,0.408934708,0,0,0.09087438,0,0.136693394,0,0.227185949,0.09087438,0,0.04543719,0
21,0.227420279,0,0,0.272675196,0,0.318121062,0,0,0,0,0.181783464,0
22,0.31264207,0,0,0.083231334,0,0.208428047,0,0.208428047,0.124847001,0,0.062423501,0
23,0.227420279,0,0,0.272675196,0,0.318121062,0,0,0,0,0.181783464,0
24,0.31264207,0,0,0.083231334,0,0.208428047,0,0.208428047,0.124847001,0,0.062423501,0
25,0.227420279,0,0,0.272675196,0,0.318121062,0,0,0,0,0.181783464,0
26,0.361964286,0,0,0.085,0,0.148928571,0,0.212857143,0.1275,0,0.06375,0
27,0.416520826,0,0,0,0,0.583479174,0,0,0,0,0,0
28,0.085106383,0.021276596,0,0.340425532,0,0.042553191,0,0,0.510638298,0,0,0
29,0,0.557921469,0,0,0,0,0,0,0.442078531,0,0,0
30,0,0.478094195,0,0,0,0.087075575,0,0,0.391201168,0,0.043629062,0
31,0.172620127,0,0,0.25893019,0,0.309338169,0,0,0.086491387,0,0.172620127,0
32,0.417132867,0,0,0.083216783,0,0.041608392,0,0.208391608,0.166433566,0,0.083216783,0
