Measure,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
1,0.210526316,0,0,0.263157895,0,0.263157895,0,0,0,0,0.263157895,0
2,0.45,0,0,0.1,0,0.05,0,0.25,0.1,0,0.05,0
3,0.222222222,0,0,0.277777778,0,0.222222222,0,0,0,0,0.277777778,0
4,0.43902439,0,0,0.097560976,0,0.073170732,0,0.243902439,0.097560976,0,0.048780488,0
5,0.219512195,0,0,0.292682927,0,0.292682927,0,0,0,0,0.195121951,0
6,0.342857143,0,0,0.114285714,0,0.057142857,0,0.228571429,0.171428571,0,0.085714286,0
7,0.2,0,0,0.3,0,0.3,0,0,0,0,0.2,0
8,0.333333333,0,0,0.111111111,0,0.083333333,0,0.222222222,0.166666667,0,0.083333333,0
9,0.219512195,0,0,0.292682927,0,0.292682927,0,0,0,0,0.195121951,0
10,0.333333333,0,0,0.111111111,0,0.083333333,0,0.222222222,0.166666667,0,0.083333333,0
11,0.219512195,0,0,0.292682927,0,0.292682927,0,0,0,0,0.195121951,0
12,0.315789474,0,0,0.105263158,0,0.052631579,0,0.210526316,0.184210526,0,0.131578947,0
13,0.230769231,0,0,0.256410256,0,0.205128205,0,0,0.025641026,0,0.282051282,0
14,0.418604651,0,0,0.093023256,0,0.046511628,0,0.23255814,0.11627907,0,0.093023256,0
15,0.230769231,0,0,0.256410256,0,0.205128205,0,0,0.025641026,0,0.282051282,0
16,0.418604651,0,0,0.093023256,0,0.046511628,0,0.23255814,0.11627907,0,0.093023256,0
17,0.230769231,0,0,0.256410256,0,0.205128205,0,0,0.025641026,0,0.282051282,0
18,0.418604651,0,0,0.093023256,0,0.046511628,0,0.23255814,0.093023256,0,0.11627907,0
19,0.230769231,0,0,0.256410256,0,0.205128205,0,0,0.025641026,0,0.282051282,0
20,0.428571429,0,0,0.095238095,0,0.095238095,0,0.238095238,0.095238095,0,0.047619048,0
21,0.209302326,0,0,0.279069767,0,0.325581395,0,0,0,0,0.186046512,0
22,0.292682927,0,0,0.097560976,0,0.195121951,0,0.195121951,0.146341463,0,0.073170732,0
23,0.209302326,0,0,0.279069767,0,0.325581395,0,0,0,0,0.186046512,0
24,0.292682927,0,0,0.097560976,0,0.195121951,0,0.195121951,0.146341463,0,0.073170732,0
25,0.209302326,0,0,0.279069767,0,0.325581395,0,0,0,0,0.186046512,0
26,0.325,0,0,0.1,0,0.15,0,0.2,0.15,0,0.075,0
27,0.434782609,0,0,0,0,0.565217391,0,0,0,0,0,0
28,0.085106383,0.021276596,0,0.340425532,0,0.042553191,0,0,0.510638298,0,0,0
29,0,0.585365854,0,0,0,0,0,0,0.414634146,0,0,0
30,0,0.5,0,0,0,0.071428571,0,0,0.404761905,0,0.023809524,0
31,0.177777778,0,0,0.266666667,0,0.311111111,0,0,0.066666667,0,0.177777778,0
32,0.35,0,0,0.1,0,0.05,0,0.2,0.2,0,0.1,0
33,0.181818182,0,0,0.272727273,0,0.318181818,0,0,0.045454545,0,0.181818182,0
34,0.325581395,0,0,0.093023256,0,0.046511628,0,0.186046512,0.209302326,0,0.139534884,0
35,0.230769231,0,0,0.256410256,0,0.205128205,0,0,0.025641026,0,0.282051282,0
36,0.418604651,0,0,0.093023256,0,0.046511628,0,0.23255814,0.11627907,0,0.093023256,0
37,0.230769231,0,0,0.256410256,0,0.205128205,0,0,0.025641026,0,0.282051282,0
38,0.418604651,0,0,0.093023256,0,0.046511628,0,0.23255814,0.11627907,0,0.093023256,0
39,0.230769231,0,0,0.256410256,0,0.205128205,0,0,0.025641026,0,0.282051282,0
40,0.418604651,0,0,0.093023256,0,0.046511628,0,0.23255814,0.093023256,0,0.11627907,0
41,0.230769231,0,0,0.256410256,0,0.205128205,0,0,0.025641026,0,0.282051282,0
42,0.428571429,0,0,0.095238095,0,0.095238095,0,0.238095238,0.095238095,0,0.047619048,0
43,0.209302326,0,0,0.279069767,0,0.325581395,0,0,0,0,0.186046512,0
44,0.292682927,0,0,0.097560976,0,0.195121951,0,0.195121951,0.146341463,0,0.073170732,0
45,0.209302326,0,0,0.279069767,0,0.325581395,0,0,0,0,0.186046512,0
46,0.292682927,0,0,0.097560976,0,0.195121951,0,0.195121951,0.146341463,0,0.073170732,0
47,0.209302326,0,0,0.279069767,0,0.325581395,0,0,0,0,0.186046512,0
48,0.325,0,0,0.1,0,0.15,0,0.2,0.15,0,0.075,0
49,0.434782609,0,0,0,0,0.565217391,0,0,0,0,0,0
50,0.085106383,0.021276596,0,0.340425532,0,0.042553191,0,0,0.510638298,0,0,0
51,0,0.585365854,0,0,0,0,0,0,0.414634146,0,0,0
52,0,0.5,0,0,0,0.071428571,0,0,0.404761905,0,0.023809524,0
53,0.177777778,0,0,0.266666667,0,0.311111111,0,0,0.066666667,0,0.177777778,0
54,0.333333333,0,0,0.095238095,0,0.095238095,0,0.19047619,0.19047619,0,0.095238095,0
55,0.181818182,0,0,0.272727273,0,0.318181818,0,0,0.045454545,0,0.181818182,0
56,0.333333333,0,0,0.095238095,0,0.095238095,0,0.19047619,0.19047619,0,0.095238095,0
57,0.204545455,0,0,0.272727273,0,0.295454545,0,0,0.045454545,0,0.181818182,0
58,0.324324324,0,0,0.108108108,0,0.108108108,0,0.216216216,0.162162162,0,0.081081081,0
59,0.2,0,0,0.266666667,0,0.311111111,0,0,0.044444444,0,0.177777778,0
60,0.333333333,0,0,0.111111111,0,0.083333333,0,0.222222222,0.166666667,0,0.083333333,0
61,0.285714286,0,0,0,0.142857143,0.428571429,0,0,0.142857143,0,0,0
