Measure,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
1,0.285714286,0,0.011904762,0.071428571,0,0.321428571,0,0.011904762,0.261904762,0,0.035714286,0
2,0.256,0,0,0.072,0,0.324,0,0.012,0.276,0,0.06,0
3,0,0,0.374545455,0,0,0.192727273,0,0,0.2,0,0.232727273,0
4,0,0,0,0,0,0.142857143,0,0,0.428571429,0,0.428571429,0
5,0.304878049,0,0.012195122,0.073170732,0,0.280487805,0,0.012195122,0.280487805,0,0.036585366,0
6,0.284789644,0,0,0.048543689,0,0.313915858,0,0.012944984,0.262135922,0,0.077669903,0
7,0.223214286,0,0.008928571,0.053571429,0,0.303571429,0,0.008928571,0.3125,0,0.089285714,0
8,0.222580645,0,0,0.096774194,0,0.358064516,0,0.009677419,0.24516129,0,0.067741935,0
9,0.30794702,0,0.009933775,0.059602649,0,0.298013245,0,0,0.264900662,0,0.059602649,0
10,0.186495177,0,0,0.080385852,0,0.337620579,0,0.009646302,0.337620579,0,0.048231511,0
11,0,0,0.27560241,0,0,0.304216867,0,0,0.036144578,0,0.384036145,0
12,0.05625,0,0,0,0,0.1,0,0,0.225,0,0.61875,0
13,0,0,0,0,0,0.579259259,0,0,0.051851852,0,0.368888889,0
14,0.076433121,0,0,0,0,0.082802548,0,0,0.210191083,0,0.630573248,0
15,0.250652742,0,0,0.023498695,0.046997389,0.18537859,0,0.078328982,0.360313316,0,0.054830287,0
16,0.205583756,0,0,0.02284264,0,0.532994924,0.007614213,0.025380711,0.197969543,0,0.007614213,0
17,0.255769231,0,0,0.051923077,0,0.351923077,0,0.034615385,0.259615385,0,0.046153846,0
18,0.261658031,0,0,0.007772021,0.007772021,0.32642487,0,0.031088083,0.349740933,0,0.015544041,0
19,0.140794224,0,0,0.140794224,0,0.249097473,0,0.086642599,0.241877256,0,0.140794224,0
20,0.15060241,0,0,0.004016064,0.006024096,0.445783133,0,0.02811245,0.361445783,0,0.004016064,0
21,0.175,0,0,0.0125,0,0.2375,0,0.1875,0.175,0,0.1875,0.025
22,0.116071429,0,0,0,0,0.714285714,0,0,0.169642857,0,0,0
23,0.03125,0,0,0.5,0,0,0,0,0,0,0.46875,0
24,0.5,0,0,0,0,0,0,0,0.5,0,0,0
25,0.253164557,0,0,0.202531646,0,0,0,0.316455696,0,0,0.227848101,0
26,0.294545455,0,0.010909091,0.072727273,0,0.261818182,0,0.010909091,0.283636364,0,0.065454545,0
27,0.270627063,0,0,0.128712871,0,0.270627063,0,0.01320132,0.237623762,0,0.079207921,0
28,0.293577982,0,0.009174312,0.055045872,0,0.302752294,0,0.009174312,0.220183486,0,0.110091743,0
29,0.255520505,0,0,0.075709779,0,0.293375394,0,0.009463722,0.27444795,0,0.09148265,0
30,0.271875,0,0.009375,0.075,0,0.246875,0,0,0.29375,0,0.103125,0
31,0.202531646,0,0,0.123417722,0,0.351265823,0,0.009493671,0.265822785,0,0.047468354,0
32,0,0,0.281538462,0,0,0.313846154,0,0,0.032307692,0,0.372307692,0
33,0.075471698,0,0,0,0,0.075471698,0,0,0.20754717,0,0.641509434,0
34,0,0,0,0,0,0.587706147,0,0,0.043478261,0,0.368815592,0
35,0.071005917,0,0,0,0,0.118343195,0,0,0.24260355,0,0.568047337,0
36,0.26,0,0,0,0,0.33,0,0.08,0.26,0,0.07,0
37,0.213438735,0,0,0,0,0.486166008,0.011857708,0.039525692,0.23715415,0,0.011857708,0
38,0.288288288,0,0,0,0,0.288288288,0,0.054054054,0.297297297,0,0.072072072,0
