Measure,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
1,0.222222222,0,0.055555556,0.166666667,0,0.222222222,0,0.055555556,0.166666667,0,0.111111111,0
2,0.19047619,0,0,0.19047619,0,0.238095238,0,0.047619048,0.19047619,0,0.142857143,0
3,0,0,0.133333333,0,0,0.4,0,0,0.266666667,0,0.2,0
4,0,0,0,0,0,0.285714286,0,0,0.428571429,0,0.285714286,0
5,0.222222222,0,0.055555556,0.166666667,0,0.166666667,0,0.055555556,0.222222222,0,0.111111111,0
6,0.2,0,0,0.16,0,0.24,0,0.04,0.2,0,0.16,0
7,0.142857143,0,0.035714286,0.107142857,0,0.25,0,0.035714286,0.25,0,0.178571429,0
8,0.148148148,0,0,0.185185185,0,0.296296296,0,0.037037037,0.185185185,0,0.148148148,0
9,0.259259259,0,0.037037037,0.111111111,0,0.296296296,0,0,0.185185185,0,0.111111111,0
10,0.133333333,0,0,0.166666667,0,0.266666667,0,0.033333333,0.3,0,0.1,0
11,0,0,0.058823529,0,0,0.294117647,0,0,0.235294118,0,0.411764706,0
12,0.066666667,0,0,0,0,0.2,0,0,0.333333333,0,0.4,0
13,0,0,0,0,0,0.388888889,0,0,0.277777778,0,0.333333333,0
14,0.066666667,0,0,0,0,0.2,0,0,0.333333333,0,0.4,0
15,0.257142857,0,0,0.028571429,0.028571429,0.2,0,0.114285714,0.285714286,0,0.085714286,0
16,0.233333333,0,0,0.033333333,0,0.233333333,0.033333333,0.066666667,0.366666667,0,0.033333333,0
17,0.282051282,0,0,0.076923077,0,0.230769231,0,0.076923077,0.256410256,0,0.076923077,0
18,0.294117647,0,0,0.029411765,0.029411765,0.147058824,0,0.058823529,0.382352941,0,0.058823529,0
19,0.166666667,0,0,0.166666667,0,0.222222222,0,0.055555556,0.277777778,0,0.111111111,0
20,0.24137931,0,0,0.034482759,0.034482759,0.24137931,0,0.103448276,0.310344828,0,0.034482759,0
21,0.192307692,0,0,0.038461538,0,0.230769231,0,0.153846154,0.192307692,0,0.153846154,0.038461538
22,0.125,0,0,0,0,0.375,0,0,0.5,0,0,0
23,0.25,0,0,0.25,0,0,0,0,0,0,0.5,0
24,0.5,0,0,0,0,0,0,0,0.5,0,0,0
25,0.375,0,0,0.125,0,0,0,0.25,0,0,0.25,0
