Measure,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
1,0,0,0,0.254562326,0,0.248066811,0,0,0.248530776,0,0.248840087,0
2,0.169905096,0,0,0.239328925,0,0,0,0.10684568,0.483920299,0,0,0
3,0.202497199,0.006216317,0,0.279467478,0,0.152233072,0,0.359585935,0,0,0,0
4,0.272351273,0,0,0.006060921,0,0.221002523,0,0.1114117,0.389173582,0,0,0
5,0.234550345,0,0,0.286208922,0,0.049649117,0,0.322100968,0.057439639,0,0.050051009,0
6,0.190230781,0,0,0.19608829,0,0,0,0,0.613680929,0,0,0
7,0.250016514,0.007695356,0,0.249884405,0,0,0,0.492403725,0,0,0,0
8,0.221842005,0,0,0.006814659,0,0.270831505,0,0,0.500511831,0,0,0
9,0.25012366,0,0,0.258037923,0,0.00768343,0,0.468788129,0.00768343,0,0.00768343,0
10,0.221815948,0,0,0.228748611,0,0,0,0,0.549435441,0,0,0
11,0.249958845,0.007671287,0,0.249958845,0,0,0,0.492411023,0,0,0,0
12,0.210035167,0,0,0.00645197,0,0.256472738,0,0,0.527040124,0,0,0
13,0.257849604,0,0,0.258014512,0,0.007684697,0,0.468766491,0.007684697,0,0,0
14,0,0.249827126,0,0,0,0.257696994,0,0,0,0,0.49247588,0
15,0,0.216428651,0,0,0,0.210201483,0,0,0.573369866,0,0,0
16,0,0.004364358,0,0.28119205,0,0,0,0.464476371,0,0,0.24996722,0
17,0,0,0,0.405737705,0,0.030803808,0,0.250925436,0.030803808,0,0.281729244,0
18,0.221916927,0,0,0.228669142,0,0,0,0,0.549413931,0,0,0
19,0.257637609,0,0,0.249934159,0,0,0,0.492428233,0,0,0,0
20,0,0.288840331,0,0,0,0.236741064,0,0,0.46714531,0,0.007273295,0
21,0,0,0,0.271159833,0,0.042971556,0,0.353111779,0.049304207,0,0.283452625,0
22,0.169887297,0,0,0.23921895,0,0,0,0.106989405,0.483904348,0,0,0
23,0.208691474,0,0,0.279403129,0,0.152180877,0,0.359724521,0,0,0,0
24,0.037441118,0.250500839,0,0,0,0.184904434,0,0.115680329,0.405165412,0,0.006307867,0
25,0,0,0,0.30181033,0,0.047417618,0,0.28077856,0.054901497,0,0.315091996,0
26,0.170001125,0,0,0.239338359,0,0,0,0.106875211,0.483785304,0,0,0
27,0.208641349,0,0,0.279282645,0,0.152277761,0,0.359798244,0,0,0,0
28,0.037420856,0.250419395,0,0,0,0.18483143,0,0.116023594,0.405000271,0,0.006304454,0
29,0,0,0,0.301683581,0,0.047696541,0,0.280705388,0.054975294,0,0.314939196,0
30,0.176435761,0,0,0.182536618,0,0,0,0,0.641027621,0,0,0
31,0.23381626,0.007942731,0,0.233782171,0,0,0,0.524458838,0,0,0,0
32,0.206718191,0,0,0.007006887,0,0.257089586,0,0,0.529185337,0,0,0
33,0.23406066,0,0,0.241992035,0,0.007931375,0,0.500153181,0.007931375,0,0.007931375,0
34,0.206721223,0,0,0.213791444,0,0,0,0,0.579487334,0,0,0
35,0.233690294,0.007921129,0,0.233826279,0,0,0,0.524562298,0,0,0,0
36,0.195451961,0,0,0.006623081,0,0.243149517,0,0,0.554775441,0,0,0
37,0.241965137,0,0,0.242033229,0,0.007932725,0,0.500136184,0.007932725,0,0,0
38,0,0.233758287,0,0,0,0.241781404,0,0,0,0,0.524460309,0
39,0,0.202098021,0,0,0,0.195474187,0,0,0.602427792,0,0,0
40,0,0.004442326,0,0.272812202,0,0,0,0.481868446,0,0,0.240877026,0
41,0,0,0,0.35625568,0,0.035292336,0,0.358830657,0.035292336,0,0.214328991,0
42,0.206747249,0,0,0.213903422,0,0,0,0,0.579349329,0,0,0
43,0.241640614,0,0,0.233994835,0,0,0,0.524364551,0,0,0,0
44,0,0.285738165,0,0,0,0.229874298,0,0,0.476598021,0,0.007789516,0
45,0,0,0,0.25900655,0,0.043886463,0,0.375163755,0.050573144,0,0.271370087,0
46,0.169923898,0,0,0.239429009,0,0,0,0.106925744,0.483721349,0,0,0
47,0.202438764,0.006216981,0,0.27944394,0,0.152195955,0,0.35970436,0,0,0,0
48,0.277094085,0,0,0.006166468,0,0.224904062,0,0.114092894,0.37774249,0,0,0
49,0.195009577,0,0,0.098203655,0,0.096650619,0,0.195760211,0.414375938,0,0,0
50,0,0,0.267445992,0,0,0.267374929,0,0,0.008278852,0,0.456900227,0
51,0,0,0,0.257638615,0,0,0,0.492493086,0,0,0.2498683,0
52,0,0.286781342,0,0.007221447,0,0.23511545,0,0,0.47088176,0,0,0
53,0.210122444,0,0,0.210177849,0,0,0,0,0.579699706,0,0,0
54,0,0,0.210200799,0,0,0.210173064,0,0,0.00646217,0,0.573163967,0
55,0,0,0,0.257652137,0,0,0,0.49243847,0,0,0.249909393,0
56,0,0.286789997,0,0.007220105,0,0.235102724,0,0,0.470887174,0,0,0
57,0.200687649,0,0,0.200661201,0,0,0,0,0.59865115,0,0,0
58,0,0,0.231394555,0,0,0.22303784,0,0,0,0,0.545567604,0
59,0,0,0,0,0,0,0,1,0,0,0,0
60,0,0,0,0.343655857,0,0,0,0.337217201,0,0,0.319126942,0
61,0,0,0,0.139005271,0,0.108528179,0,0,0.125422354,0,0.627044195,0
62,0.169855868,0,0,0.239156342,0,0,0,0.107121175,0.483866616,0,0,0
63,0.202386036,0.00621864,0,0.279385075,0,0.152343333,0,0.359666916,0,0,0,0
64,0.272318411,0,0,0.006057297,0,0.221000364,0,0.111475069,0.389148859,0,0,0
65,0.077007433,0,0,0.125516158,0,0.021770034,0,0.141085523,0.025127601,0,0.609493251,0
66,0.169896583,0,0,0.239231115,0,0,0,0.107036871,0.483835432,0,0,0
67,0.202461029,0.006219304,0,0.279388213,0,0.152172753,0,0.359758702,0,0,0,0
68,0.262581179,0,0,0,0.154986084,0.213259447,0,0,0.369173291,0,0,0
69,0,0.040021821,0,0,0.117660186,0,0.039773854,0,0.573720492,0,0,0.228823646
70,0,0,0,0.172583975,0,0,0.321171375,0,0,0,0,0.506244649
71,0,0,0,0.233735679,0.007944626,0,0.427270867,0,0,0,0.331048827,0
72,0,0,0,0.185346919,0,0,0.006280662,0,0.591163944,0,0,0.217208475
73,0,0.007930835,0,0.234044726,0,0,0.435889581,0,0.007930835,0,0.306273188,0.007930835
74,0,0,0,0.233737971,0,0,0.435444932,0,0,0,0,0.330817097
75,0,0,0,0.233745919,0.007923014,0,0.427434712,0,0,0,0.330896355,0
76,0,0,0,0.206677696,0,0,0.007008573,0,0.544021657,0,0,0.242292074
77,0,0,0,0.24193823,0,0,0.435863384,0,0.007934076,0,0.306330235,0.007934076
78,0,0.310537401,0,0,0.219428134,0,0,0,0.470034465,0,0,0
79,0,0,0,0,0.18220263,0,0,0,0.568342005,0,0,0.249455366
80,0,0.24089999,0,0,0.00444275,0,0.49123844,0,0,0,0.26341882,0
81,0,0.214566929,0,0,0,0,0.356147789,0,0.035281647,0,0.358721987,0.035281647
82,0,0,0,0.23368235,0,0,0.435443296,0,0,0,0,0.330874354
83,0,0,0,0.241679415,0,0,0.427502975,0,0,0,0.33081761,0
84,0,0.007848818,0,0,0.287913495,0,0,0,0.472613353,0,0,0.231624335
85,0,0.242785583,0,0,0,0,0.3706292,0,0.150812462,0,0.196774588,0.038998167
86,0,0,0,0.156764614,0,0,0.348291974,0,0,0,0.16777074,0.327172672
87,0,0,0,0.18082572,0,0,0.385451602,0,0.132115184,0,0.301607494,0
88,0,0.005427819,0,0.032217485,0.215598574,0,0,0,0.325506092,0,0.244508118,0.176741911
89,0,0.259704116,0,0,0,0,0.38816464,0,0.150725062,0,0.16210146,0.039304721
90,0,0,0,0.156754513,0,0,0.348329529,0,0,0,0.167731895,0.327184063
91,0,0,0,0.180800629,0,0,0.385421244,0,0.132073726,0,0.301704401,0
92,0,0.005429084,0,0.032224992,0.215602209,0,0,0,0.325581937,0,0.244378684,0.176783093
93,0,0.260073707,0,0,0,0,0.388231274,0,0.150538159,0,0.16213116,0.0390257
94,0,0,0,0.156813086,0,0,0.348335132,0,0,0,0.167711534,0.327140247
95,0,0,0,0.180924401,0,0,0.385259554,0,0.132067179,0,0.301748866,0
96,0,0.005428325,0,0.032220488,0.215618666,0,0,0,0.325559723,0,0.244414417,0.176758381
97,0,0.260001465,0,0,0,0,0.388269179,0,0.150552857,0,0.162146989,0.03902951
98,0,0,0,0.156734999,0,0,0.348327662,0,0,0,0.167773259,0.32716408
99,0,0,0,0.180875923,0,0,0.385396664,0,0.132082456,0,0.301644958,0
100,0,0.005583245,0,0.033140036,0.221844148,0,0,0,0.334874916,0,0.222874533,0.181683121
101,0,0.274289542,0,0,0,0,0.409862675,0,0.103470487,0,0.171179759,0.041197537
102,0,0,0,0.190550665,0,0,0.37550135,0,0,0,0.036172843,0.397775143
103,0,0,0,0,0,0,0,0,0,0,1,0
