Measure,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
1,0,1,0,0,0,0,1,0,0,0,1,0
2,0,1,0,0,0,1,0,0,1,0,0,0
3,0,0,0,1,0,0,0,0,1,0,0,1
4,0,1,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,1,0,0,0,1,0
6,0,1,0,0,0,1,1,0,1,0,0,0
7,0,0,0,1,0,0,0,0,1,0,0,1
8,0,0,0,1,0,0,1,0,0,0,1,0
9,0,1,0,0,0,0,1,0,1,0,1,0
10,0,1,0,0,0,1,1,0,1,0,1,0
11,0,0,0,1,0,0,1,0,1,0,0,1
12,0,1,0,1,0,0,1,0,1,0,0,0
13,0,1,0,0,0,0,1,0,1,0,1,0
14,0,1,0,0,0,1,1,0,1,0,1,0
15,0,0,0,1,0,0,1,0,1,0,0,1
16,0,1,0,1,0,0,1,0,1,0,1,0
17,0,1,0,0,0,0,1,0,1,0,1,0
18,0,1,0,0,0,0,1,0,0,0,1,0
19,0,1,0,1,0,1,1,0,0,0,1,0
20,0,1,0,1,0,0,1,0,0,0,1,0
21,0,1,0,1,0,0,1,0,0,0,0,1
22,0,0,0,0,0,0,1,0,0,0,0,1
23,0,1,0,0,0,1,0,0,1,0,1,0
24,0,1,0,1,0,0,0,0,0,1,1,0
25,0,1,0,1,0,1,1,0,0,0,1,0
26,0,1,0,1,0,0,1,0,0,0,1,0
27,0,1,0,1,0,1,0,0,0,0,1,0
28,0,1,0,0,0,1,0,0,0,0,1,0
29,0,1,0,1,0,0,1,0,0,0,1,1
30,0,1,0,1,0,0,1,0,0,0,0,1
31,0,1,0,1,0,1,0,0,1,0,0,0
32,0,1,0,1,0,1,0,0,1,0,1,0
33,0,1,0,0,0,0,1,0,0,0,1,0
34,0,1,0,0,0,1,1,0,1,0,0,1
35,0,0,0,1,0,0,1,0,1,0,1,1
36,0,0,0,1,0,1,1,0,0,0,1,1
37,0,1,0,0,0,0,1,0,1,0,1,0
38,0,1,0,0,0,1,1,0,1,0,1,1
39,0,0,0,1,0,0,1,0,1,0,0,1
40,0,0,0,1,0,0,1,0,1,0,1,1
41,0,1,0,0,0,0,1,0,0,0,1,0
42,0,1,0,1,0,1,1,0,1,0,0,1
43,0,0,0,1,0,0,1,0,1,0,1,1
44,0,0,0,1,0,0,1,0,0,0,1,1
45,0,1,0,0,0,1,1,0,1,0,1,0
46,0,1,0,1,0,1,1,0,1,0,1,1
47,0,0,0,1,0,1,1,0,1,0,0,1
48,0,1,0,1,0,1,1,0,1,0,1,1
49,0,1,0,0,0,0,1,0,1,0,1,0
50,0,1,0,0,0,0,1,0,0,0,1,0
51,0,1,0,1,0,1,1,0,0,0,1,0
52,0,1,0,0,0,1,1,0,0,0,1,0
53,0,1,0,1,0,0,1,0,0,0,0,1
54,0,0,0,1,0,0,1,0,1,0,0,1
55,0,1,0,0,0,1,0,0,1,0,1,0
56,0,1,0,1,0,1,0,0,1,0,0,0
57,0,1,0,1,0,1,1,0,0,0,1,0
58,0,1,0,1,0,0,1,0,0,0,1,0
59,0,1,0,1,0,1,0,0,0,0,1,0
60,0,1,0,0,0,1,0,0,0,0,1,0
61,0,1,0,1,0,0,1,0,0,0,1,1
62,0,1,0,1,0,0,1,0,0,0,0,1
63,0,1,0,1,0,1,0,0,1,0,0,0
64,0,1,0,1,0,1,0,0,1,0,1,0
65,0,1,0,0,0,0,1,0,0,0,1,0
66,0,1,0,1,0,1,1,0,1,0,0,1
67,0,0,0,1,0,0,1,0,1,0,1,1
68,0,1,0,1,0,0,1,0,0,0,1,1
69,0,1,0,0,0,1,1,0,1,0,1,0
70,0,1,0,1,0,1,1,0,1,0,1,1
71,0,0,0,1,0,1,1,0,1,0,0,1
72,0,1,0,1,0,0,1,0,1,0,1,1
73,0,1,0,0,0,0,1,0,0,0,1,0
74,0,1,0,1,0,1,1,0,1,0,0,1
75,0,0,0,1,0,0,1,0,1,0,1,1
76,0,1,0,1,0,0,1,0,0,0,1,1
77,0,1,0,0,0,1,1,0,1,0,1,0
78,0,1,0,1,0,1,1,0,1,0,1,1
79,0,0,0,1,0,1,1,0,1,0,0,1
80,0,0,0,1,0,0,1,0,1,0,1,1
81,0,1,0,1,0,0,1,0,0,0,1,0
82,0,1,0,1,0,0,0,0,0,0,1,0
83,0,1,0,1,0,1,0,0,1,0,1,0
84,0,1,0,1,0,0,0,0,0,0,0,0
85,0,1,0,1,0,0,1,0,0,0,1,0
86,0,1,0,1,0,0,0,0,1,0,1,0
87,0,1,0,1,0,1,0,0,1,0,0,0
88,0,1,0,1,0,0,0,0,1,0,1,0
89,0,0,0,1,0,0,1,0,0,0,0,1
90,0,1,0,1,0,0,1,0,0,0,0,1
91,0,1,0,1,0,1,0,0,1,0,1,0
92,0,1,0,1,0,0,0,0,1,0,1,0
93,0,0,0,1,0,0,1,0,0,0,0,1
