Measure,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
1,0,0,0,0,1,0,1,0,0,0,0,0
2,0,1,0,0,1,0,1,0,1,1,0,0
3,0,1,0,0,0,0,1,0,1,1,0,1
4,0,1,0,0,1,0,0,0,1,1,0,0
5,0,0,0,0,1,0,1,0,0,0,0,1
6,0,1,0,0,1,0,1,0,1,1,0,1
7,0,0,0,0,0,0,1,0,1,0,0,1
8,0,1,0,0,1,0,1,0,1,1,0,1
9,0,0,0,0,0,0,1,0,0,0,0,1
10,0,0,0,0,1,0,0,0,1,0,0,1
11,0,1,0,1,1,0,1,0,0,0,0,1
12,0,1,0,1,1,0,1,0,0,1,0,1
13,0,0,0,1,1,0,1,0,1,1,0,1
14,0,0,0,0,1,0,0,0,1,0,0,1
15,0,1,0,1,1,0,1,0,0,0,0,1
16,0,0,0,0,1,0,0,0,0,1,0,1
17,0,0,0,0,1,0,0,0,0,0,0,0
18,0,0,0,0,1,0,0,0,1,0,0,1
19,0,0,0,1,1,0,1,0,0,0,0,1
20,0,1,0,1,1,0,1,0,0,1,0,0
21,0,0,0,1,1,0,1,0,1,1,0,1
22,0,0,0,0,1,0,0,0,1,0,0,1
23,0,1,0,1,1,0,1,0,0,0,0,1
24,0,1,0,0,1,0,0,0,0,1,0,1
25,0,1,0,0,0,0,0,0,0,0,0,0
26,0,1,0,0,1,0,0,0,0,0,0,0
27,0,0,0,0,0,0,1,0,0,0,0,1
28,0,1,0,0,1,0,1,0,1,1,0,1
29,0,0,0,1,0,0,1,0,1,1,0,1
30,0,1,0,0,1,0,1,0,0,0,0,0
31,0,1,0,1,1,0,1,0,0,0,0,1
32,0,1,0,1,1,0,0,0,0,1,0,1
33,0,0,0,0,1,0,0,0,0,1,0,1
34,0,1,0,0,1,0,0,0,0,0,0,0
35,0,0,0,1,0,0,1,0,0,0,0,1
36,0,1,0,0,1,0,1,0,1,1,0,1
37,0,1,0,1,0,0,1,0,1,1,0,1
38,0,1,0,0,1,0,1,0,1,0,0,0
39,0,1,0,1,1,0,0,0,1,0,0,1
40,0,0,0,1,1,0,1,0,0,1,0,1
41,0,0,0,1,1,0,1,0,1,1,0,1
42,0,1,0,0,1,0,1,0,1,1,0,1
43,0,0,0,0,0,0,1,0,1,0,0,1
44,0,1,0,0,1,0,1,0,1,1,0,1
