Measure,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
1,0,0,0,0.296453268,0,0,0,0,0.32835155,0,0.103948249,0.271246933
2,0,0.316859829,0,0,0.341570085,0,0,0,0.126612727,0,0,0.214957358
3,0,0.283483325,0,0.31339333,0,0,0,0.059820011,0,0,0.343303335,0
4,0,0.183129371,0,0.309659091,0,0,0,0.049388112,0.224868881,0,0.232954545,0
5,0,0,0,0.233945861,0,0,0,0,0.462359218,0,0.092076665,0.211618257
6,0,0.416392092,0,0,0.291803954,0,0,0,0.291803954,0,0,0
7,0,0.058017928,0,0.453685259,0,0,0,0.215139442,0,0,0.273157371,0
8,0,0,0,0.210465386,0,0,0,0,0.525121556,0,0.053947673,0.210465386
9,0,0,0,0.296453268,0,0,0,0,0.32835155,0,0.103948249,0.271246933
10,0,0.316859829,0,0,0.341570085,0,0,0,0.126612727,0,0,0.214957358
11,0,0.283483325,0,0.31339333,0,0,0,0.059820011,0,0,0.343303335,0
12,0,0.183129371,0,0.309659091,0,0,0,0.049388112,0.224868881,0,0.232954545,0
13,0,0,0,0.233945861,0,0,0,0,0.462359218,0,0.092076665,0.211618257
14,0,0.416392092,0,0,0.291803954,0,0,0,0.291803954,0,0,0
15,0,0.058017928,0,0.453685259,0,0,0,0.215139442,0,0,0.273157371,0
16,0,0,0,0.181147868,0,0,0,0,0.568752491,0,0.068951774,0.181147868
17,0,0,0,0.202437167,0,0,0,0,0.417669459,0,0.123686215,0.256207159
18,0,0.300239593,0,0,0.293501048,0,0,0,0.224168913,0,0,0.182090446
19,0,0.176238275,0,0.301135429,0,0,0,0.232516044,0.038341287,0,0.251768965,0
20,0,0.126299925,0,0.273549359,0,0,0,0.034061794,0.335192163,0,0.23089676,0
21,0,0,0,0.1942959,0,0,0,0,0.483614425,0,0.111339641,0.210750034
22,0,0.37646028,0,0,0.265040888,0,0,0,0.324474299,0,0,0.034024533
23,0,0.037520129,0,0.357487923,0,0,0,0.372624799,0.037520129,0,0.194847021,0
24,0,0,0,0.170016376,0,0,0.034688105,0,0.555902933,0,0.104064314,0.135328272
25,0,0,0,0.202437167,0,0,0,0,0.382178218,0,0.123686215,0.291698401
26,0,0.357057949,0,0,0.291233284,0,0,0,0.17102526,0,0,0.180683507
27,0,0.187074236,0,0.299912664,0,0,0,0.231266376,0.04069869,0,0.241048035,0
28,0,0.126299925,0,0.273549359,0,0,0,0.034061794,0.335192163,0,0.23089676,0
29,0,0,0,0.164902507,0,0,0,0,0.477715877,0,0.064902507,0.292479109
30,0,0.37646028,0,0,0.265040888,0,0,0,0.324474299,0,0,0.034024533
31,0,0.038259442,0,0.36453202,0,0,0,0.365188834,0.038259442,0,0.193760263,0
32,0,0,0,0.157019112,0,0,0.032036299,0,0.621889179,0,0.064072597,0.124982813
33,0,0,0,0.177079582,0,0,0,0,0.485595967,0,0.041951746,0.295372704
34,0,0.163193879,0,0,0.227331923,0,0,0,0.364479896,0,0,0.244994302
35,0,0.158718261,0,0.160873232,0,0,0,0.435022955,0.065492364,0,0.179893188,0
36,0,0.058848315,0,0.224438202,0,0,0,0.060674157,0.351264045,0,0.252598315,0.052176966
37,0,0,0,0.157036916,0,0,0,0,0.540868715,0,0.037975715,0.264118654
38,0,0.265170872,0,0,0.204247844,0,0,0,0.435244331,0,0,0.095336953
39,0,0.0802691,0,0.204589439,0,0,0,0.490830338,0.064418026,0,0.159893097,0
40,0,0,0,0.217054264,0,0,0.017535937,0.017535937,0.423421389,0,0.142470084,0.181982389
41,0,0,0,0.377837392,0,0,0,0,0.328174439,0,0.032053928,0.261934241
42,0,0.228472523,0,0.039438709,0.322124003,0,0,0,0.223898127,0,0,0.186066638
43,0,0.117777932,0,0.364179935,0,0,0,0.213168324,0.03239936,0,0.256274769,0.01619968
44,0,0.072447732,0,0.299400151,0,0,0.023644517,0.050317396,0.237551686,0,0.204647371,0.111991148
45,0,0.01437473,0,0.318650133,0,0,0.01437473,0,0.353383923,0,0.05749892,0.241717564
46,0,0.328837126,0,0.020975697,0.298175768,0,0,0,0.277497177,0,0,0.074514231
47,0,0.126430801,0,0.337083767,0,0,0,0.27653486,0.030306972,0,0.214490114,0.015153486
48,0,0.00591927,0,0.265582656,0,0,0.022536015,0,0.403366139,0,0.067536728,0.235059193
49,0,0,0,0.214182111,0,0,0,0,0.388718775,0,0.126027397,0.271071716
50,0,0.30713848,0,0,0.300245098,0,0,0,0.206341912,0,0,0.18627451
51,0,0.181617772,0,0.310327285,0,0,0,0.23452603,0.039511616,0,0.234017297,0
