Measure,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
1,0,0,0,0.272727273,0,0,0,0,0.363636364,0,0.181818182,0.181818182
2,0,0.272727273,0,0,0.363636364,0,0,0,0.272727273,0,0,0.090909091
3,0,0.181818182,0,0.272727273,0,0,0,0.181818182,0,0,0.363636364,0
4,0,0.083333333,0,0.333333333,0,0,0,0.166666667,0.25,0,0.166666667,0
5,0,0,0,0.25,0,0,0,0,0.416666667,0,0.166666667,0.166666667
6,0,0.333333333,0,0,0.333333333,0,0,0,0.333333333,0,0,0
7,0,0.083333333,0,0.333333333,0,0,0,0.25,0,0,0.333333333,0
8,0,0,0,0.230769231,0,0,0,0,0.461538462,0,0.076923077,0.230769231
9,0,0,0,0.272727273,0,0,0,0,0.363636364,0,0.181818182,0.181818182
10,0,0.272727273,0,0,0.363636364,0,0,0,0.272727273,0,0,0.090909091
11,0,0.181818182,0,0.272727273,0,0,0,0.181818182,0,0,0.363636364,0
12,0,0.083333333,0,0.333333333,0,0,0,0.166666667,0.25,0,0.166666667,0
13,0,0,0,0.25,0,0,0,0,0.416666667,0,0.166666667,0.166666667
14,0,0.333333333,0,0,0.333333333,0,0,0,0.333333333,0,0,0
15,0,0.083333333,0,0.333333333,0,0,0,0.25,0,0,0.333333333,0
16,0,0,0,0.1875,0,0,0,0,0.5,0,0.125,0.1875
17,0,0,0,0.15,0,0,0,0,0.45,0,0.2,0.2
18,0,0.238095238,0,0,0.238095238,0,0,0,0.428571429,0,0,0.095238095
19,0,0.105263158,0,0.263157895,0,0,0,0.315789474,0.052631579,0,0.263157895,0
20,0,0.05,0,0.25,0,0,0,0.1,0.4,0,0.2,0
21,0,0,0,0.19047619,0,0,0,0,0.428571429,0,0.19047619,0.19047619
22,0,0.285714286,0,0,0.238095238,0,0,0,0.428571429,0,0,0.047619048
23,0,0.05,0,0.25,0,0,0,0.4,0.05,0,0.25,0
24,0,0,0,0.166666667,0,0,0.041666667,0,0.541666667,0,0.125,0.125
25,0,0,0,0.15,0,0,0,0,0.4,0,0.2,0.25
26,0,0.3,0,0,0.25,0,0,0,0.35,0,0,0.1
27,0,0.1,0,0.2,0,0,0,0.4,0.05,0,0.25,0
28,0,0.05,0,0.25,0,0,0,0.1,0.4,0,0.2,0
29,0,0,0,0.15,0,0,0,0,0.5,0,0.1,0.25
30,0,0.285714286,0,0,0.238095238,0,0,0,0.428571429,0,0,0.047619048
31,0,0.05,0,0.25,0,0,0,0.4,0.05,0,0.25,0
32,0,0,0,0.153846154,0,0,0.038461538,0,0.615384615,0,0.076923077,0.115384615
33,0,0,0,0.129032258,0,0,0,0,0.580645161,0,0.064516129,0.225806452
34,0,0.15625,0,0,0.1875,0,0,0,0.5,0,0,0.15625
35,0,0.096774194,0,0.129032258,0,0,0,0.516129032,0.096774194,0,0.161290323,0
36,0,0.028571429,0,0.2,0,0,0,0.085714286,0.4,0,0.257142857,0.028571429
37,0,0,0,0.125,0,0,0,0,0.59375,0,0.0625,0.21875
38,0,0.212121212,0,0,0.181818182,0,0,0,0.515151515,0,0,0.090909091
39,0,0.0625,0,0.15625,0,0,0,0.53125,0.09375,0,0.15625,0
40,0,0,0,0.205128205,0,0,0.025641026,0.025641026,0.435897436,0,0.153846154,0.153846154
41,0,0,0,0.268292683,0,0,0,0,0.414634146,0,0.048780488,0.268292683
42,0,0.272727273,0,0.022727273,0.272727273,0,0,0,0.318181818,0,0,0.113636364
43,0,0.073170732,0,0.268292683,0,0,0,0.292682927,0.048780488,0,0.292682927,0.024390244
44,0,0.063829787,0,0.255319149,0,0,0.042553191,0.063829787,0.276595745,0,0.170212766,0.127659574
45,0,0.023255814,0,0.23255814,0,0,0.023255814,0,0.372093023,0,0.093023256,0.255813953
46,0,0.302325581,0,0.023255814,0.255813953,0,0,0,0.348837209,0,0,0.069767442
47,0,0.071428571,0,0.261904762,0,0,0,0.333333333,0.047619048,0,0.261904762,0.023809524
48,0,0.025641026,0,0.205128205,0,0,0.051282051,0,0.435897436,0,0.102564103,0.179487179
49,0,0,0,0.15,0,0,0,0,0.45,0,0.2,0.2
50,0,0.238095238,0,0,0.238095238,0,0,0,0.428571429,0,0,0.095238095
51,0,0.105263158,0,0.263157895,0,0,0,0.315789474,0.052631579,0,0.263157895,0
52,0,0.05,0,0.25,0,0,0,0.1,0.4,0,0.2,0
53,0,0,0,0.142857143,0,0,0,0,0.476190476,0,0.19047619,0.19047619
54,0,0.285714286,0,0,0.238095238,0,0,0,0.428571429,0,0,0.047619048
55,0,0.05,0,0.3,0,0,0,0.35,0.05,0,0.25,0
56,0,0,0,0.166666667,0,0,0.041666667,0,0.541666667,0,0.125,0.125
57,0,0.05,0,0.15,0,0,0,0,0.4,0,0.15,0.25
58,0,0.25,0,0,0.25,0,0,0,0.35,0,0,0.15
59,0,0.105263158,0,0.210526316,0,0,0,0.368421053,0.052631579,0,0.263157895,0
60,0,0.05,0,0.25,0,0,0,0.1,0.3,0,0.15,0.15
61,0,0,0,0.157894737,0,0,0,0,0.421052632,0,0.157894737,0.263157895
62,0,0.285714286,0,0,0.238095238,0,0,0,0.428571429,0,0,0.047619048
63,0,0.047619048,0,0.238095238,0,0,0,0.285714286,0.095238095,0,0.333333333,0
64,0,0.076923077,0,0.192307692,0,0,0.038461538,0,0.423076923,0,0.038461538,0.230769231
65,0,0.03125,0,0.125,0,0,0,0,0.5,0,0.09375,0.25
66,0,0.172413793,0,0,0.206896552,0,0,0,0.448275862,0,0,0.172413793
67,0,0.103448276,0,0.137931034,0,0,0,0.413793103,0.068965517,0,0.24137931,0.034482759
68,0,0.055555556,0,0.222222222,0,0,0.027777778,0.083333333,0.361111111,0,0.194444444,0.055555556
69,0,0,0,0.148148148,0,0,0,0,0.555555556,0,0.074074074,0.222222222
70,0,0.233333333,0,0,0.2,0,0,0,0.433333333,0,0,0.133333333
